
[00:00:00.000 --> 00:00:03.000]  今天我們要宣講的主題是
[00:00:03.000 --> 00:00:06.000]  耶穌的真理和愛
[00:00:06.000 --> 00:00:09.000]  在我們學習之先我們有一個祈禱
[00:00:09.000 --> 00:00:13.000]  差天賦上帝
[00:00:13.000 --> 00:00:16.000]  我們真是滿心的歡喜
[00:00:16.000 --> 00:00:19.000]  可以來到你的殿中一起敬拜
[00:00:19.000 --> 00:00:21.000]  無論在扇上面的
[00:00:21.000 --> 00:00:24.000]  或者在現場的大英姊妹
[00:00:24.000 --> 00:00:27.000]  求主你都繼續去保守她們
[00:00:27.000 --> 00:00:32.000]  讓她們一世間下來可以用心去聽你的教導
[00:00:32.000 --> 00:00:36.000]  求主你繼續讓我們無論聽的講的
[00:00:36.000 --> 00:00:38.000]  都得到你的造就
[00:00:38.000 --> 00:00:41.000]  有求聖靈在我們當中運行
[00:00:41.000 --> 00:00:46.000]  教我們怎樣學校里如何活出這份愛
[00:00:46.000 --> 00:00:48.000]  求主你繼續去幫助我們
[00:00:48.000 --> 00:00:51.000]  我們痛心禱告奉主名求
[00:00:51.000 --> 00:00:52.000]  阿門
[00:00:52.000 --> 00:00:54.000]  好 先看看
[00:00:54.000 --> 00:00:57.000]  一開始這篇講章
[00:00:57.000 --> 00:01:01.000]  就由這個菠蘿包的啟示開始
[00:01:01.000 --> 00:01:03.000]  一開始的時候
[00:01:03.000 --> 00:01:06.000]  放假又不可以出街
[00:01:06.000 --> 00:01:09.000]  於是乎我在Facebook見到
[00:01:09.000 --> 00:01:11.000]  煮一盒的媽媽
[00:01:11.000 --> 00:01:14.000]  分別做了很多不同的包
[00:01:14.000 --> 00:01:17.000]  給她們家裡的小朋友吃
[00:01:17.000 --> 00:01:21.000]  其中我就見到這個菠蘿包好像挺好
[00:01:21.000 --> 00:01:26.000]  於是我就問了她們拿一個食譜去做
[00:01:26.000 --> 00:01:30.000]  我那天放假就用了四個小時
[00:01:30.000 --> 00:01:32.000]  去做這九個菠蘿包
[00:01:32.000 --> 00:01:34.000]  樣子可以嗎
[00:01:34.000 --> 00:01:35.000]  可以 是不是
[00:01:35.000 --> 00:01:37.000]  我自己都覺得很可以
[00:01:37.000 --> 00:01:40.000]  但是一吃下去的時候
[00:01:40.000 --> 00:01:41.000]  我想告訴你
[00:01:41.000 --> 00:01:46.000]  確實真的非常難吃
[00:01:46.000 --> 00:01:48.000]  我的同屋就很好
[00:01:48.000 --> 00:01:50.000]  我的同屋就說
[00:01:50.000 --> 00:01:52.000]  不是難吃的
[00:01:52.000 --> 00:01:54.000]  不好吃而已
[00:01:54.000 --> 00:01:58.000]  所以我就發現原來
[00:01:58.000 --> 00:02:04.000]  吃東西都是要色 香 味去平均的
[00:02:04.000 --> 00:02:05.000]  為什麼難吃呢
[00:02:05.000 --> 00:02:07.000]  就是因為知道這個菠蘿包
[00:02:07.000 --> 00:02:10.000]  很多糖 自己又減一半
[00:02:10.000 --> 00:02:13.000]  很多牛油 又自己減一半
[00:02:13.000 --> 00:02:16.000]  結果就是非常難吃
[00:02:16.000 --> 00:02:20.000]  這個就是關於今天的經文
[00:02:20.000 --> 00:02:24.000]  說到一個平衡的原則
[00:02:24.000 --> 00:02:26.000]  為什麼呢
[00:02:26.000 --> 00:02:28.000]  稍後大家就會知道
[00:02:28.000 --> 00:02:32.000]  為什麼用菠蘿包有這麼大的啟示
[00:02:32.000 --> 00:02:37.000]  今天我們會說到約翰二書
[00:02:37.000 --> 00:02:38.000]  我又想問一下
[00:02:38.000 --> 00:02:42.000]  大家看看聖經知識有多少
[00:02:42.000 --> 00:02:45.000]  聖經裡面有四卷書
[00:02:45.000 --> 00:02:48.000]  那四卷書只有一章
[00:02:48.000 --> 00:02:54.000]  有人知道嗎
[00:02:54.000 --> 00:02:55.000]  《猶大書》
[00:02:55.000 --> 00:02:59.000]  還有《肥利門書》
[00:02:59.000 --> 00:03:04.000]  今天說的約翰二書和約翰三書
[00:03:04.000 --> 00:03:06.000]  這四卷書裡面
[00:03:06.000 --> 00:03:09.000]  今天所說的最短的
[00:03:09.000 --> 00:03:11.000]  只有十三節
[00:03:11.000 --> 00:03:15.000]  接下來的約翰三書就有十五節
[00:03:15.000 --> 00:03:17.000]  《肥利門書》和《猶大書》
[00:03:17.000 --> 00:03:20.000]  分別有廿五節
[00:03:20.000 --> 00:03:22.000]  我們今天用一課的時間
[00:03:22.000 --> 00:03:25.000]  就看了一卷書
[00:03:25.000 --> 00:03:28.000]  所以大家一起好好學習
[00:03:28.000 --> 00:03:30.000]  我們說到了
[00:03:30.000 --> 00:03:32.000]  在約翰二書裡面
[00:03:32.000 --> 00:03:35.000]  很明顯它是一封書信
[00:03:35.000 --> 00:03:38.000]  它有上下的慰問
[00:03:38.000 --> 00:03:41.000]  然後就有中間的內容
[00:03:41.000 --> 00:03:45.000]  這個書信寫信就有它的背景
[00:03:45.000 --> 00:03:48.000]  為什麼無緣無故會寫這封信呢
[00:03:48.000 --> 00:03:51.000]  約翰在當時
[00:03:51.000 --> 00:03:54.000]  他已經年紀比較大
[00:03:54.000 --> 00:03:56.000]  在他身邊的使徒
[00:03:56.000 --> 00:03:59.000]  已經一個一個離世
[00:03:59.000 --> 00:04:01.000]  他在當時的教會裡面
[00:04:01.000 --> 00:04:03.000]  是一個長老
[00:04:03.000 --> 00:04:06.000]  就是我們現在教會所說的執事
[00:04:06.000 --> 00:04:08.000]  他要去牧羊教會
[00:04:08.000 --> 00:04:10.000]  但是他發現
[00:04:10.000 --> 00:04:14.000]  在那時候牧羊教會很艱難
[00:04:14.000 --> 00:04:18.000]  因為出現了一群異端
[00:04:18.000 --> 00:04:21.000]  異端就和異教不一樣
[00:04:21.000 --> 00:04:23.000]  異教我們很清楚
[00:04:23.000 --> 00:04:24.000]  不是基督教
[00:04:24.000 --> 00:04:26.000]  是佛教
[00:04:26.000 --> 00:04:28.000]  是道教
[00:04:28.000 --> 00:04:32.000]  異端可能和我們看同一本聖經
[00:04:32.000 --> 00:04:36.000]  只不過他們的解讀是完全不一樣的
[00:04:36.000 --> 00:04:39.000]  譬如他不認是三一真神
[00:04:39.000 --> 00:04:43.000]  不認耶穌是神的兒子等等
[00:04:43.000 --> 00:04:46.000]  然後約翰就希望
[00:04:46.000 --> 00:04:48.000]  鼓勵當時的信徒
[00:04:48.000 --> 00:04:50.000]  在教會裡面
[00:04:50.000 --> 00:04:52.000]  能夠遵行真理
[00:04:52.000 --> 00:04:54.000]  彼此相愛
[00:04:54.000 --> 00:04:56.000]  為什麼要這樣做
[00:04:56.000 --> 00:05:00.000]  就是拒絕去接待這些假教師
[00:05:00.000 --> 00:05:03.000]  讓他們不要將這些異端
[00:05:03.000 --> 00:05:05.000]  進入教會裡面
[00:05:05.000 --> 00:05:10.000]  所以今天這封約翰二書的內容
[00:05:10.000 --> 00:05:11.000]  就是強調
[00:05:11.000 --> 00:05:13.000]  上帝的愛
[00:05:13.000 --> 00:05:16.000]  就是要在耶穌基督裡面
[00:05:16.000 --> 00:05:20.000]  我們今天就進入經文
[00:05:20.000 --> 00:05:23.000]  首先我們看一下
[00:05:23.000 --> 00:05:25.000]  一到三節那裡
[00:05:25.000 --> 00:05:29.000]  內容是關於忠於真理
[00:05:29.000 --> 00:05:31.000]  怎樣忠於真理呢
[00:05:31.000 --> 00:05:34.000]  我們一起看一下經文的內容
[00:05:34.000 --> 00:05:36.000]  我們不如一起讀一下
[00:05:36.000 --> 00:05:38.000]  作掌路的
[00:05:38.000 --> 00:05:41.000]  寫信給莫揀選的太太
[00:05:41.000 --> 00:05:43.000]  和她的兒女
[00:05:43.000 --> 00:05:46.000]  就是我誠心所愛的
