
[00:00:00.000 --> 00:00:04.840]  好 我們繼續講我們這個跨越的系列
[00:00:04.840 --> 00:00:06.920]  我們講到說Crossover
[00:00:06.920 --> 00:00:09.320]  我們希望每一位大英姐妹都能夠和應
[00:00:09.320 --> 00:00:12.880]  特別在這一年裏面我們能夠成爲主的見證
[00:00:12.880 --> 00:00:15.000]  這次我們繼續看《士同行傳》
[00:00:15.000 --> 00:00:18.800]  第三章 第三章有一個故事
[00:00:18.800 --> 00:00:20.600]  大家可能從小到大
[00:00:20.600 --> 00:00:22.280]  如果我們中間有一個從小到大
[00:00:22.280 --> 00:00:23.360]  在教會長大的
[00:00:23.360 --> 00:00:26.360]  這個故事應該不是陌生的故事
[00:00:26.360 --> 00:00:30.920]  金 和 銀 我沒有 我奉拿撒壓
[00:00:30.920 --> 00:00:33.480]  人耶穌的名 叫你起來行走
[00:00:33.480 --> 00:00:34.880]  就是一個這麼簡單的故事
[00:00:34.880 --> 00:00:38.640]  這個故事是講到彼得和約翰
[00:00:38.640 --> 00:00:41.080]  在聖殿的門口見到
[00:00:41.080 --> 00:00:45.120]  一個生下來是瘸腿的 跛腳的
[00:00:45.120 --> 00:00:47.320]  就去到憐憫他
[00:00:47.320 --> 00:00:51.880]  然後奉上帝的名 叫他起來行走
[00:00:51.880 --> 00:00:53.960]  所以《士同行傳》去到第三章
[00:00:53.960 --> 00:00:55.960]  就講出一個這樣的故事
[00:00:55.960 --> 00:00:57.960]  我們要知道上文講的是什麼
[00:00:57.960 --> 00:00:59.320]  記得第二章講的是什麼
[00:00:59.320 --> 00:01:03.960]  最後的時候大概好像教會的一個自拍
[00:01:03.960 --> 00:01:07.960]  就是教會或者團體大家喫飯的時候
[00:01:07.960 --> 00:01:10.120]  你會拍個自拍 是不是
[00:01:10.120 --> 00:01:11.120]  會拍一拍大家
[00:01:11.120 --> 00:01:13.760]  那個照片的描述是怎麼樣的呢
[00:01:13.760 --> 00:01:16.360]  這個就是初期教會在耶路撒壓建立的時候
[00:01:16.360 --> 00:01:18.440]  他們那個所謂的自拍
[00:01:18.440 --> 00:01:19.040]  講到什麼呢
[00:01:19.040 --> 00:01:21.520]  他說衆人都心存敬畏
[00:01:21.520 --> 00:01:25.760]  使徒們又行許多歧視神蹟
[00:01:25.760 --> 00:01:27.840]  信的人都聚在一處繁物共融
[00:01:27.840 --> 00:01:30.120]  又賣料 田產和家業
[00:01:30.120 --> 00:01:32.840]  照每一個人所需要的分給他們
[00:01:32.840 --> 00:01:37.600]  他們天天同心合意 行切的在聖殿裏面敬拜
[00:01:37.600 --> 00:01:39.200]  在家裏面抹餅
[00:01:39.200 --> 00:01:42.840]  然後傳着歡喜 坦誠的心用飯
[00:01:42.840 --> 00:01:44.000]  讚美神
[00:01:44.000 --> 00:01:45.880]  得全體百姓的喜愛
[00:01:45.880 --> 00:01:48.560]  主就將得救的人數天天加給他們
[00:01:48.560 --> 00:01:49.520]  這裏講了幾樣東西
[00:01:49.520 --> 00:01:52.320]  第一就是他們同心的來敬拜
[00:01:52.320 --> 00:01:55.080]  去看見這個羣體 看見教會的時候
[00:01:55.080 --> 00:01:56.240]  他們應當是這樣的
[00:01:56.240 --> 00:01:57.760]  同心來敬拜
[00:01:57.760 --> 00:01:59.400]  並且繁物共融
[00:01:59.400 --> 00:02:01.160]  這裏不是因爲國家要求
[00:02:01.160 --> 00:02:02.760]  或者政權要求
[00:02:02.760 --> 00:02:04.520]  是個人自願的
[00:02:04.520 --> 00:02:05.480]  主要想講什麼
[00:02:05.480 --> 00:02:07.520]  就是每一個人聚在一起的時候
[00:02:07.520 --> 00:02:09.640]  當時的教會就是自願的
[00:02:09.640 --> 00:02:12.640]  慷慨的來奉獻的一羣羣體
[00:02:12.640 --> 00:02:15.600]  這些寫照都是去inspire我們
[00:02:15.600 --> 00:02:18.280]  到底我們的教會是一個怎樣的教會
[00:02:18.280 --> 00:02:19.960]  你看到這裏第二張
[00:02:19.960 --> 00:02:20.960]  最後的時候
[00:02:20.960 --> 00:02:23.640]  講到這個初期教會的寫照
[00:02:23.640 --> 00:02:24.720]  他的自拍的時候
[00:02:24.720 --> 00:02:27.920]  他說有很多歧視和神跡
[00:02:27.920 --> 00:02:29.640]  當時聖靈降臨的時候
[00:02:29.640 --> 00:02:30.880]  五秦節降臨的時候
[00:02:30.880 --> 00:02:32.960]  就是一個或時代的時間
[00:02:32.960 --> 00:02:34.080]  或時代的時間
[00:02:34.080 --> 00:02:37.000]  就會有一些突然其來的
[00:02:37.000 --> 00:02:41.480]  或時代的事情會發生
[00:02:41.480 --> 00:02:43.040]  就是比如他們講謊言
[00:02:43.040 --> 00:02:46.520]  和一些聖靈的大能的工作等等
[00:02:46.520 --> 00:02:50.160]  所以你看到他們有很多歧視發生
[00:02:50.160 --> 00:02:51.840]  可能病的得醫治等等
[00:02:51.840 --> 00:02:55.400]  這就是所謂的apoc making events
[00:02:55.400 --> 00:02:57.720]  就是一個新的朝代
[00:02:57.720 --> 00:02:59.520]  新的時代到了
[00:02:59.520 --> 00:03:00.680]  剛開始的時候
[00:03:00.680 --> 00:03:03.800]  總是會有一些或時代的事情發生
