
[00:00:00.000 --> 00:00:04.360]  今天我願意跟大家來分享教會生活的一個部分
[00:00:04.360 --> 00:00:07.680]  叫做"規正的教會生活"
[00:00:07.680 --> 00:00:13.060]  若是大家可以容許我跟大家一起來先看一下
[00:00:13.060 --> 00:00:19.720]  使徒行傳的第七章的五十四節跟六十節
[00:00:19.720 --> 00:00:22.400]  這個經文特別的講到
[00:00:22.400 --> 00:00:30.000]  史其反這個在初期教會第一個爲主殉道的弟兄
[00:00:30.000 --> 00:00:31.880]  他爲主做了見證
[00:00:31.880 --> 00:00:32.880]  帶來的是什麼?
[00:00:32.880 --> 00:00:37.480]  帶來的一個很大的、很差異的一個反應
[00:00:37.480 --> 00:00:41.080]  就是在聖經中特別的記載
[00:00:41.080 --> 00:00:44.280]  第七章的五十四到六十節
[00:00:44.280 --> 00:00:47.960]  衆人聽到這話就極其的努力
[00:00:47.960 --> 00:00:51.200]  向史其反咬牙扯齒
[00:00:51.200 --> 00:00:55.000]  但史其反被聖靈充滿
[00:00:55.000 --> 00:00:57.040]  定睛望天
[00:00:57.040 --> 00:00:59.280]  看見神的榮耀
[00:00:59.280 --> 00:01:03.040]  又看見耶穌站在神的右邊
[00:01:03.040 --> 00:01:06.200]  就說:我看見天開了
[00:01:06.200 --> 00:01:08.680]  人子站在神的右邊
[00:01:08.680 --> 00:01:10.800]  衆人大聲呼喊
[00:01:10.800 --> 00:01:12.320]  捂着耳朵
[00:01:12.320 --> 00:01:15.480]  齊心湧上前去
[00:01:15.480 --> 00:01:17.680]  把他推到城外
[00:01:17.680 --> 00:01:20.480]  用石頭打死
[00:01:20.480 --> 00:01:21.600]  在當中
[00:01:21.600 --> 00:01:23.520]  在這個記載還沒有結束的時候
[00:01:23.520 --> 00:01:26.480]  出現了一個人物叫做掃羅
[00:01:26.480 --> 00:01:33.080]  做見證的人把衣裳放在一個少年人名叫掃羅的腳前
[00:01:33.080 --> 00:01:35.560]  他們正用石頭打的時候
[00:01:35.560 --> 00:01:38.400]  史其反呼籲主說
[00:01:38.400 --> 00:01:41.640]  求主耶穌接收我的靈魂
[00:01:41.640 --> 00:01:44.560]  又跪下大聲喊叫說
[00:01:44.560 --> 00:01:45.440]  主啊
[00:01:45.440 --> 00:01:48.080]  不要將這罪歸於他們
[00:01:48.080 --> 00:01:50.440]  說了這話就碎了
[00:01:50.440 --> 00:01:54.440]  掃羅也喜悅他被害
[00:01:54.440 --> 00:02:02.200]  從七章的最後一節到了九章第一節當中記載了信徒被逼迫
[00:02:02.200 --> 00:02:06.320]  然後第九章就開始把剛纔出現的史其反
[00:02:06.320 --> 00:02:10.040]  要重新的用另外一個亮光來記載下來
[00:02:10.040 --> 00:02:12.360]  第九章的第一節
[00:02:12.360 --> 00:02:17.200]  我在當中單單的跟大家念第一節到第五節
[00:02:17.200 --> 00:02:21.600]  第一節到第五節使徒行傳的第九章
[00:02:21.600 --> 00:02:28.000]  掃羅仍然向主的門徒口吐威俠松下的話
[00:02:28.000 --> 00:02:29.520]  去見大智師
