
[00:00:00.000 --> 00:00:02.000]  紀子梅 早晨
[00:00:02.000 --> 00:00:04.000]  紀子梅 早
[00:00:04.000 --> 00:00:08.000]  今日呢我就講一個都幾切身嘅題目
[00:00:08.000 --> 00:00:11.000]  今天我要講一個比較切身嘅題目
[00:00:11.000 --> 00:00:15.000]  你可唔可以節制自己唔發嬲呢?
[00:00:15.000 --> 00:00:19.000]  你可唔可以節制自己唔發嬲呢?
[00:00:19.000 --> 00:00:21.000]  有冇呀?
[00:00:21.000 --> 00:00:23.000]  好難
[00:00:23.000 --> 00:00:24.000]  很困難
[00:00:24.000 --> 00:00:26.000]  好難唔發嬲呀
[00:00:26.000 --> 00:00:30.000]  咁呢 諗吓你幾時發過嬲
[00:00:30.000 --> 00:00:32.000]  想一想你咩時候發過脾氣
[00:00:32.000 --> 00:00:36.000]  我好似今朝都已經發咗脾氣
[00:00:36.000 --> 00:00:38.000]  我好似今天早上都發過脾氣
[00:00:38.000 --> 00:00:40.000]  我叫師母幫下手啦 幫下手啦
[00:00:40.000 --> 00:00:43.000]  喺個電話度做啲嘢啦
[00:00:43.000 --> 00:00:45.000]  我叫師母幫我做一點事情
[00:00:45.000 --> 00:00:47.000]  喺電話度叫佢做一點事
[00:00:47.000 --> 00:00:49.000]  做來做去都做唔掂 咁點辦呢?
[00:00:49.000 --> 00:00:51.000]  做來做去都唔做好 怎麼辦呢?
[00:00:51.000 --> 00:00:53.000]  咁我心好急呀
[00:00:53.000 --> 00:00:55.000]  我心裏面就非常地急
[00:00:55.000 --> 00:00:57.000]  好催促佢啦
[00:00:57.000 --> 00:00:59.000]  催促佢快啲啦 快啲啦
[00:00:59.000 --> 00:01:01.000]  咁我就催促佢快啲啦 快啲啦
[00:01:01.000 --> 00:01:03.000]  感謝主
[00:01:03.000 --> 00:01:04.000]  最後我都冇發嬲
[00:01:04.000 --> 00:01:06.000]  最後我都冇發脾氣
[00:01:06.000 --> 00:01:07.000]  幾乎發嬲啫
[00:01:07.000 --> 00:01:08.000]  差唔多啦
[00:01:08.000 --> 00:01:10.000]  如果唔係呢 就師母唔喺度㗎啦
[00:01:10.000 --> 00:01:13.000]  如果係的話 師母都冇坐喺度
[00:01:13.000 --> 00:01:15.000]  師母會發嬲㗎嘛 佢都發嬲㗎嘛
[00:01:15.000 --> 00:01:16.000]  師母都會發脾氣
[00:01:16.000 --> 00:01:18.000]  咁佢就唔會返嚟啦
[00:01:18.000 --> 00:01:20.000]  佢可能就唔會返嚟啦
[00:01:20.000 --> 00:01:22.000]  呢個雅各係邊個呢?
[00:01:22.000 --> 00:01:24.000]  雅各係哪一位呢?
[00:01:24.000 --> 00:01:28.000]  雅各唔係耶穌嘅門徒
[00:01:28.000 --> 00:01:32.000]  呢個雅各並唔係耶穌嘅門徒
[00:01:32.000 --> 00:01:36.000]  佢係耶路撒冷早期教會嘅領袖
[00:01:36.000 --> 00:01:39.000]  佢係耶路撒冷早期教會嘅領袖
[00:01:39.000 --> 00:01:41.000]  相信佢就係主耶穌嘅細佬
[00:01:41.000 --> 00:01:43.000]  相信佢就係主耶穌嘅弟弟
[00:01:43.000 --> 00:01:46.000]  就係當耶穌復活咗之後
