
[00:00:00.000 --> 00:00:01.400]  大姐妹平安
[00:00:01.400 --> 00:00:04.740]  我們經過上星期崇拜教主日後
[00:00:04.740 --> 00:00:08.220]  我們再次回來一起來學習「次律行傳」
[00:00:08.220 --> 00:00:10.220]  讓我們再次低頭禱告
[00:00:10.220 --> 00:00:14.520]  我們所敬拜所侍奉的上帝
[00:00:14.520 --> 00:00:16.920]  祢是配得我們的稱頌
[00:00:16.920 --> 00:00:19.640]  配得我們的敬拜
[00:00:19.640 --> 00:00:21.640]  因為祢是我們的神
[00:00:21.640 --> 00:00:24.000]  我們是祢自己的藥
[00:00:24.000 --> 00:00:27.080]  上帝求祢藉著聖靈
[00:00:27.080 --> 00:00:30.080]  運行在我們的心裡面
[00:00:30.080 --> 00:00:35.400]  讓我們能夠安心專心地來敬拜祢
[00:00:35.400 --> 00:00:38.600]  主啊 讓我們的心快樂
[00:00:38.600 --> 00:00:41.320]  讓我們的靈尊祢為大
[00:00:41.320 --> 00:00:46.320]  又讓聖靈開啟祢的話語
[00:00:46.320 --> 00:00:47.440]  讓我們明白
[00:00:47.440 --> 00:00:51.400]  我們這樣望、交、託、奉耶穌的聖名祈求
[00:00:51.400 --> 00:00:52.520]  阿門
[00:00:57.920 --> 00:01:00.400]  我們今天看的經文就是
[00:01:00.400 --> 00:01:03.920]  「次律行傳」十六章的四十節到十七章的十七節
[00:01:03.920 --> 00:01:05.840]  大家特別留意
[00:01:05.840 --> 00:01:08.160]  是有十六章四十節
[00:01:08.160 --> 00:01:11.560]  我想是刻意來安排的
[00:01:11.560 --> 00:01:14.160]  我們今天看的經文
[00:01:14.160 --> 00:01:18.160]  我們看到保羅的團隊
[00:01:18.160 --> 00:01:20.560]  在三個地方來談道
[00:01:20.560 --> 00:01:22.760]  在菲律賓
[00:01:22.760 --> 00:01:26.520]  接著去哲學萊加
[00:01:27.360 --> 00:01:30.200]  又轉去比利亞和雅典
[00:01:30.200 --> 00:01:32.200]  當然十七章之後
[00:01:32.200 --> 00:01:34.200]  還有繼續在其他地方的
[00:01:34.200 --> 00:01:37.960]  保羅的團隊
[00:01:37.960 --> 00:01:42.280]  因為在每個地方都被擾亂如戰地方
[00:01:42.280 --> 00:01:44.320]  在菲律賓的時候
[00:01:44.320 --> 00:01:49.760]  保羅將被鬼附的人身上的鬼趕出去之後
[00:01:49.760 --> 00:01:53.400]  無術的人看到發財的希望沒有了
[00:01:53.400 --> 00:01:56.120]  就誣告他們
[00:01:56.800 --> 00:01:58.440]  最後都令他們坐牢
[00:01:58.440 --> 00:02:03.440]  之後他們就轉去哲學萊加
[00:02:03.440 --> 00:02:05.440]  在哲學萊加的時候
[00:02:05.440 --> 00:02:07.680]  他們傳福音很有果效
[00:02:07.680 --> 00:02:08.960]  很多人信主
[00:02:08.960 --> 00:02:11.720]  於是又引起猶太人的嫉妒
[00:02:11.720 --> 00:02:13.000]  發起騷動
[00:02:13.000 --> 00:02:16.680]  他們不得不再轉去比利亞
[00:02:16.680 --> 00:02:20.680]  在那裡又有福音的果效
[00:02:20.680 --> 00:02:24.440]  又遇到猶太人煽動群眾
[00:02:24.440 --> 00:02:26.040]  來擾亂
[00:02:27.520 --> 00:02:30.560]  最後十七章的尾段
[00:02:30.560 --> 00:02:34.560]  即是十七節講到他們轉到雅典
[00:02:34.560 --> 00:02:37.640]  在整條經文裡面
[00:02:37.640 --> 00:02:40.480]  我們看到一個很困惑的事情
[00:02:40.480 --> 00:02:42.360]  就是保羅的團隊
[00:02:42.360 --> 00:02:44.760]  他們又被擾亂
