
[00:00:00.000 --> 00:00:08.020]  很多人有不同的翻譯,很多人翻譯做倖存者,我叫做求生者
[00:00:08.020 --> 00:00:15.480]  這個其實是一個很長壽的節目,1997年開始上電視,到現在已經是32季了
[00:00:15.480 --> 00:00:21.480]  爲什麼這麼popular呢?我不知道當中有沒有人看的,有沒有人看過?
[00:00:21.480 --> 00:00:25.800]  不是很多人看的,因爲我也沒看過,如果不是要講道,我也不看的
[00:00:25.800 --> 00:00:36.880]  Anyway,爲什麼我覺得這麼有意思呢?我嘗試瞭解一下年輕人的背景,如何開始這樣的電視系列
[00:00:36.880 --> 00:00:43.240]  當然獎金豐富,最後得到100萬美金,那是不簡單的,做了一輩子未必能夠存到那麼多錢
[00:00:43.240 --> 00:00:46.840]  I don't know,可能engineer可以的,I don't know
[00:00:46.840 --> 00:00:51.880]  但是獎金豐富,我相信其中一件事,人們有興趣的是什麼呢?
[00:00:51.880 --> 00:00:56.800]  是要挑戰人的體能,挑戰人的心智和毅力
[00:00:56.800 --> 00:01:01.800]  而另一方面來講,我相信是什麼呢?爲什麼觀衆會喜歡看呢?
[00:01:01.800 --> 00:01:11.720]  因爲其實,這個是將美國的文化濃縮在這16到20個人當中
[00:01:11.720 --> 00:01:19.680]  每一次參加,16到20人,分成兩組叫tribe,兩隊的部族,大家就要競爭
[00:01:19.680 --> 00:01:25.960]  然後到最後的時間,只有一個survivor
[00:01:25.960 --> 00:01:29.760]  爲什麼我反映美國文化裏面的這種情況呢?
[00:01:29.760 --> 00:01:35.560]  因爲他爲了得到最終的獎金
[00:01:35.560 --> 00:01:40.120]  到一個地步,就算是同一個tribe的人,都要彼此去針對
[00:01:40.120 --> 00:01:47.600]  要用不同的手段,每一次開tribal council的時候,就將一個人剝走
[00:01:47.600 --> 00:01:53.600]  所以我們發現,很多時候反映出,人可以爲了個人的利益和私慾
[00:01:53.600 --> 00:02:01.000]  不擇手段將其他參賽者一個一個踢走,讓他能夠成爲一個sole survivor
[00:02:01.000 --> 00:02:06.600]  但是我剛纔講過,有些翻譯叫做倖存者,什麼叫倖存呢?
[00:02:06.600 --> 00:02:10.440]  就是有幸生存的意思,死不去
[00:02:10.440 --> 00:02:15.120]  雖然他們要各用手段,用很多不同的方法
[00:02:15.120 --> 00:02:22.880]  但到了最後,誰是鹿死誰手,能夠得到這個獨得的獎金呢?
[00:02:22.880 --> 00:02:26.760]  到最後那一集,就沒人會知道了
[00:02:26.760 --> 00:02:31.960]  所以其實也有些僥倖的成分在當中
[00:02:31.960 --> 00:02:36.360]  但是今天我要和大家開始講的系列,叫做求生者
[00:02:36.360 --> 00:02:40.760]  我想肯定一件事,就是說,其實每一個人都有一個生存的盼望
[00:02:40.760 --> 00:02:43.040]  神將他的盼望賜給我們每一個人
[00:02:43.040 --> 00:02:48.520]  所以我們不是僥倖地生存在這個世界當中
[00:02:48.520 --> 00:02:50.960]  世界裏面充滿了問題、難處和挑戰
[00:02:50.960 --> 00:02:56.440]  但是我們要做一個求生者,做一個有盼望的求生者
[00:02:56.440 --> 00:02:59.040]  而爲什麼我們要講一個這麼尖銳的題目呢?
[00:02:59.040 --> 00:03:05.120]  我們覺得在美國,雖然我們經常看到很多不法的事情
[00:03:05.120 --> 00:03:07.240]  經常開槍殺人,諸如此類的事情
[00:03:07.240 --> 00:03:09.320]  但是相對來說,美國還是OK的
[00:03:09.320 --> 00:03:13.720]  我們沒有了這種逼切感,我們好像是在一個surviving mode
[00:03:13.720 --> 00:03:16.240]  做工不是吧?做工可能是survive的
[00:03:16.240 --> 00:03:19.080]  在崇拜之前,我看到一個弟兄,我說最近怎麼樣?
[00:03:19.080 --> 00:03:22.040]  survive的,工作很忙
[00:03:22.040 --> 00:03:25.120]  希望能夠繼續survive下去
[00:03:25.120 --> 00:03:27.320]  工作有時候我們覺得我們是surviving mode
[00:03:27.320 --> 00:03:31.920]  但是在生活上來說,我們覺得都OK的
[00:03:31.920 --> 00:03:35.040]  那我們的屬靈生命又如何呢?
[00:03:35.040 --> 00:03:39.080]  我們的屬靈生命是不是都覺得我們都很OK呢?
[00:03:39.080 --> 00:03:44.400]  從牧師的角度,以及一段很長的時間去觀察的時候
[00:03:44.400 --> 00:03:48.280]  我們才發覺其實情況不是這樣的
[00:03:48.280 --> 00:03:51.320]  其實我發覺今天很多人在屬靈的生命當中
[00:03:51.320 --> 00:03:56.120]  我們都是在一個surviving mode,在求生中
[00:03:56.120 --> 00:04:00.920]  甚至我們是一個倖存者,希望能夠繼續活下去
[00:04:00.920 --> 00:04:04.720]  做一個持有的約同
[00:04:04.720 --> 00:04:10.360]  所以這幾個星期,我和我們的同工會和大家分享這個題目
[00:04:10.360 --> 00:04:12.600]  要求生
[00:04:12.600 --> 00:04:15.600]  不過求生我們不是無可奈何的
[00:04:15.600 --> 00:04:18.120]  正如我剛纔已經不止一次說
[00:04:18.120 --> 00:04:20.800]  我們信得過天父上帝,與我們同在
[00:04:20.800 --> 00:04:22.240]  我們有生存的盼望
[00:04:22.240 --> 00:04:25.760]  所以我們不是被動的,看看到時有沒有人救我們
[00:04:25.760 --> 00:04:28.040]  我們是主動的,積極的
[00:04:28.040 --> 00:04:29.760]  去求天父上帝幫助我們
[00:04:29.760 --> 00:04:32.160]  在一個這麼有問題的社會當中
[00:04:32.160 --> 00:04:35.720]  我們能夠survive and move on
[00:04:35.720 --> 00:04:37.680]  不單單能夠生存
[00:04:37.680 --> 00:04:40.000]  並且能夠完成天父上帝
[00:04:40.000 --> 00:04:44.640]  將我們放在這個時間空間的任務
[00:04:44.640 --> 00:04:47.560]  首先我們必須要明白
[00:04:47.560 --> 00:04:50.800]  其實我們真是生活在一個很兇險的世代裏面
[00:04:50.800 --> 00:04:53.880]  這個情況已經傳轉了很久了
[00:04:53.880 --> 00:04:56.320]  保羅的時間已經跟我們說了
[00:04:56.320 --> 00:05:00.040]  我們看看提摩塔後書第三章
[00:05:00.040 --> 00:05:02.360]  第三章第一節是怎麼說的呢
[00:05:02.360 --> 00:05:07.080]  保羅說你們應該知道末世必有危險的日子來到
[00:05:07.080 --> 00:05:08.800]  因爲那個時間
[00:05:08.800 --> 00:05:09.880]  大家看看
[00:05:09.880 --> 00:05:12.960]  人要尊敬自己,貪愛錢財
[00:05:12.960 --> 00:05:15.520]  自誇,狂傲,旁毒
[00:05:15.520 --> 00:05:18.320]  違背父母,忘恩負義
[00:05:18.320 --> 00:05:22.080]  心不聖潔,母親情不解怨
[00:05:22.080 --> 00:05:24.880]  好說慘言,不能自約
