
[00:00:00.000 --> 00:00:01.000]  帝英姐妹平安
[00:00:01.000 --> 00:00:05.420]  希望大家在這個那麼大雪紛飛
[00:00:05.420 --> 00:00:08.380]  在寒冬裏面 大家都真的有平安
[00:00:08.380 --> 00:00:13.160]  這個星期我們真的聽到很多
[00:00:13.160 --> 00:00:14.480]  很不好的消息
[00:00:14.480 --> 00:00:16.800]  很多令人心痛的消息
[00:00:16.800 --> 00:00:19.080]  同一時間
[00:00:19.080 --> 00:00:21.780]  我們都知道有些帝英姐妹在前線
[00:00:21.780 --> 00:00:24.600]  她們做了很多
[00:00:24.600 --> 00:00:27.300]  在冬日送暖的行動
[00:00:27.700 --> 00:00:30.540]  今天我突然回來的時候
[00:00:30.540 --> 00:00:32.200]  有個帝英跟我說
[00:00:32.200 --> 00:00:35.400]  他說他在鏟雪的時候 鏟了隔壁的左右
[00:00:35.400 --> 00:00:39.400]  其實我覺得在這個那麼寒冬的時間
[00:00:39.400 --> 00:00:40.740]  基督徒
[00:00:40.740 --> 00:00:42.860]  做這些事是很好的
[00:00:42.860 --> 00:00:45.500]  因為你可以將你
[00:00:45.500 --> 00:00:49.000]  生命有的東西 你的愛
[00:00:49.000 --> 00:00:50.520]  帶給身邊的人
[00:00:50.520 --> 00:00:55.140]  我們多謝這個帝英
[00:00:55.140 --> 00:00:57.600]  告訴我們 因為我覺得這件事
[00:00:58.240 --> 00:01:01.060]  對我來說都很能溫暖我的心
[00:01:01.060 --> 00:01:04.980]  不知道 嘩 有點暗暗的
[00:01:04.980 --> 00:01:07.420]  大家認不認得出這個人呢
[00:01:07.420 --> 00:01:14.480]  有些人認得出
[00:01:14.480 --> 00:01:16.960]  在這個開頭的五分鐘
[00:01:16.960 --> 00:01:18.960]  希望大家以一個第一人稱
[00:01:18.960 --> 00:01:20.680]  去進入一個人的生命
[00:01:20.680 --> 00:01:24.520]  希望我們用這短短的五分鐘去經歷一下
[00:01:24.900 --> 00:01:27.900]  一個人的生命被逆轉 被反轉
[00:01:27.900 --> 00:01:31.020]  又被人重新建立的一個故事
[00:01:31.020 --> 00:01:34.460]  如果準備好 我們一起來代入這個角色
[00:01:34.460 --> 00:01:38.560]  時間回到40年前
[00:01:38.560 --> 00:01:40.900]  當我30歲的時候
[00:01:40.900 --> 00:01:43.440]  我已經建立了自己的一個雙魚王國
[00:01:43.440 --> 00:01:46.380]  我和我的朋友
[00:01:46.380 --> 00:01:49.280]  一起在車庫裏面開設了一間公司
[00:01:49.280 --> 00:01:53.940]  10年內 這間公司成長得很快
[00:01:53.940 --> 00:01:55.320]  由幾千元
[00:01:55.320 --> 00:01:59.840]  成長到年收入20億美元
[00:01:59.840 --> 00:02:02.260]  有4千個員工的企業
[00:02:02.260 --> 00:02:05.520]  我們剛剛推出了一個偉大的傑作
[00:02:05.520 --> 00:02:06.760]  這部Map
[00:02:06.760 --> 00:02:09.440]  是的 我就是Steve John
[00:02:09.440 --> 00:02:12.200]  那一刻 我擁有了一切
[00:02:12.200 --> 00:02:15.040]  我是年輕的企業家的代表
[00:02:15.040 --> 00:02:17.280]  全世界都看我頭
[00:02:17.280 --> 00:02:19.760]  我相信我的人生很成功
[00:02:20.560 --> 00:02:24.060]  正當我以為我人生一帆風順
[00:02:24.060 --> 00:02:26.180]  風生水起的時候
[00:02:26.180 --> 00:02:28.080]  突然間發生了一件事
[00:02:28.080 --> 00:02:31.080]  我竟然被蘋果炒了魷魚
[00:02:31.080 --> 00:02:35.740]  我被我親手創立的公司炒了我
[00:02:35.740 --> 00:02:37.600]  事情是這樣的
[00:02:37.600 --> 00:02:39.840]  當初我邀請了一個人
[00:02:39.840 --> 00:02:42.320]  回來做蘋果的CEO
[00:02:42.320 --> 00:02:44.520]  我覺得他可以幫助蘋果成長
[00:02:44.520 --> 00:02:48.640]  不過時間越久 我和他之間的衝突越來越深
[00:02:49.040 --> 00:02:51.480]  我想要這樣 他想要那樣
[00:02:51.480 --> 00:02:53.720]  我們的園東開始分黨
[00:02:53.720 --> 00:02:56.680]  有些人站在他那邊 有些人站在我那邊
[00:02:56.680 --> 00:02:59.960]  最後董事會就這樣說
[00:02:59.960 --> 00:03:02.320]  要麼你走 要麼我走
[00:03:02.320 --> 00:03:06.440]  在1985年 董事會決定了
[00:03:06.440 --> 00:03:07.640]  我一定要走
[00:03:07.640 --> 00:03:09.600]  當時的我
[00:03:09.600 --> 00:03:12.560]  幫我按 按
[00:03:12.560 --> 00:03:15.880]  照一張
[00:03:15.880 --> 00:03:20.240]  執著紙皮箱 在蘋果總部的停車場
[00:03:20.240 --> 00:03:22.080]  眼淚很自然地流出來
[00:03:22.080 --> 00:03:24.720]  我心想 這個世界玩完了
[00:03:24.720 --> 00:03:26.720]  我玩完了
[00:03:26.720 --> 00:03:29.120]  我是一個失敗者
[00:03:29.120 --> 00:03:30.640]  我辜負了所有人
[00:03:30.640 --> 00:03:33.320]  他加棒給我 我反而還跌在地上
[00:03:33.320 --> 00:03:35.000]  我甚至想逃離矽谷
[00:03:35.000 --> 00:03:37.680]  我想逃離這一切 令我失敗的一切
[00:03:37.680 --> 00:03:39.600]  於是我寫了一封信
[00:03:39.600 --> 00:03:41.880]  這封辭職信裡面是這樣說的
[00:03:41.880 --> 00:03:43.680]  我感到憤怒和悲哀
[00:03:43.680 --> 00:03:47.440]  因為蘋果做這些事情一點好處都沒有
[00:03:47.440 --> 00:03:50.560]  我只是三十歲 我很想繼續創作
[00:03:50.560 --> 00:03:54.680]  我生命裡面還有一步很大的傑作
[00:03:54.680 --> 00:03:56.600]  準備推向世界
[00:03:56.600 --> 00:03:59.320]  但是蘋果沒有給我這個機會
[00:03:59.320 --> 00:04:02.280]  當時的我看不到任何的希望
[00:04:02.280 --> 00:04:05.000]  不過在黑暗的裡面
[00:04:05.000 --> 00:04:06.960]  有一樣事情發生了
[00:04:06.960 --> 00:04:08.760]  我問自己一個問題
[00:04:08.760 --> 00:04:11.440]  雖然好像一切都玩完了
[00:04:12.520 --> 00:04:15.400]  我自己最喜歡些什麼呢
[00:04:15.400 --> 00:04:19.000]  當時我領悟到蘋果公司發生的事情
[00:04:19.000 --> 00:04:21.240]  改變不了我對創作的熱誠
[00:04:21.240 --> 00:04:22.280]  我被人出賣
[00:04:22.280 --> 00:04:25.080]  但我依然很喜歡很喜歡我做的事情
[00:04:25.080 --> 00:04:27.160]  所以我決定重新開始
