
[00:00:00.000 --> 00:00:03.600]  大家有沒有玩過海盜船?
[00:00:03.600 --> 00:00:06.000]  在哪裏玩過?
[00:00:06.000 --> 00:00:08.000]  很多人玩過
[00:00:08.000 --> 00:00:11.400]  我記得一次是很多年前
[00:00:11.400 --> 00:00:15.300]  大概是我讀神學院實習的時候
[00:00:15.300 --> 00:00:19.100]  有一班少年人去牧養他們
[00:00:19.100 --> 00:00:22.400]  剛好他們是會考的那班學生
[00:00:22.400 --> 00:00:26.200]  那個團契剛好考完會考放暑假
[00:00:26.200 --> 00:00:31.600]  他們就說不如去海洋公園玩機動遊戲
[00:00:31.600 --> 00:00:34.400]  於是就和他們一起去
[00:00:34.400 --> 00:00:39.000]  首先他們說海盜船好玩
[00:00:39.000 --> 00:00:40.600]  又不是太刺激
[00:00:40.600 --> 00:00:44.400]  慢慢由沒那麼刺激的開始玩到最刺激的
[00:00:44.400 --> 00:00:46.400]  一起玩海盜船
[00:00:46.400 --> 00:00:49.600]  於是就問我夠不夠玩
[00:00:49.600 --> 00:00:52.000]  我說沒問題一起玩
[00:00:52.000 --> 00:00:55.600]  旁邊坐了一個中五的男生
[00:00:55.600 --> 00:00:57.400]  很開心
[00:00:57.400 --> 00:01:00.200]  我們找一些最後面的位置
[00:01:00.200 --> 00:01:04.800]  那個角度應該比較刺激
[00:01:04.800 --> 00:01:06.800]  開始的時候
[00:01:06.800 --> 00:01:08.800]  那個男生竟然哭起來
[00:01:08.800 --> 00:01:10.600]  哭起來很害怕
[00:01:10.600 --> 00:01:12.600]  然後就一直哭
[00:01:12.600 --> 00:01:15.400]  於是我就看到這個情況
[00:01:15.400 --> 00:01:17.000]  我就抱著他
[00:01:17.000 --> 00:01:19.000]  和他聊天
[00:01:19.000 --> 00:01:22.400]  覺得這一刻不能下來
[00:01:22.400 --> 00:01:23.600]  一直在搖晃
[00:01:23.600 --> 00:01:27.400]  唯有聊天和他分心
[00:01:27.400 --> 00:01:28.600]  分散注意力
[00:01:28.600 --> 00:01:31.000]  讓他不要一直看著那個情景
[00:01:31.000 --> 00:01:32.400]  好像很恐怖
[00:01:32.400 --> 00:01:35.000]  於是就一直全程和他聊天
[00:01:35.000 --> 00:01:36.400]  不用緊張
[00:01:36.400 --> 00:01:37.600]  說其他東西
[00:01:37.600 --> 00:01:41.600]  終於這個海盜船慢慢停下來
[00:01:41.600 --> 00:01:44.000]  我就好像
[00:01:44.000 --> 00:01:46.000]  我不覺得自己玩了海盜船
[00:01:46.000 --> 00:01:49.400]  他就平靜了
[00:01:49.400 --> 00:01:54.200]  人生就像有時候上了海盜船一樣有些風暴
[00:01:54.200 --> 00:01:55.400]  他都不知道的
[00:01:55.400 --> 00:01:57.400]  玩到本來很開心的
[00:01:57.400 --> 00:01:59.600]  誰知道進去之後就哭起來
[00:01:59.600 --> 00:02:01.800]  其實我們今天都會有時候
[00:02:01.800 --> 00:02:04.000]  在我們生活裡面
[00:02:04.000 --> 00:02:07.400]  可能有時候會樂極生悲
[00:02:07.400 --> 00:02:09.800]  有時候突然遇見一些事情
[00:02:09.800 --> 00:02:12.200]  是驚心動魄的
[00:02:12.200 --> 00:02:15.400]  或者是突如其來的一些風暴
[00:02:15.400 --> 00:02:19.000]  或者一些看來是絕境的一個情景
[00:02:19.000 --> 00:02:21.400]  我們究竟怎樣面對呢?
[00:02:21.400 --> 00:02:25.200]  今天就和大家講一個題目叫做
[00:02:25.200 --> 00:02:27.200]  加利利海的風暴
[00:02:27.200 --> 00:02:31.800]  剛才主席也和我們讀了一段大家都很熟悉的經文
[00:02:31.800 --> 00:02:33.200]  這段經文就是
[00:02:33.200 --> 00:02:36.800]  馬太、馬可、路加坊都有記載的
[00:02:36.800 --> 00:02:40.200]  簡單來說就是耶穌平息風浪
[00:02:40.200 --> 00:02:41.600]  耶穌平息風浪
[00:02:41.600 --> 00:02:44.800]  今天的題目叫做加利利海的風暴
[00:02:44.800 --> 00:02:46.800]  我想和大家看幾方面
[00:02:46.800 --> 00:02:50.800]  一方面就是門徒對於面對風暴的反應
[00:02:50.800 --> 00:02:53.400]  第二方面我會用一幅畫
[00:02:53.400 --> 00:02:55.000]  所以今天這個PowerPoint
[00:02:55.000 --> 00:02:59.400]  主要我其實有一幅十七世紀的名畫
[00:02:59.400 --> 00:03:02.400]  名稱就是叫做加利利海的風暴
[00:03:02.400 --> 00:03:03.800]  大家一起去看
[00:03:03.800 --> 00:03:07.000]  有些啟發去思想
[00:03:07.000 --> 00:03:09.800]  是一個林布蘭的演繹
[00:03:09.800 --> 00:03:11.800]  加利利海的風暴
[00:03:11.800 --> 00:03:13.200]  第三方面
[00:03:13.200 --> 00:03:17.200]  究竟耶穌在整件事裏面
[00:03:17.200 --> 00:03:19.000]  有沒有什麼策劃在裏面呢?
[00:03:19.000 --> 00:03:21.000]  我就叫做A計劃
[00:03:21.000 --> 00:03:23.000]  耶穌有沒有A計劃在裏面
