
[00:00:00.000 --> 00:00:03.260]  大家看看能否看到自己的影子
[00:00:03.260 --> 00:00:05.960]  我相信不是 希望不是
[00:00:05.960 --> 00:00:13.120]  那邊就看見了 那邊全部舉手說是他
[00:00:13.120 --> 00:00:19.620]  沒有吧
[00:00:19.620 --> 00:00:22.260]  有的請舉手 沒有 OK
[00:00:22.260 --> 00:00:27.040]  有一個青年男子 心花怒放
[00:00:27.040 --> 00:00:29.020]  這個心花怒放是有理由的
[00:00:29.020 --> 00:00:31.860]  因為他女朋友說 我可不可以嫁給你
[00:00:31.860 --> 00:00:34.540]  隨著他答應之後 結了婚
[00:00:34.540 --> 00:00:38.520]  又有一個幸福快樂的婚姻
[00:00:38.520 --> 00:00:40.420]  原來事緣就是這樣的
[00:00:40.420 --> 00:00:43.320]  這個男子有一天就收到律師的消息
[00:00:43.320 --> 00:00:48.720]  說你有舅父給了你二千萬港幣的遺產留給你
[00:00:48.720 --> 00:00:52.020]  故事來的 假故事來的 遇到故事來的
[00:00:52.020 --> 00:00:53.520]  不用太開心
[00:00:53.520 --> 00:00:56.700]  知道了這件事 他女朋友說我可不可以嫁給你
[00:00:56.700 --> 00:01:00.400]  OK 結婚了 非常幸福的第一個星期
[00:01:00.400 --> 00:01:05.540]  第二個星期他覺得這個太太好像有點冷感
[00:01:05.540 --> 00:01:08.400]  接著一個星期不理他
[00:01:08.400 --> 00:01:10.760]  接著一個星期他鼓起勇氣問
[00:01:10.760 --> 00:01:12.920]  太太你是不是嫁給我
[00:01:12.920 --> 00:01:17.140]  因為我的舅父給了我二千萬的遺產
[00:01:17.140 --> 00:01:18.400]  所以你嫁給我呢
[00:01:18.400 --> 00:01:20.680]  你知道他怎麼回答嗎
[00:01:20.680 --> 00:01:22.840]  當然不是啦
[00:01:24.500 --> 00:01:26.820]  你以為只是你舅父 如果你叔叔給你二千萬
[00:01:26.820 --> 00:01:28.320]  我都肯嫁給你的
[00:01:28.320 --> 00:01:32.000]  總之有錢就行了
[00:01:32.000 --> 00:01:35.200]  錢有時候蒙蔽了人的眼睛
[00:01:35.200 --> 00:01:37.100]  本來以為帶來幸福
[00:01:37.100 --> 00:01:41.700]  原來是剛剛相反 帶來一些不幸福
[00:01:41.700 --> 00:01:46.200]  本來這個月是講政治與社會
[00:01:46.200 --> 00:01:48.200]  這是一個難的題目 是自我挑戰的
[00:01:48.200 --> 00:01:52.200]  也挑戰其他的港元講這個題目
[00:01:52.200 --> 00:01:59.200]  人生不能夠與政治脫鉤
[00:01:59.200 --> 00:02:01.200]  基督徒要講人生的話
[00:02:01.200 --> 00:02:04.200]  基督徒必須要講政治
[00:02:04.200 --> 00:02:06.200]  正視這個政治
[00:02:06.200 --> 00:02:11.200]  但這個題目我自己覺得是很無知的
[00:02:11.200 --> 00:02:15.200]  所以就不敢講很多今天的政治的局面
[00:02:15.200 --> 00:02:20.200]  要不要上街 選舉要怎麼樣
[00:02:20.200 --> 00:02:22.200]  這叫做民主 不如不要講
[00:02:22.200 --> 00:02:28.200]  我認為人生 特別是領袖 政界 官員等等
[00:02:28.200 --> 00:02:32.200]  必須要有一些品格
[00:02:32.200 --> 00:02:34.200]  其中一樣就是不貪心
[00:02:34.200 --> 00:02:38.200]  我相信沒有宗教的人都會同意我這句話
[00:02:38.200 --> 00:02:43.200]  暫時不用理論去證明這件事
[00:02:43.200 --> 00:02:47.200]  是我們人所共知認同的
[00:02:47.200 --> 00:02:50.200]  今天就講一下從神的觀點去看
[00:02:50.200 --> 00:02:52.200]  什麼叫做貪心
[00:02:52.200 --> 00:02:56.200]  以致我們不貪心又是什麼
[00:02:56.200 --> 00:02:58.200]  所以不只是一個政客
[00:02:58.200 --> 00:03:02.200]  一個官員或者領袖要知道的事
[00:03:02.200 --> 00:03:07.200]  所有的基督徒 所有尋道的人
[00:03:07.200 --> 00:03:09.200]  人生的真道的人
[00:03:09.200 --> 00:03:15.200]  都要考慮要實踐這個品格 不貪心
[00:03:15.200 --> 00:03:17.200]  剛才讀過一段聖經
[00:03:17.200 --> 00:03:19.200]  就是說耶穌 有人問祂
[00:03:19.200 --> 00:03:23.200]  祢和我的兄弟分家產
[00:03:23.200 --> 00:03:26.200]  耶穌就知道他們的問題
[00:03:26.200 --> 00:03:29.200]  誰叫我和他們分家產
[00:03:29.200 --> 00:03:31.200]  然後跟眾人說
[00:03:31.200 --> 00:03:33.200]  眾人的第十五節
[00:03:33.200 --> 00:03:36.200]  就是這段經文的核心
[00:03:36.200 --> 00:03:40.200]  你們要謹慎自守 免去一切的貪心
[00:03:40.200 --> 00:03:43.200]  因為人的生命不在乎 家道豐富
[00:03:43.200 --> 00:03:46.200]  聖靈感動 路加福音的作者
[00:03:46.200 --> 00:03:50.200]  記載耶穌 有這樣的事件發生了
[00:03:50.200 --> 00:03:52.200]  講這些東西 又講一個比喻
[00:03:52.200 --> 00:03:54.200]  在比喻裡面再解釋
[00:03:54.200 --> 00:03:56.200]  所以我就看這個前文後理
[00:03:56.200 --> 00:04:00.200]  去理解最重要 聖靈要路加福音的作者
[00:04:00.200 --> 00:04:03.200]  帶出什麼信息給讀者知道
[00:04:03.200 --> 00:04:04.200]  這個解經是吧
[00:04:04.200 --> 00:04:06.200]  Author's Intention
[00:04:06.200 --> 00:04:09.200]  如果還沒聽見這個詞 快點去出一行
[00:04:09.200 --> 00:04:12.200]  去補救 未為萬人
[00:04:12.200 --> 00:04:16.200]  在這裡定出 神對我們今天要講些什麼
[00:04:16.200 --> 00:04:19.200]  可以說 耶穌做些什麼 耶穌講些什麼
[00:04:19.200 --> 00:04:21.200]  都不是最重要 是記錄了
[00:04:21.200 --> 00:04:24.200]  聖靈直著 記錄耶穌講些什麼
[00:04:24.200 --> 00:04:26.200]  今天對我們講些什麼說話
[00:04:26.200 --> 00:04:27.200]  很清晰的教導
[00:04:27.200 --> 00:04:30.200]  你們要謹慎自守 免去一切的貪心
[00:04:30.200 --> 00:04:33.200]  因為人的生命不在乎 家道豐富
[00:04:33.200 --> 00:04:37.200]  我們看看這個課題
[00:04:37.200 --> 00:04:39.200]  經文剛才讀了 不讀了
[00:04:39.200 --> 00:04:42.200]  貪心與幸福背道而馳
[00:04:42.200 --> 00:04:45.200]  去理解一下 貪心是什麼
[00:04:45.200 --> 00:04:50.200]  貪心 字的本身就是想要多些
[00:04:50.200 --> 00:04:55.200]  想要有 那個渴望想要有
[00:04:55.200 --> 00:04:57.200]  這是原本的意思
[00:04:57.200 --> 00:05:00.200]  同時又帶出一個意味就是說
[00:05:00.200 --> 00:05:04.200]  太過專注在物質上
[00:05:04.200 --> 00:05:08.200]  太過專注一些東西 很想擁有
[00:05:08.200 --> 00:05:16.200]  看到創造物 看不到創造主
[00:05:16.200 --> 00:05:22.200]  眼光狹窄 專心看那件物件
[00:05:22.200 --> 00:05:24.200]  創造物 神造的
[00:05:24.200 --> 00:05:28.200]  不能夠看到那個創造主
[00:05:28.200 --> 00:05:34.200]  專心服事 將一心投放在那個創造物
[00:05:34.200 --> 00:05:37.200]  追求那樣東西 敬拜那樣東西
[00:05:37.200 --> 00:05:40.200]  降服那樣東西 受制於那樣東西
[00:05:40.200 --> 00:05:45.200]  看不見 原來要信服 降服 跟隨創造主
[00:05:45.200 --> 00:05:51.200]  這個是聖經裡面定義的關心的重要
[00:05:51.200 --> 00:05:54.200]  不是關心 是貪心
[00:05:54.200 --> 00:05:57.200]  貪心的要點
[00:05:57.200 --> 00:06:00.200]  在這裡耶穌說
[00:06:00.200 --> 00:06:03.200]  要謹實免去一切的貪心
[00:06:03.200 --> 00:06:06.200]  為什麼說一切呢
[00:06:06.200 --> 00:06:09.200]  這裡有個人說耶穌和我分家產
[00:06:09.200 --> 00:06:11.200]  好像只是錢財一樣
[00:06:11.200 --> 00:06:15.200]  但是耶穌說一切一定是多過一樣的
[00:06:15.200 --> 00:06:17.200]  在前文後理這個文化裡面
[00:06:17.200 --> 00:06:22.200]  就是錢帶有地位名譽
[00:06:22.200 --> 00:06:24.200]  是事分不開的
[00:06:24.200 --> 00:06:28.200]  有了錢就有面子
