
[00:00:00.000 --> 00:00:05.000]  我們是天父,我們感謝祢再次帶我們回來看《創世紀》
[00:00:05.000 --> 00:00:10.500]  亦幫助我們在很短的時間裏學習你的話語
[00:00:10.500 --> 00:00:12.800]  幫助我們有清晰的頭腦
[00:00:12.800 --> 00:00:17.900]  看到罪惡的興起
[00:00:17.900 --> 00:00:22.000]  更加看到恩典的同在
[00:00:22.000 --> 00:00:23.400]  不單在《創世紀》裏面
[00:00:23.400 --> 00:00:27.800]  而是整本聖經裏面的恩典不斷流露
[00:00:27.800 --> 00:00:32.400]  以致耶穌基督最後來到這個世界
[00:00:32.400 --> 00:00:35.000]  給我們有個最終的拯救
[00:00:35.000 --> 00:00:38.200]  願我們今晚都可以在很短的時間裏面
[00:00:38.200 --> 00:00:41.800]  可以看見祢救恩的計劃
[00:00:41.800 --> 00:00:44.200]  亦都是回應祢的呼召
[00:00:44.200 --> 00:00:47.600]  我們今日期待,願主耶穌基督明求,阿門
[00:00:47.600 --> 00:00:49.700]  如果大家之前有記得
[00:00:49.700 --> 00:00:53.000]  我們去看這本《創世紀》的時候
[00:00:53.000 --> 00:00:55.800]  我們是用一個比較不同的方法去看
[00:00:55.800 --> 00:00:58.400]  很多時候我們看聖經很容易
[00:00:58.400 --> 00:00:59.800]  今日學到些甚麼
[00:00:59.800 --> 00:01:02.600]  就把它放在自己生命裏面應用
[00:01:02.600 --> 00:01:05.400]  通常你這樣應用都是錯的
[00:01:05.400 --> 00:01:08.200]  我們說我們要看明《創世紀》
[00:01:08.200 --> 00:01:12.700]  我們首先去認識整本《創世紀》
[00:01:12.700 --> 00:01:14.800]  它的核心思想等等
[00:01:14.800 --> 00:01:17.000]  我想之前我們都有做過
[00:01:17.000 --> 00:01:20.600]  接著我們先進去那段聖經裏面去思想
[00:01:20.600 --> 00:01:25.400]  但不是單單只是在看《創世紀》裏面
[00:01:25.400 --> 00:01:29.400]  我們要想想《創世紀》在整本舊約書
[00:01:29.400 --> 00:01:33.600]  即是整本舊約裏面繼續怎樣去發展
[00:01:33.600 --> 00:01:35.800]  《創世紀》是舊約的頭
[00:01:35.800 --> 00:01:36.700]  是很重要的
[00:01:36.700 --> 00:01:42.200]  但《創世紀》的影子會不斷在舊約裏面出來
[00:01:42.200 --> 00:01:43.900]  亦都不單止在舊約裏面
[00:01:43.900 --> 00:01:48.100]  最重要是在新約裏面才成全
[00:01:48.100 --> 00:01:52.700]  然後才去應用到我們的生命裏面
[00:01:52.700 --> 00:01:55.700]  我想如果你聽我的東西多你都知道
[00:01:55.700 --> 00:01:56.800]  我會告訴你
[00:01:56.800 --> 00:01:59.800]  你不要就這樣去讀舊約然後去應用
[00:01:59.800 --> 00:02:02.900]  你這樣你很容易去錯誤的
[00:02:02.900 --> 00:02:06.200]  而是相反你要去重舊約
[00:02:06.200 --> 00:02:09.300]  在這裏看完整本聖經然後才應用
[00:02:09.300 --> 00:02:14.100]  你才可以看到一個很清晰的圖畫
[00:02:14.100 --> 00:02:17.200]  今天我們要看的就是
[00:02:17.200 --> 00:02:21.400]  《創世紀》第四章第一節至五章
[00:02:21.400 --> 00:02:24.200]  看完了我今天都不會花很多時間
[00:02:24.200 --> 00:02:27.000]  和你仔細的去看
[00:02:27.000 --> 00:02:28.500]  如果你在我的組裏
[00:02:28.500 --> 00:02:29.800]  那你剛才是幸福的
[00:02:29.800 --> 00:02:30.200]  為什麼?
[00:02:30.200 --> 00:02:32.800]  因為我已經給了你一個大題目
[00:02:32.800 --> 00:02:35.100]  這個大題目是最困難的
[00:02:35.100 --> 00:02:38.400]  譬如我這個星期在想這兩章聖經
[00:02:38.400 --> 00:02:39.200]  我想了很久
[00:02:39.200 --> 00:02:43.500]  我今早才寫下主題
[00:02:43.500 --> 00:02:45.200]  我用英文想的
[00:02:45.200 --> 00:02:46.800]  所以我的主題是
[00:02:46.800 --> 00:02:50.400]  The Power of Sin and the Presence of Grace
[00:02:50.400 --> 00:02:55.100]  也可以說The Rise of Sin and the Presence of Grace
[00:02:55.100 --> 00:02:56.500]  罪惡的興起
[00:02:56.500 --> 00:03:00.300]  罪惡的權勢和恩典的同在
[00:03:00.300 --> 00:03:02.300]  所以剛才我們那班年輕人
[00:03:02.300 --> 00:03:03.000]  我很簡單
[00:03:03.000 --> 00:03:04.700]  我叫他讀完四章之後
[00:03:04.700 --> 00:03:06.900]  我就會說你幫我想一下
[00:03:06.900 --> 00:03:09.600]  你假設你的腦裏面有兩個盒
