
[00:00:00.000 --> 00:00:04.000]  知不知道下星期五是甚麼日子呢?
[00:00:04.000 --> 00:00:08.000]  初一喔!
[00:00:08.000 --> 00:00:12.000]  所以今天是最後一天見你們
[00:00:12.000 --> 00:00:16.000]  就是中國的年最後一天
[00:00:16.000 --> 00:00:20.000]  下星期五大家可以去祝福大家
[00:00:20.000 --> 00:00:22.000]  是另一個年度
[00:00:22.000 --> 00:00:24.000]  無論怎樣都好,中國人有句說話
[00:00:24.000 --> 00:00:26.000]  過年難,然後怎樣?
[00:00:26.000 --> 00:00:28.000]  難過年
[00:00:28.000 --> 00:00:30.000]  不過呢
[00:00:30.000 --> 00:00:32.000]  就是甚麼?
[00:00:32.000 --> 00:00:34.000]  年年都過
[00:00:34.000 --> 00:00:36.000]  做人難做人
[00:00:36.000 --> 00:00:38.000]  不過仍然可以做人
[00:00:38.000 --> 00:00:40.000]  靠著上帝恩典
[00:00:40.000 --> 00:00:42.000]  不過如果我問生命只一件事的時候
[00:00:42.000 --> 00:00:44.000]  你會想甚麼呢?
[00:00:44.000 --> 00:00:46.000]  可能每個人如果下來問
[00:00:46.000 --> 00:00:48.000]  每個人生命裡一件事
[00:00:48.000 --> 00:00:50.000]  只有一件,你想想很重要的時候
[00:00:50.000 --> 00:00:52.000]  是甚麼呢?可能每個人都不同
[00:00:52.000 --> 00:00:54.000]  有人可能想身體好
[00:00:54.000 --> 00:00:56.000]  有人想
[00:00:56.000 --> 00:00:58.000]  平順
[00:00:58.000 --> 00:01:00.000]  有人想家庭好
[00:01:00.000 --> 00:01:02.000]  總之甚麼都有
[00:01:02.000 --> 00:01:04.000]  不過可能作為香港人裡面
[00:01:04.000 --> 00:01:06.000]  有一個心願
[00:01:06.000 --> 00:01:08.000]  你知道是甚麼心願嗎?
[00:01:08.000 --> 00:01:10.000]  起碼高官都是這樣
[00:01:10.000 --> 00:01:12.000]  因為最近這個星期
[00:01:12.000 --> 00:01:14.000]  小學幼稚園都放假
[00:01:14.000 --> 00:01:16.000]  放假提早
[00:01:16.000 --> 00:01:18.000]  我最記得就是
[00:01:18.000 --> 00:01:20.000]  袁國勇說
[00:01:20.000 --> 00:01:22.000]  開開心心
[00:01:22.000 --> 00:01:24.000]  過個早年
[00:01:24.000 --> 00:01:26.000]  我相信香港裡面
[00:01:26.000 --> 00:01:28.000]  大部份人的心願就是一個
[00:01:28.000 --> 00:01:30.000]  流感快快過去,個人過一個健康的新年
[00:01:30.000 --> 00:01:32.000]  Amen?
[00:01:32.000 --> 00:01:34.000]  如果這個是Amen,我們就大聲一點
[00:01:34.000 --> 00:01:36.000]  Amen!
[00:01:36.000 --> 00:01:38.000]  不過同樣的,作為一個牧者
[00:01:38.000 --> 00:01:40.000]  在下星期
[00:01:40.000 --> 00:01:42.000]  未必見到大家
[00:01:42.000 --> 00:01:44.000]  在今天裡面,中國人說拜個早年
[00:01:44.000 --> 00:01:46.000]  送給大家一份屬靈的禮物
[00:01:46.000 --> 00:01:48.000]  或者祝福
[00:01:48.000 --> 00:01:50.000]  這個是甚麼呢?
[00:01:50.000 --> 00:01:52.000]  我深信是我對個人的心願
[00:01:52.000 --> 00:01:54.000]  就是說
