
[00:00:00.000 --> 00:00:03.000]  鄧小妹 早晨 仍然早晨
[00:00:03.000 --> 00:00:05.760]  還未到十二點
[00:00:05.760 --> 00:00:15.060]  謝謝你讓我們在一年最後的一個主日相會
[00:00:15.060 --> 00:00:17.840]  一年到底 通常去到最後
[00:00:17.840 --> 00:00:21.160]  有很多回顧 很多時候你看電視
[00:00:21.160 --> 00:00:25.280]  或者你 現在不是很多人看電視
[00:00:25.280 --> 00:00:27.720]  網上或者你看一些新聞
[00:00:27.720 --> 00:00:32.720]  很多時候都是一年大事回顧
[00:00:32.720 --> 00:00:35.720]  今年你回顧自己的生命
[00:00:35.720 --> 00:00:37.920]  回顧香港的社會 回顧你的家庭
[00:00:37.920 --> 00:00:41.920]  回顧教會生活 你有什麼體會
[00:00:41.920 --> 00:00:47.240]  這一年都是屬於一個暴風的一年
[00:00:47.240 --> 00:00:50.240]  未來都不知道會怎樣
[00:00:50.240 --> 00:00:57.720]  但我相信主給我們有力量可以去經歷
[00:00:57.720 --> 00:01:02.120]  這一季的季題到了最後
[00:01:02.120 --> 00:01:07.440]  沐浴在主的愛裏面 成為主的身輔
[00:01:07.440 --> 00:01:12.120]  我想起愛是基督徒 或者基督教信仰裏面
[00:01:12.120 --> 00:01:16.600]  一個最主要的 最突出的地方
[00:01:16.600 --> 00:01:19.440]  如果有人問你 信耶穌 基督教信仰裏面
[00:01:19.440 --> 00:01:25.440]  最突顯的是什麼 通常就是講愛
[00:01:25.440 --> 00:01:29.440]  但耶穌在祂的離開世界之先
[00:01:29.440 --> 00:01:33.440]  祂在《瑪撒福音》24章12節 祂這樣說
[00:01:33.440 --> 00:01:37.440]  祂說 這個世代沒了的時候
[00:01:37.440 --> 00:01:40.440]  就會不法的事會增多
[00:01:40.440 --> 00:01:45.440]  而且很多人的愛心就漸漸冷淡
[00:01:45.440 --> 00:01:49.440]  這個是耶穌的評語
[00:01:49.440 --> 00:01:51.440]  我想這個都是真實的
[00:01:51.440 --> 00:01:55.440]  看到一些現象 最初你很激憤激昂
[00:01:55.440 --> 00:01:59.440]  但慢慢好像覺得裏面那種感覺就淡了
[00:01:59.440 --> 00:02:04.440]  時局的紛亂 人的愛心很容易會冷淡
[00:02:04.440 --> 00:02:07.440]  所以要去愛人和愛神 在這個世代裏面
[00:02:07.440 --> 00:02:10.440]  其實是一件不容易的事
[00:02:10.440 --> 00:02:12.440]  一個很熟悉的真理
[00:02:12.440 --> 00:02:16.440]  但未必是一件很容易的事
[00:02:16.440 --> 00:02:20.440]  最近有一個很有趣的經驗
[00:02:20.440 --> 00:02:22.440]  就是我一家三口
[00:02:22.440 --> 00:02:25.440]  我夫婦和兒子回去和爸爸吃飯
[00:02:25.440 --> 00:02:30.440]  那晚聊天 兒子突然說了一件事
[00:02:30.440 --> 00:02:32.440]  我最近有一個經驗
[00:02:32.440 --> 00:02:39.440]  他在街上碰到一個應該是行乞的人
[00:02:39.440 --> 00:02:41.440]  他說這個人很特別
[00:02:41.440 --> 00:02:43.440]  因為他是一個外國人
[00:02:43.440 --> 00:02:45.440]  他寫了一個牌子 用中文寫
[00:02:45.440 --> 00:02:47.440]  牌子說我流落異鄉
[00:02:47.440 --> 00:02:53.440]  突然間沒錢了 找一些盤穿回去自己國家
[00:02:53.440 --> 00:02:55.440]  他就和他聊天 用英文聊天
[00:02:55.440 --> 00:02:58.440]  他就說原來發覺他是一個俄羅斯人
[00:02:58.440 --> 00:03:01.440]  他對俄羅斯人也挺有好感的
[00:03:01.440 --> 00:03:03.440]  聊著聊著 聊著聊著
[00:03:03.440 --> 00:03:05.440]  他做了一個行動
[00:03:05.440 --> 00:03:09.440]  在他的銀包裏面拿了一百元出來給他
[00:03:09.440 --> 00:03:12.440]  對他來說這筆錢是很多的
[00:03:12.440 --> 00:03:17.440]  對他剛出來工作的人來說是很多的
[00:03:17.440 --> 00:03:20.440]  我覺得他真的很難得
[00:03:20.440 --> 00:03:24.440]  當然他會不會有被騙的情況呢
[00:03:24.440 --> 00:03:26.440]  也可能吧
[00:03:26.440 --> 00:03:29.440]  但我覺得這個行動是很可貴的
[00:03:29.440 --> 00:03:31.440]  在這個世代裏面
[00:03:31.440 --> 00:03:34.440]  起碼我很難這樣做
[00:03:34.440 --> 00:03:36.440]  吃完飯之後
[00:03:36.440 --> 00:03:40.440]  我爸爸的爺爺臨走後
[00:03:40.440 --> 00:03:46.440]  他終於在他的房間拿了一百元出來給他
[00:03:46.440 --> 00:03:50.440]  是給你乘車的
[00:03:50.440 --> 00:03:54.440]  在他心目中他也很欣賞這個孫的行動
[00:03:54.440 --> 00:03:57.440]  一個不容易的行動
[00:03:57.440 --> 00:04:00.440]  今天想說約翰一書
[00:04:00.440 --> 00:04:02.440]  選這本書是因為
[00:04:02.440 --> 00:04:06.440]  如果看新約聖經裏面數的話
[00:04:06.440 --> 00:04:08.440]  它不是很長 五章
[00:04:08.440 --> 00:04:10.440]  但居然愛的次數是最多的
[00:04:10.440 --> 00:04:12.440]  在新約的書卷裏面
[00:04:12.440 --> 00:04:14.440]  按密度按比例是最高的
[00:04:14.440 --> 00:04:18.440]  所以用它來說愛是一個很適合的一卷書
[00:04:18.440 --> 00:04:21.440]  約翰一書就好像約翰福音一樣
[00:04:21.440 --> 00:04:23.440]  可以說是一個延續版
[00:04:23.440 --> 00:04:25.440]  是說當時的教會群體
[00:04:25.440 --> 00:04:29.440]  正在面對外面的一些迫害
[00:04:29.440 --> 00:04:31.440]  如果你看約翰福音
[00:04:31.440 --> 00:04:34.440]  猶太人對耶穌和屬於耶穌的門徒
