
[00:00:00.000 --> 00:00:03.280]  其實一直看剛纔那段聖經
[00:00:03.280 --> 00:00:06.760]  或者之前找異靈聊天,再找阿施
[00:00:06.760 --> 00:00:08.760]  其實我一直在想自己的
[00:00:08.760 --> 00:00:10.760]  我自己家裏是哥哥
[00:00:10.760 --> 00:00:13.960]  我家裏有五個兄弟姐妹,很多兄弟姐妹都會了解的
[00:00:13.960 --> 00:00:16.840]  我有三個妹妹
[00:00:16.840 --> 00:00:18.840]  有一個弟弟
[00:00:18.840 --> 00:00:21.320]  弟弟小我八年,他是胞妹的
[00:00:21.320 --> 00:00:23.720]  其實在我的成長裏面
[00:00:23.720 --> 00:00:28.120]  大約在三、四歲左右
[00:00:28.120 --> 00:00:32.000]  我偶爾就會問媽媽,你可不可以生個弟弟給我
[00:00:32.000 --> 00:00:35.640]  我相信我第一個妹妹出生,我還不懂得怎麼說
[00:00:35.640 --> 00:00:37.640]  但沒多久就會這樣問的了
[00:00:37.640 --> 00:00:40.120]  男生總是希望有個男生陪玩
[00:00:40.120 --> 00:00:42.120]  陪玩很重要的,你明不明白
[00:00:42.120 --> 00:00:44.120]  特別到後來一路成長
[00:00:44.120 --> 00:00:46.120]  自己屋村長大的,偶爾都會有人
[00:00:46.120 --> 00:00:49.120]  兒童的暴力事件
[00:00:49.120 --> 00:00:51.120]  打架
[00:00:51.120 --> 00:00:53.120]  見到有兄弟的,三個兄弟一起出來
[00:00:53.120 --> 00:00:55.120]  雖然沒串招
[00:00:55.120 --> 00:00:57.120]  但你是沒得跟他打的
[00:00:57.120 --> 00:00:59.120]  還有兩個妹妹,大家鬥快走的
[00:00:59.120 --> 00:01:01.120]  所以在成長的時間
[00:01:01.120 --> 00:01:05.120]  每次見到媽媽有大肚子
[00:01:05.120 --> 00:01:07.120]  抬着第二個妹妹會問
[00:01:07.120 --> 00:01:09.120]  兒子還是女兒,媽媽
[00:01:09.120 --> 00:01:11.120]  最後,妹妹
[00:01:11.120 --> 00:01:13.120]  到第三個妹妹也會想
[00:01:13.120 --> 00:01:15.120]  會不會有弟弟
[00:01:15.120 --> 00:01:17.120]  最後都是妹妹
[00:01:17.120 --> 00:01:19.120]  到第五個
[00:01:19.120 --> 00:01:21.120]  竟然不敢問
[00:01:21.120 --> 00:01:23.120]  但後來,原來是兒子
[00:01:23.120 --> 00:01:25.120]  原來是弟弟
[00:01:25.120 --> 00:01:27.120]  我都不記得那時候是怎樣的
[00:01:27.120 --> 00:01:29.120]  事後我聽爸媽說
[00:01:29.120 --> 00:01:31.120]  當父母在醫院接
[00:01:31.120 --> 00:01:33.120]  中服安
[00:01:33.120 --> 00:01:35.120]  你認識吧
[00:01:35.120 --> 00:01:37.120]  我通常都叫安仔
[00:01:37.120 --> 00:01:39.120]  現在不要叫安仔了
[00:01:39.120 --> 00:01:41.120]  一會兒都可以叫安仔
[00:01:41.120 --> 00:01:43.120]  他喜歡西環堂的叫安仔
[00:01:43.120 --> 00:01:45.120]  回家的時候
[00:01:45.120 --> 00:01:47.120]  他剛剛出生幾天的時候
[00:01:47.120 --> 00:01:49.120]  據我爸媽說
[00:01:49.120 --> 00:01:51.120]  我原來一路知道爸爸
[00:01:51.120 --> 00:01:53.120]  去醫院接的時候
[00:01:53.120 --> 00:01:55.120]  他正在等着
[00:01:55.120 --> 00:01:57.120]  很緊張,弟弟來了
[00:01:57.120 --> 00:01:59.120]  很緊張,弟弟來了
[00:01:59.120 --> 00:02:01.120]  整個冷巷周圍
[00:02:01.120 --> 00:02:03.120]  告訴別人
[00:02:03.120 --> 00:02:05.120]  我是個弟弟,每個師奶都知道這件事
[00:02:05.120 --> 00:02:07.120]  我們終於有個弟弟了
[00:02:07.120 --> 00:02:09.120]  是很開心的時間
[00:02:09.120 --> 00:02:11.120]  很開心的時候
[00:02:11.120 --> 00:02:13.120]  但是
[00:02:13.120 --> 00:02:15.120]  日子很快過
[00:02:15.120 --> 00:02:17.120]  第一件事我會很確認
[00:02:17.120 --> 00:02:19.120]  我作爲八歲兒女
[00:02:19.120 --> 00:02:21.120]  剛剛出生
[00:02:21.120 --> 00:02:23.120]  如果有機會遇到暴力事件
[00:02:23.120 --> 00:02:25.120]  我反過來多了一個負擔
[00:02:25.120 --> 00:02:27.120]  要快點拋走
[00:02:27.120 --> 00:02:29.120]  但都不要緊
[00:02:29.120 --> 00:02:31.120]  在家裏
[00:02:31.120 --> 00:02:33.120]  很快都會發現一件事
[00:02:33.120 --> 00:02:35.120]  有些話以往都在聽
[00:02:35.120 --> 00:02:37.120]  但就越來越多聽
[00:02:37.120 --> 00:02:39.120]  你是哥,你要
[00:02:39.120 --> 00:02:41.120]  有沒有人聽過
[00:02:41.120 --> 00:02:43.120]  可能聽媽媽和哥哥說
[00:02:43.120 --> 00:02:45.120]  可能聽你說
[00:02:45.120 --> 00:02:47.120]  你是哥,要看着他
[00:02:47.120 --> 00:02:49.120]  哥,你遷就他
[00:02:49.120 --> 00:02:51.120]  很多這些話都會自然有
[00:02:51.120 --> 00:02:53.120]  不是一個錯的說話
[00:02:53.120 --> 00:02:55.120]  是很自然的,甚至可能我做父母
[00:02:55.120 --> 00:02:57.120]  都會這樣告訴
[00:02:57.120 --> 00:02:59.120]  其實大那個會照顧小那個
[00:02:59.120 --> 00:03:01.120]  但作爲自己
[00:03:01.120 --> 00:03:03.120]  聽的那個
[00:03:03.120 --> 00:03:05.120]  又不是很喜歡聽
[00:03:05.120 --> 00:03:07.120]  當然
[00:03:07.120 --> 00:03:09.120]  人是真的有自私,我告訴你
[00:03:09.120 --> 00:03:11.120]  作爲大那個就會覺得
[00:03:11.120 --> 00:03:13.120]  媽媽你都是偏心
[00:03:13.120 --> 00:03:15.120]  小那個
[00:03:15.120 --> 00:03:17.120]  但小的那些,大個就告訴我
[00:03:19.120 --> 00:03:21.120]  什麼版本
[00:03:21.120 --> 00:03:23.120]  不是啊,大哥
[00:03:23.120 --> 00:03:25.120]  從小到大,媽媽都是幫你的
[00:03:25.120 --> 00:03:27.120]  那些罵家裏都罵過
[00:03:27.120 --> 00:03:29.120]  這麼多年來,當然是你最好
[00:03:29.120 --> 00:03:31.120]  小的又會覺得
[00:03:31.120 --> 00:03:33.120]  所有好東西,大兒子都會有
[00:03:33.120 --> 00:03:37.120]  真的有些觀點要角度
[00:03:37.120 --> 00:03:39.120]  爲什麼現實會是這樣
[00:03:39.120 --> 00:03:41.120]  你都說得我好害怕
[00:03:41.120 --> 00:03:43.120]  我不是很期望這些東西
[00:03:43.120 --> 00:03:45.120]  都認你們,你明不明
[00:03:45.120 --> 00:03:47.120]  我真的想說一件事
[00:03:47.120 --> 00:03:49.120]  在過程中,家裏
[00:03:49.120 --> 00:03:51.120]  真的在塑造一個人
[00:03:51.120 --> 00:03:55.120]  當然,去到這樣的年紀
