
[00:00:00.000 --> 00:00:04.600]  首先在此恭祝大家新年蒙恩
[00:00:04.600 --> 00:00:06.600]  身體健康
[00:00:06.600 --> 00:00:08.600]  充滿智慧
[00:00:08.600 --> 00:00:10.600]  心靈
[00:00:10.600 --> 00:00:12.600]  身而有身
[00:00:12.600 --> 00:00:18.600]  今年是教會的八十六年
[00:00:18.600 --> 00:00:22.600]  記得在去年
[00:00:22.600 --> 00:00:24.600]  八月二十四日
[00:00:24.600 --> 00:00:25.600]  二十五日
[00:00:25.600 --> 00:00:29.600]  是我們教會慶祝八十五週年的唐慶
[00:00:29.600 --> 00:00:32.600]  我宣講的題目是
[00:00:32.600 --> 00:00:34.600]  聖徒相通
[00:00:34.600 --> 00:00:36.600]  恩典全盛
[00:00:36.600 --> 00:00:39.600]  在講張結束的部分
[00:00:39.600 --> 00:00:41.600]  我問大家
[00:00:41.600 --> 00:00:43.600]  八十五週年後
[00:00:43.600 --> 00:00:46.600]  成浸何去何從
[00:00:46.600 --> 00:00:51.600]  成浸是一間注重門徒訓練的教會
[00:00:51.600 --> 00:00:56.600]  成浸是一間注重關懷報道的教會
[00:00:56.600 --> 00:01:01.600]  成浸是一間注重教導牧養的教會
[00:01:01.600 --> 00:01:04.600]  要實現上述一切
[00:01:04.600 --> 00:01:09.600]  成浸必須是一間聖徒相通
[00:01:09.600 --> 00:01:12.600]  恩典全盛的教會
[00:01:12.600 --> 00:01:14.600]  在去年
[00:01:14.600 --> 00:01:17.600]  我和大家領受的願景就是
[00:01:17.600 --> 00:01:21.600]  成浸應該是一個聖徒相通的教會
[00:01:21.600 --> 00:01:23.600]  在今天
[00:01:23.600 --> 00:01:25.600]  在農曆新年
[00:01:25.600 --> 00:01:28.600]  我想和大家一起繼續的願望
[00:01:28.600 --> 00:01:31.600]  一個聖徒相通的成浸
[00:01:31.600 --> 00:01:36.600]  是一個心意根生而變化的教會
[00:01:36.600 --> 00:01:40.600]  要實現今天的大家的希望
[00:01:40.600 --> 00:01:42.600]  我想大家都明白到
[00:01:42.600 --> 00:01:46.600]  我們浸信會的一些靈性的故事
[00:01:46.600 --> 00:01:49.600]  我們一起知道我們的根本
[00:01:49.600 --> 00:01:52.600]  在這個根本的上面
[00:01:52.600 --> 00:01:54.600]  我們一起去展望
[00:01:54.600 --> 00:01:58.600]  繼續展望成浸家的八十六年
[00:01:58.600 --> 00:02:01.600]  我們同心禱告
[00:02:01.600 --> 00:02:02.600]  親愛主多謝祢
[00:02:02.600 --> 00:02:05.600]  讓我們能夠在祢的聖所當中
[00:02:05.600 --> 00:02:08.600]  我們一同去朝見祢
[00:02:08.600 --> 00:02:10.600]  敬愛祢
[00:02:10.600 --> 00:02:15.600]  我們一同在祢當中自由地去禱告
[00:02:15.600 --> 00:02:17.600]  如今我們要聽祢的話
[00:02:17.600 --> 00:02:21.600]  求祢的話充滿我們的心
[00:02:21.600 --> 00:02:24.600]  讓我們能夠心意根生而變化
[00:02:24.600 --> 00:02:27.600]  主啊 我們繼續仰望祢
[00:02:27.600 --> 00:02:30.600]  求祢給我們一顆新的心
[00:02:30.600 --> 00:02:34.600]  是能夠生而有生
[00:02:34.600 --> 00:02:38.600]  我們的禱告是奉主耶穌基督明志求
[00:02:38.600 --> 00:02:40.600]  阿們
[00:02:40.600 --> 00:02:45.600]  成浸有什麼靈性的傳統
[00:02:45.600 --> 00:02:47.600]  如果要回答這個問題
[00:02:47.600 --> 00:02:49.600]  我們首先要問
[00:02:49.600 --> 00:02:54.600]  浸信會有什麼靈性的傳統
[00:02:54.600 --> 00:02:56.600]  我會說浸信會的靈性的傳統
[00:02:56.600 --> 00:03:00.600]  是源自於清教徒
[00:03:00.600 --> 00:03:04.600]  浸信會是一個心靈的宗教信仰
[00:03:04.600 --> 00:03:08.600]  是體重心靈的改變
[00:03:08.600 --> 00:03:11.600]  自從十七世紀開始
[00:03:11.600 --> 00:03:13.600]  清教徒就是去想
[00:03:13.600 --> 00:03:16.600]  就是要透過內心的宗教
[00:03:16.600 --> 00:03:20.600]  去改變這個社會
[00:03:20.600 --> 00:03:24.600]  這個是體現在日常的生活當中
[00:03:24.600 --> 00:03:27.600]  也在日常的生活的見證
[00:03:27.600 --> 00:03:30.600]  和行為的改變上面見得到
[00:03:30.600 --> 00:03:33.600]  基督徒會一起去敬拜
[00:03:33.600 --> 00:03:37.600]  一起的守望 一起的禁食
[00:03:37.600 --> 00:03:39.600]  一起的禱告 一起的讀經
[00:03:39.600 --> 00:03:42.600]  一起的聽道 一起的行道
[00:03:42.600 --> 00:03:45.600]  一起的拳手煮餐
[00:03:45.600 --> 00:03:49.600]  一起的去救濟貧窮的人
[00:03:49.600 --> 00:03:54.600]  清教徒是希伯來書的學生
[00:03:54.600 --> 00:03:56.600]  他們很喜歡希伯來書十二章
[00:03:56.600 --> 00:03:59.600]  他們說 我們是朝聖者
[00:03:59.600 --> 00:04:03.600]  我們是前往天上的耶路撒冷
[00:04:03.600 --> 00:04:08.600]  雖然清教徒是很喜歡天堂
[00:04:08.600 --> 00:04:10.600]  很喜歡天上的耶路撒冷
[00:04:10.600 --> 00:04:14.600]  但是他們都是專注在這個世界
[00:04:14.600 --> 00:04:17.600]  他們要在這個世界上去實踐
[00:04:17.600 --> 00:04:22.600]  好像天堂的生活一樣
[00:04:22.600 --> 00:04:27.600]  約翰本人是我們「浸信會」的祖宗
[00:04:27.600 --> 00:04:31.600]  在他的天怒歷程和豐盛的恩典
[00:04:31.600 --> 00:04:34.600]  說到早期的「浸信會」人士
[00:04:34.600 --> 00:04:38.600]  都會專注在天上的耶路撒冷
[00:04:38.600 --> 00:04:42.600]  在前往天上的耶路撒冷的路途當中
[00:04:42.600 --> 00:04:46.600]  他們要面對這個罪惡的世界
[00:04:46.600 --> 00:04:49.600]  面對罪惡的方式
[00:04:49.600 --> 00:04:55.600]  就是自我的審查和多多的禱告
[00:04:55.600 --> 00:05:01.600]  祈禱是我們「浸信會」靈性的核心
[00:05:01.600 --> 00:05:03.600]  所以約翰本人就這樣說
[00:05:03.600 --> 00:05:08.600]  祈禱是藉著基督在聖靈的力量和幫助之下
[00:05:08.600 --> 00:05:10.600]  為神所應許的事情
[00:05:10.600 --> 00:05:13.600]  或者根據聖言聖經
[00:05:13.600 --> 00:05:15.600]  為了教會的好處
[00:05:15.600 --> 00:05:21.600]  我們是真誠的 明智的 深情的
[00:05:21.600 --> 00:05:24.600]  是向神傾訴我們的心聲
[00:05:24.600 --> 00:05:30.600]  我們是用信心去信服神的旨意
[00:05:30.600 --> 00:05:33.600]  但是約翰本人又說
[00:05:33.600 --> 00:05:36.600]  「浸信會」人士的祈禱
[00:05:36.600 --> 00:05:41.600]  和清教徒的祈禱是不一樣的
[00:05:41.600 --> 00:05:45.600]  他拒絕清教徒那種固定的祈禱
[00:05:45.600 --> 00:05:49.600]  尤其是公圖書
[00:05:49.600 --> 00:05:53.600]  他認為祈禱是心靈的事
[00:05:53.600 --> 00:05:56.600]  公圖書的祈禱
[00:05:56.600 --> 00:06:01.600]  很容易成為口頭的勞動
[00:06:01.600 --> 00:06:04.600]  阻礙聖靈的工作
[00:06:04.600 --> 00:06:07.600]  所以約翰本人強調
[00:06:07.600 --> 00:06:10.600]  信心必須是自由的
[00:06:10.600 --> 00:06:14.600]  真正的信服必須是自願的
[00:06:14.600 --> 00:06:16.600]  所以約翰本人說
[00:06:16.600 --> 00:06:20.600]  「我很喜歡自由的禱告」
[00:06:20.600 --> 00:06:25.600]  雖然約翰本人強調心靈那種堅誠
[00:06:25.600 --> 00:06:27.600]  但是認為心靈的宗教
[00:06:27.600 --> 00:06:29.600]  是必須要在生活的見證
[00:06:29.600 --> 00:06:34.600]  和在社會的關懷方面表現出來
[00:06:34.600 --> 00:06:36.600]  所以在《天老歷程》他又這樣說
[00:06:36.600 --> 00:06:39.600]  基督徒要見證聖潔的生活
[00:06:39.600 --> 00:06:41.600]  心靈的聖潔
[00:06:41.600 --> 00:06:43.600]  家庭的聖潔
[00:06:43.600 --> 00:06:48.600]  以及在世上說話和行為的聖潔
[00:06:48.600 --> 00:06:50.600]  增護自己的罪惡
[00:06:50.600 --> 00:06:52.600]  制止家庭的罪惡
[00:06:52.600 --> 00:06:56.600]  促進世界上的聖潔
[00:06:56.600 --> 00:06:59.600]  這些故事多多少少講出
[00:06:59.600 --> 00:07:04.600]  「浸信會」的靈性的實踐的一些事例
[00:07:04.600 --> 00:07:06.600]  我們在這些事例當中
[00:07:06.600 --> 00:07:08.600]  是否看到我們成浸家
[00:07:08.600 --> 00:07:13.600]  在當中的一些屬靈的承傳呢
[00:07:13.600 --> 00:07:15.600]  我的答案就是說
[00:07:15.600 --> 00:07:17.600]  我們和我們的先賢
[00:07:17.600 --> 00:07:20.600]  是承傳了一些東西
[00:07:20.600 --> 00:07:26.600]  「浸信會」的信仰是心靈的宗教信仰
[00:07:26.600 --> 00:07:30.600]  這樣的傳承是有聖經的依據
[00:07:30.600 --> 00:07:32.600]  我們回到聖經
[00:07:32.600 --> 00:07:36.600]  回到羅馬書十二章一節一節
[00:07:36.600 --> 00:07:40.600]  保羅在羅馬書十二章一節二節就這樣說
[00:07:40.600 --> 00:07:44.600]  他說神的慈悲
[00:07:44.600 --> 00:07:49.600]  保羅一開始就說明福音的意思
[00:07:49.600 --> 00:07:55.600]  「所以我以神的慈悲勸你們」
[00:07:55.600 --> 00:07:59.600]  保羅提到神的慈悲憐憫
[00:07:59.600 --> 00:08:04.600]  說到神是有主權去施憐憫
[00:08:04.600 --> 00:08:06.600]  保羅接著就發出一個呼籲
[00:08:06.600 --> 00:08:12.600]  就說「將身體獻上當作活祭」
[00:08:12.600 --> 00:08:15.600]  身體是一個物質的身體
[00:08:15.600 --> 00:08:19.600]  是整個人甚至是整間教會
[00:08:19.600 --> 00:08:23.600]  活祭是生命的祭
[00:08:23.600 --> 00:08:25.600]  不是死亡的祭
