
[00:00:00.000 --> 00:00:03.000]  多謝各位平安,我們先一起祈禱
[00:00:03.000 --> 00:00:06.000]  多謝天父,我們感謝祢的恩典
[00:00:06.000 --> 00:00:09.000]  讓我們可以一同聚集,並拜祢
[00:00:09.000 --> 00:00:13.000]  一同思想祢的英許,祢的話語
[00:00:13.000 --> 00:00:15.000]  求附祢的聖靈帶領我們
[00:00:15.000 --> 00:00:19.000]  讓我們從祢的話語當中得到安慰、鼓勵
[00:00:19.000 --> 00:00:22.000]  奉耶穌基督的名祈禱,阿門
[00:00:22.000 --> 00:00:28.000]  好,今天是「全心全意」系列的最後一講
[00:00:28.000 --> 00:00:32.000]  這次的系列主要是基於《已忽所書》
[00:00:32.000 --> 00:00:36.000]  第一章三到十四節提到
[00:00:36.000 --> 00:00:40.000]  信了主耶穌的多重恩典
[00:00:40.000 --> 00:00:43.000]  保羅在一章三節提到
[00:00:43.000 --> 00:00:46.000]  祂,即是指上帝,在基督裡
[00:00:46.000 --> 00:00:52.000]  曾把天上各樣屬靈的福氣賜給我們
[00:00:52.000 --> 00:00:55.000]  然後提了五樣特別的福氣
[00:00:55.000 --> 00:00:59.000]  包括在創世之前已經揀選了我們
[00:00:59.000 --> 00:01:02.000]  給了我們兒女的名分
[00:01:02.000 --> 00:01:05.000]  藉著主耶穌基督救贖我們
[00:01:05.000 --> 00:01:09.000]  又使我們歸入基督的國度裡
[00:01:09.000 --> 00:01:12.000]  今天我們要思想的是
[00:01:12.000 --> 00:01:18.000]  上帝給了我們聖靈作為印記
[00:01:18.000 --> 00:01:21.000]  印記是什麼意思呢?
[00:01:21.000 --> 00:01:24.000]  印記有什麼功能呢?
[00:01:24.000 --> 00:01:27.000]  印記有沒有一些象徵的意義呢?
[00:01:27.000 --> 00:01:31.000]  這些都是我們今天要思考的問題
[00:01:31.000 --> 00:01:33.000]  對我們這些現代人來說
[00:01:33.000 --> 00:01:35.000]  我不知道有沒有人聽過
[00:01:35.000 --> 00:01:37.000]  西方人有時會說
[00:01:37.000 --> 00:01:41.000]  Signs show and deliver
[00:01:41.000 --> 00:01:45.000]  一般都是用在比較大的交易上
[00:01:45.000 --> 00:01:48.000]  要簽合約
[00:01:48.000 --> 00:01:50.000]  對我們來說
[00:01:50.000 --> 00:01:55.000]  一般比較大而要簽合約的交易
[00:01:55.000 --> 00:01:58.000]  大概就是房屋買賣
[00:01:58.000 --> 00:02:01.000]  假如我們要買房
[00:02:01.000 --> 00:02:04.000]  看到一間合適的房屋之後
[00:02:04.000 --> 00:02:08.000]  首先要交一些訂金給中介
[00:02:08.000 --> 00:02:10.000]  拿一份合同回去
[00:02:10.000 --> 00:02:12.000]  看了可能自己不懂
[00:02:12.000 --> 00:02:14.000]  交給律師看有沒有問題
[00:02:14.000 --> 00:02:16.000]  沒問題就行了
[00:02:16.000 --> 00:02:19.000]  約定什麼時候交大訂
[00:02:19.000 --> 00:02:23.000]  即是房價的10%
[00:02:23.000 --> 00:02:26.000]  通常買家就簽合約
[00:02:26.000 --> 00:02:28.000]  交給律師
[00:02:28.000 --> 00:02:30.000]  賣家都簽合約
[00:02:30.000 --> 00:02:32.000]  又交給律師
[00:02:32.000 --> 00:02:38.000]  到了兩方面的買賣家
[00:02:38.000 --> 00:02:40.000]  雙方都交給律師
[00:02:40.000 --> 00:02:45.000]  那時候那兩份合同就可以互換
[00:02:45.000 --> 00:02:47.000]  在合同上其實你看不到
[00:02:47.000 --> 00:02:50.000]  買賣雙方的簽名
[00:02:50.000 --> 00:02:52.000]  一方就夠了
[00:02:52.000 --> 00:02:55.000]  律師可能會告訴你
[00:02:55.000 --> 00:02:58.000]  合約已經Signs show and deliver
[00:02:58.000 --> 00:03:00.000]  律師說話很詳盡
[00:03:00.000 --> 00:03:02.000]  不單止簽了名
[00:03:02.000 --> 00:03:05.000]  蓋了章已經交換了
[00:03:05.000 --> 00:03:12.000]  買方也可以對客戶說同樣的話
[00:03:12.000 --> 00:03:14.000]  合約簽了之後
[00:03:14.000 --> 00:03:18.000]  如果買方突然改變主意
[00:03:18.000 --> 00:03:20.000]  我還是不買了
[00:03:20.000 --> 00:03:22.000]  不買就慘了
[00:03:22.000 --> 00:03:26.000]  首先你的大訂是不會退回給你的
[00:03:26.000 --> 00:03:31.000]  然後買方將房子賣了
[00:03:31.000 --> 00:03:40.000]  如果金額低於原來肯出的價格的10%
[00:03:40.000 --> 00:03:44.000]  買方還可以要求你賠錢
[00:03:44.000 --> 00:03:46.000]  我買不回這樣的價錢
[00:03:46.000 --> 00:03:49.000]  你的10%都不夠
[00:03:49.000 --> 00:03:53.000]  於是仍然可以要求你賠
[00:03:53.000 --> 00:03:59.000]  所以交大訂合約是非常重要
[00:03:59.000 --> 00:04:03.000]  今日經文第十三節提到印記
[00:04:03.000 --> 00:04:06.000]  在羅馬的社會當中
[00:04:06.000 --> 00:04:15.000]  印章是代表所有權、真實性、保護和安全的象徵
[00:04:15.000 --> 00:04:18.000]  人們怎樣做印章呢?
[00:04:18.000 --> 00:04:21.000]  有些是用戒指做的
[00:04:21.000 --> 00:04:23.000]  有些就像華人一樣
[00:04:23.000 --> 00:04:27.000]  用另外一塊木石做印章
[00:04:27.000 --> 00:04:31.000]  他們吸引華人用紅泥
[00:04:31.000 --> 00:04:33.000]  他們就用蠟
[00:04:33.000 --> 00:04:38.000]  把蠟或軟質的泥弄軟後
[00:04:38.000 --> 00:04:42.000]  將印章吸下去印
[00:04:42.000 --> 00:04:49.000]  一般用在文件、商品、信件、合約、遺囑
[00:04:49.000 --> 00:04:56.000]  甚至財產的生畜都會印
[00:04:56.000 --> 00:05:00.000]  一般來說有印記有四方面的作用
[00:05:00.000 --> 00:05:04.000]  第一是驗證官方文件
[00:05:04.000 --> 00:05:08.000]  如果有法令、協議
[00:05:08.000 --> 00:05:13.000]  要證明文件是真的就要印
[00:05:13.000 --> 00:05:16.000]  第二是標示所有權
[00:05:16.000 --> 00:05:21.000]  如果把印打在動物身上就有所有權
[00:05:21.000 --> 00:05:24.000]  如果有東西放在容器
[00:05:24.000 --> 00:05:30.000]  就要保證品質、品牌差不多
[00:05:30.000 --> 00:05:33.000]  第三是提供安全保障
[00:05:33.000 --> 00:05:36.000]  有時在聖經裡會看到
[00:05:36.000 --> 00:05:40.000]  耶穌的墓穴是要求要吸引的
[00:05:40.000 --> 00:05:45.000]  以免人們移過墳墓的門
[00:05:45.000 --> 00:05:50.000]  第四是在法律和商業的情境當中
[00:05:50.000 --> 00:05:57.000]  用來證明合同上的交易是真實的
[00:05:57.000 --> 00:06:01.000]  第十四節提到另一個隱喻
[00:06:01.000 --> 00:06:04.000]  隱喻不是很明顯說明這是比喻
[00:06:04.000 --> 00:06:05.000]  但我們一看就知道
[00:06:05.000 --> 00:06:07.000]  就是憑據
[00:06:07.000 --> 00:06:11.000]  憑據就是剛才說的買屋的例子
[00:06:11.000 --> 00:06:16.000]  你給的10%是一個憑據
[00:06:16.000 --> 00:06:19.000]  了解保羅所用的兩個比喻的意思後
[00:06:19.000 --> 00:06:22.000]  我們可以思考今天的經文
[00:06:22.000 --> 00:06:24.000]  在第十三節保羅說
[00:06:24.000 --> 00:06:27.000]  凡是聽了福音相信耶穌的人
[00:06:27.000 --> 00:06:33.000]  就會有所應許的聖靈為印記
[00:06:33.000 --> 00:06:35.000]  這句話的意思就是說
[00:06:35.000 --> 00:06:38.000]  我們屬於上帝的身份
