
[00:00:00.000 --> 00:00:05.300]  我們每個基督徒都需要在這個黑暗潑露的世道裡面
[00:00:05.300 --> 00:00:07.300]  如同明剛照耀
[00:00:07.300 --> 00:00:09.980]  我們要帶他去行善
[00:00:09.980 --> 00:00:12.780]  基督徒在世上
[00:00:12.780 --> 00:00:15.800]  雖然經常被人挑戰 逼迫
[00:00:15.800 --> 00:00:18.560]  但是我們要學習寬恕
[00:00:18.560 --> 00:00:20.900]  上個星期跟大家來查考
[00:00:20.900 --> 00:00:22.900]  樹蘭松明
[00:00:22.900 --> 00:00:25.140]  我都沒有想過放上YouTube
[00:00:25.140 --> 00:00:26.940]  就是短短一天多一點
[00:00:26.940 --> 00:00:28.940]  就已經過了一千人來聽
[00:00:28.940 --> 00:00:33.420]  我在星期天去一間教會講道
[00:00:33.420 --> 00:00:36.160]  那些人都特地用這一句話
[00:00:36.160 --> 00:00:38.340]  跟我來打招呼
[00:00:38.340 --> 00:00:40.340]  都很特別 很感動的
[00:00:40.340 --> 00:00:42.340]  那段經文是說什麼呢
[00:00:42.340 --> 00:00:44.340]  不要以惡報惡
[00:00:44.340 --> 00:00:47.060]  以辱罵還辱罵 倒要祝福
[00:00:47.060 --> 00:00:49.060]  因你們是為此蒙照
[00:00:49.060 --> 00:00:51.940]  好叫你們來承受福氣
[00:00:51.940 --> 00:00:55.700]  我們要寬恕別人真是不容易
[00:00:55.700 --> 00:00:57.700]  真是樹蘭松明
[00:00:57.700 --> 00:01:00.260]  但是當我們想到自己
[00:01:00.260 --> 00:01:01.900]  都有不義
[00:01:01.900 --> 00:01:05.160]  我們不能夠掌握全部的事實
[00:01:05.160 --> 00:01:08.700]  就是說我們的判斷很可能會有偏差
[00:01:08.700 --> 00:01:11.360]  現在體會到神給我們的寬恕
[00:01:11.360 --> 00:01:12.700]  我們得罪了神這麼多次
[00:01:12.700 --> 00:01:14.000]  但是神也寬恕我們
[00:01:14.000 --> 00:01:17.000]  為什麼我們不能去寬恕別人呢
[00:01:17.000 --> 00:01:20.260]  那就容易靠著神給我們的力量
[00:01:20.260 --> 00:01:22.500]  去克服我們心裡面那種的仇恨
[00:01:22.500 --> 00:01:24.000]  要帶給我們福氣
[00:01:24.000 --> 00:01:25.140]  神會賜福給我們
[00:01:25.140 --> 00:01:28.200]  這就是上一次樹蘭松明所分享的
[00:01:28.200 --> 00:01:30.200]  不過我仍然想補充
[00:01:30.200 --> 00:01:31.200]  其實很開心
[00:01:31.200 --> 00:01:34.300]  因為有人私下WhatsApp我
[00:01:34.300 --> 00:01:35.700]  問了一些問題
[00:01:35.700 --> 00:01:39.300]  其實我很希望我們在星期三的茶驚裡面
[00:01:39.300 --> 00:01:41.800]  今天我都會在完結的時候
[00:01:41.800 --> 00:01:44.300]  和大家一起去祈禱
[00:01:44.300 --> 00:01:49.300]  但是很想播完這些聖詩之後
[00:01:49.300 --> 00:01:52.000]  大家可以有討論去回應
[00:01:52.000 --> 00:01:55.200]  不要只是全盤接收我的講道
[00:01:55.200 --> 00:01:56.300]  我鼓勵大家
[00:01:56.300 --> 00:01:58.200]  其實每一個傳道人講的信息
[00:01:58.200 --> 00:01:59.800]  你都要好好思考
[00:01:59.800 --> 00:02:02.900]  不是他講什麼你就完全接受
[00:02:02.900 --> 00:02:05.100]  那究竟他有沒有誤解《聖經》呢
[00:02:05.100 --> 00:02:08.100]  他有沒有一些偏差呢
[00:02:08.100 --> 00:02:10.500]  當然是要全面的來看
[00:02:10.500 --> 00:02:13.500]  我們個人的恩怨
[00:02:13.500 --> 00:02:15.300]  你得罪我
[00:02:15.300 --> 00:02:18.100]  你令到我受傷害
[00:02:18.100 --> 00:02:20.500]  我願意寬恕
[00:02:20.500 --> 00:02:22.500]  但是如果是整體性的呢
[00:02:22.500 --> 00:02:24.500]  那我們是不是可以寬恕呢
[00:02:24.500 --> 00:02:26.500]  譬如一個國家
[00:02:26.500 --> 00:02:33.500]  它很殘酷地去傷害了一些平民百姓
[00:02:33.500 --> 00:02:36.500]  我們就要去討回公道
[00:02:36.500 --> 00:02:40.500]  甚至一個人很可能在法律上
[00:02:40.500 --> 00:02:43.500]  距離去傷害了人
[00:02:43.500 --> 00:02:46.500]  縱使那個人願意寬恕
[00:02:46.500 --> 00:02:49.500]  但仍然要承擔這個法律的責任
[00:02:49.500 --> 00:02:51.500]  就好像我們上次所講
[00:02:51.500 --> 00:02:53.500]  有一個人他用強水
[00:02:53.500 --> 00:02:56.500]  淋到那個少女毀了容
[00:02:56.500 --> 00:02:58.500]  甚至有一隻眼睛瞎了 是不是
