
[00:00:00.000 --> 00:00:04.000]  上個星期我們就慶祝了農曆新年
[00:00:04.000 --> 00:00:09.000]  今天我們一同去見證這個浸禮
[00:00:09.000 --> 00:00:11.000]  真的是一個蒙福的階段
[00:00:11.000 --> 00:00:13.000]  剛才大家唱的詩歌當中
[00:00:13.000 --> 00:00:15.000]  也是為主而活的時候
[00:00:15.000 --> 00:00:17.000]  我們走這條蒙福的路程的時候
[00:00:17.000 --> 00:00:20.000]  我們就一同去看今天的經文
[00:00:20.000 --> 00:00:22.000]  我們從《彼得前書》那裡看
[00:00:22.000 --> 00:00:26.000]  原來我們這條蒙福的路程上面
[00:00:26.000 --> 00:00:29.000]  是神在聖經直著聖經直著彼得
[00:00:29.000 --> 00:00:32.000]  在這裡寫了一條路徑給我們的跟隨
[00:00:32.000 --> 00:00:34.000]  我們看到這裡的經文當中
[00:00:34.000 --> 00:00:37.000]  我們可以看到說
[00:00:37.000 --> 00:00:40.000]  經文我們就從第八節看到十二節那裡當中
[00:00:40.000 --> 00:00:42.000]  我們很多實質的行動
[00:00:42.000 --> 00:00:44.000]  做一個怎樣去為主而活
[00:00:44.000 --> 00:00:45.000]  但是我們開始之前
[00:00:45.000 --> 00:00:48.000]  我們繼續做一個簡短的討論好嗎
[00:00:48.000 --> 00:00:49.000]  我們主耶穌基督我們多謝祢
[00:00:49.000 --> 00:00:52.000]  多謝祢直著祢的使徒門徒彼得
[00:00:52.000 --> 00:00:55.000]  寫下了這個李寶貴的話語
[00:00:55.000 --> 00:00:58.000]  教導我們怎樣可以為耶穌而活
[00:00:58.000 --> 00:01:01.000]  因為我們的路徑是崎嶇難行
[00:01:01.000 --> 00:01:05.000]  因為周邊的這個世界是敗壞的時候
[00:01:05.000 --> 00:01:07.000]  求神去幫助我們
[00:01:07.000 --> 00:01:08.000]  聖靈去教導我們
[00:01:08.000 --> 00:01:10.000]  怎樣跟著聖經的教導
[00:01:10.000 --> 00:01:13.000]  能夠聽得清楚祢的話語
[00:01:13.000 --> 00:01:15.000]  又明白祢給我們的心意
[00:01:15.000 --> 00:01:16.000]  多謝祢
[00:01:16.000 --> 00:01:17.000]  求祢帶領以下時間
[00:01:17.000 --> 00:01:19.000]  禱告是奉主耶穌
[00:01:19.000 --> 00:01:20.000]  得聖的面子祈求
[00:01:20.000 --> 00:01:21.000]  阿們
[00:01:21.000 --> 00:01:23.000]  好了我們一齊看看聖經是怎樣講
[00:01:23.000 --> 00:01:29.000]  門徒彼得我們近三個月四個月的時候
[00:01:29.000 --> 00:01:31.000]  我們看《馬可福音》
[00:01:31.000 --> 00:01:33.000]  我們看到《馬可福音》當中教導
[00:01:33.000 --> 00:01:36.000]  原來做一個門徒有起有跌
[00:01:36.000 --> 00:01:39.000]  彼得又三次不認主
[00:01:39.000 --> 00:01:41.000]  跟著後來就悔改
[00:01:41.000 --> 00:01:43.000]  跟著耶穌升天之後
[00:01:43.000 --> 00:01:46.000]  就成為教會的一個
[00:01:46.000 --> 00:01:48.000]  很重要的教會領袖的時候
[00:01:48.000 --> 00:01:52.000]  他就直著彼得前後書去鼓勵
[00:01:52.000 --> 00:01:54.000]  我們這幫門徒
[00:01:54.000 --> 00:01:56.000]  在這個末世的期間裡面
[00:01:56.000 --> 00:01:58.000]  受到各樣逼迫的時候
[00:01:58.000 --> 00:01:59.000]  困難的時候
[00:01:59.000 --> 00:02:01.000]  怎樣去為主而生活
[00:02:01.000 --> 00:02:04.000]  這裡提到第三章第八節那裡
[00:02:04.000 --> 00:02:06.000]  開始有個段落
[00:02:06.000 --> 00:02:09.000]  第八節開到最後的二十二節的時候
[00:02:09.000 --> 00:02:10.000]  有個段落
[00:02:10.000 --> 00:02:12.000]  我們今天就從這幾節的經文當中
[00:02:12.000 --> 00:02:15.000]  從學習當中教導我們的行
[00:02:15.000 --> 00:02:18.000]  做一些相處的表現
[00:02:18.000 --> 00:02:21.000]  還有看到十三節到十七節
[00:02:21.000 --> 00:02:22.000]  我們剛才沒讀的經文
[00:02:22.000 --> 00:02:23.000]  十三節十七節
[00:02:23.000 --> 00:02:25.000]  看一下背後的原則
[00:02:25.000 --> 00:02:27.000]  還有原來這些背後的原則
[00:02:27.000 --> 00:02:31.000]  是基於主耶穌基督被釘十字架
[00:02:31.000 --> 00:02:33.000]  為我們寫新的事實
[00:02:33.000 --> 00:02:35.000]  所以我們看到
[00:02:35.000 --> 00:02:37.000]  從這幾節經文我們慢慢去看
[00:02:37.000 --> 00:02:40.000]  原來第八節一開始提到
[00:02:40.000 --> 00:02:44.000]  原來提到我們這幫主內弟兄姊妹
[00:02:44.000 --> 00:02:46.000]  我們這幫門徒
[00:02:46.000 --> 00:02:47.000]  這幫門徒的時候
[00:02:47.000 --> 00:02:50.000]  我們有五個很重要的行動表現出來
[00:02:50.000 --> 00:02:52.000]  我們看一下
[00:02:52.000 --> 00:02:53.000]  第一樣東西就提到說
[00:02:53.000 --> 00:02:55.000]  我們要同心
[00:02:55.000 --> 00:02:56.000]  第一樣東西
[00:02:56.000 --> 00:02:58.000]  大家要同心
[00:02:58.000 --> 00:02:59.000]  第二樣就是說
[00:02:59.000 --> 00:03:01.000]  彼此體恤
[00:03:01.000 --> 00:03:02.000]  有個同情心
[00:03:02.000 --> 00:03:07.000]  要體恤大家的景況
[00:03:07.000 --> 00:03:10.000]  麻煩退一張
