
[00:00:00.000 --> 00:00:02.000]  有一次她的朋友出去旅行回來
[00:00:02.000 --> 00:00:03.700]  就送了一份小禮物給她
[00:00:03.700 --> 00:00:05.700]  這個李牧師打開的時候
[00:00:05.700 --> 00:00:09.000]  就發覺原來是一個很精緻的不倒翁
[00:00:09.000 --> 00:00:12.500]  這李牧師打開之後發現就是一個很精緻的不倒翁
[00:00:12.500 --> 00:00:14.500]  那裡面還寫了一張字條
[00:00:14.500 --> 00:00:16.500]  盒子裡面還寫了一張字條
[00:00:16.500 --> 00:00:18.200]  她說我看到不倒翁
[00:00:18.200 --> 00:00:19.500]  她說我看到不倒翁
[00:00:19.500 --> 00:00:20.500]  我就想起你了
[00:00:20.500 --> 00:00:21.500]  我就想起你了
[00:00:21.500 --> 00:00:23.500]  她說祝你永遠不屈
[00:00:23.500 --> 00:00:24.900]  我說祝你永遠不屈
[00:00:24.900 --> 00:00:25.500]  也不倒
[00:00:25.500 --> 00:00:26.500]  也不倒
[00:00:26.500 --> 00:00:28.500]  李牧師心裡後想
[00:00:28.500 --> 00:00:30.500]  李牧師心裡後想
[00:00:30.500 --> 00:00:32.500]  我真的不屈不倒嗎?
[00:00:32.500 --> 00:00:34.500]  我真的是不屈不倒嗎?
[00:00:34.500 --> 00:00:36.500]  她說我怎麼不屈不倒呢?
[00:00:36.500 --> 00:00:38.500]  她說我怎麼可能不倒呢?
[00:00:38.500 --> 00:00:40.500]  她說我見到欠佳的時候就病倒
[00:00:40.500 --> 00:00:42.500]  她說我見到欠佳的時候就病倒
[00:00:42.500 --> 00:00:45.500]  她說我走路的時候不小心就會跌倒
[00:00:45.500 --> 00:00:47.500]  她說我走路不小心就會跌倒
[00:00:47.500 --> 00:00:51.500]  她說我家裡附近人車站的時候
[00:00:51.500 --> 00:00:54.500]  在樓室裡我就要被人碰到
[00:00:54.500 --> 00:00:56.500]  她說在家附近人車喧鬧
[00:00:56.500 --> 00:00:58.500]  在樓室裡我就要被人撞到
[00:00:58.500 --> 00:01:01.500]  我有時候又被人推倒
[00:01:01.500 --> 00:01:03.500]  不倒翁的不倒
[00:01:03.500 --> 00:01:04.500]  不倒翁的不倒
[00:01:04.500 --> 00:01:06.500]  不是因為她的體重力大
[00:01:06.500 --> 00:01:09.500]  不是因為她的體重力大
[00:01:09.500 --> 00:01:11.500]  可以抵擋碰撞而不跌
[00:01:11.500 --> 00:01:13.500]  可以抵擋碰撞
[00:01:13.500 --> 00:01:15.500]  只是她被推倒
[00:01:15.500 --> 00:01:16.500]  只是她被推倒的時候
[00:01:16.500 --> 00:01:18.500]  可以重新站起來
[00:01:18.500 --> 00:01:19.500]  可以重新站起來
[00:01:19.500 --> 00:01:20.500]  她倒下去
[00:01:20.500 --> 00:01:21.500]  她倒下去
[00:01:21.500 --> 00:01:22.500]  她仍然可以站起來
[00:01:22.500 --> 00:01:24.500]  她仍然能夠站起來
[00:01:24.500 --> 00:01:26.500]  好像永不言棄一樣
[00:01:26.500 --> 00:01:28.500]  好像永遠都不嫌棄一樣
[00:01:28.500 --> 00:01:30.500]  但如果你將她躺下
[00:01:30.500 --> 00:01:32.500]  如果你把她倒在那裡
[00:01:32.500 --> 00:01:34.500]  那她就安枕無憂
[00:01:34.500 --> 00:01:35.500]  她就安枕無憂
[00:01:35.500 --> 00:01:37.500]  她就不會再反彈
[00:01:37.500 --> 00:01:39.500]  她就不會再反彈了
[00:01:39.500 --> 00:01:41.500]  但這個逃避碰撞
[00:01:41.500 --> 00:01:43.500]  不是不倒翁她自己的人生取向
