
[00:00:00.000 --> 00:00:06.120]  今天要給大家分享的題目是警醒預備迎接出來
[00:00:06.120 --> 00:00:12.320]  經文是記載在馬太福音的二十五章一到十三節
[00:00:12.320 --> 00:00:15.080]  在講這個題目的時候呢
[00:00:15.080 --> 00:00:22.800]  我想大家都會或多或少聽了一些的網上的一些留言
[00:00:22.800 --> 00:00:25.000]  或者是網上的一些人
[00:00:25.000 --> 00:00:30.720]  他們都會講世界現在的狀況好像看起來比較混亂
[00:00:30.720 --> 00:00:35.120]  因爲疫情的緣故很多的人他們的生活受到影響
[00:00:35.120 --> 00:00:37.440]  那是不是主快要來的呢?
[00:00:37.440 --> 00:00:43.560]  因爲《約聖經》裏面也說主再來的時候可能會有這些的事情發生
[00:00:43.560 --> 00:00:47.680]  所以有不少這方面的預言在網上在流傳
[00:00:47.680 --> 00:00:50.920]  可能弟兄姊妹也會想是不是主真的要來
[00:00:50.920 --> 00:00:53.280]  或者說主快要來了
[00:00:53.280 --> 00:00:58.560]  這個的想法也不是單單今天才出現
[00:00:58.560 --> 00:01:01.560]  其實在歷史當中也出現過不少
[00:01:01.560 --> 00:01:07.200]  因爲在耶穌基督跟門徒講了將來要發生的事情以後
[00:01:07.200 --> 00:01:10.960]  這麼多年來也有不少的人有各種的預言
[00:01:10.960 --> 00:01:13.480]  那確實是耶穌也告訴我們
[00:01:13.480 --> 00:01:16.360]  祂來的時候會有一些的事情發生
[00:01:16.360 --> 00:01:18.720]  包括瘟疫、地震等等
[00:01:18.720 --> 00:01:23.520]  但我們確實不知道究竟是什麼時候主耶穌祂會來
[00:01:23.520 --> 00:01:25.480]  所以正是因爲我們不知道
[00:01:25.480 --> 00:01:29.440]  我們需要有警醒的一個預備迎接祂來
[00:01:29.440 --> 00:01:32.240]  因爲祂真的隨時就會來
[00:01:32.240 --> 00:01:35.120]  當我們在預備的時候
[00:01:35.120 --> 00:01:37.040]  應該是以一個怎樣的心態
[00:01:37.040 --> 00:01:42.640]  或是以一種怎樣的狀態來進行預備呢?
[00:01:42.640 --> 00:01:47.920]  其實耶穌在這裏祂講了一個的比喻來提醒我們
[00:01:47.920 --> 00:01:51.400]  這個比喻是有關十個童女的比喻
[00:01:51.400 --> 00:01:55.440]  我想丁子妹也蠻熟悉這樣的一個故事
[00:01:55.440 --> 00:01:57.760]  在這個比喻裏面講到有十個童女
[00:01:57.760 --> 00:01:59.800]  其中五個是聰明的
[00:01:59.800 --> 00:02:02.040]  另外五個是愚作的
[00:02:02.040 --> 00:02:05.800]  那這個故事給我們什麼樣的一些啓示呢?
[00:02:05.800 --> 00:02:11.600]  那這個當然是跟警醒、預備等候主來是非常相關的
[00:02:11.600 --> 00:02:16.320]  而且在我們看到這樣的一個故事的時候
[00:02:16.320 --> 00:02:18.360]  我們突然會想到
[00:02:18.360 --> 00:02:21.880]  就是在我們的日常的生活裏面
[00:02:21.880 --> 00:02:25.800]  也會常常有這種要預備等候的這種的事情
[00:02:25.800 --> 00:02:28.840]  比如說最近也會有一些弟兄姊妹
[00:02:28.840 --> 00:02:30.360]  他們快要結婚了
[00:02:30.360 --> 00:02:33.280]  所以在預備婚禮之前
[00:02:33.280 --> 00:02:36.280]  他們會有一種等候的狀態
[00:02:36.280 --> 00:02:37.840]  那在等候過程當中
[00:02:37.840 --> 00:02:41.800]  心情是非常的喜悅或者是非常的期待
[00:02:41.800 --> 00:02:45.440]  或者也會有夾雜着一種的擔憂在裏面
[00:02:45.440 --> 00:02:49.000]  會怕有哪些的事情我還沒有預備好呢?
[00:02:49.000 --> 00:02:52.480]  有哪些的細節我還沒有處理好呢?等等
[00:02:52.480 --> 00:02:53.480]  都會有
[00:02:53.480 --> 00:02:56.280]  那我們來看今天這段的經文
[00:02:56.280 --> 00:02:58.000]  究竟給我們什麼樣的教導
[00:02:58.000 --> 00:03:01.080]  就是在我們預備等候主來的時候
[00:03:01.080 --> 00:03:03.440]  我們應該怎麼去做?
[00:03:03.440 --> 00:03:05.560]  那在經文裏面
[00:03:05.560 --> 00:03:09.080]  這裏是在《馬太福音》的二十五章
[00:03:09.080 --> 00:03:12.400]  但是在《馬太福音》前幾章不久
[00:03:12.400 --> 00:03:15.640]  在二十一章裏面其實才剛剛講到
[00:03:15.640 --> 00:03:20.080]  耶穌他作爲一個君王的這樣的身份
[00:03:20.080 --> 00:03:23.480]  好像他要進入耶路撒冷
[00:03:23.480 --> 00:03:24.920]  進入聖城的時候
[00:03:24.920 --> 00:03:28.200]  那個的畫面也歷歷在目
[00:03:28.200 --> 00:03:33.520]  讓我們能夠很新鮮地在腦海裏面可以記得很清楚
[00:03:33.520 --> 00:03:38.800]  那當時就是我們看到耶穌基督在他在世的最後的日子裏面
[00:03:38.800 --> 00:03:41.960]  他就騎着這個驢居
[00:03:41.960 --> 00:03:43.720]  他要進入耶路撒冷
[00:03:43.720 --> 00:03:49.240]  那這個就是好像耶穌基督作爲一個君王的這種的身份
[00:03:49.240 --> 00:03:50.720]  要進入聖城
[00:03:50.720 --> 00:03:54.200]  在這裏我們看到的是一個君王的身份
[00:03:54.200 --> 00:03:57.560]  但是在今天的經文裏面
[00:03:57.560 --> 00:04:00.440]  好像他是以另外一種的身份來出現
[00:04:00.440 --> 00:04:05.040]  就是一個新郎的身份來出現在我們的面前
[00:04:05.040 --> 00:04:07.920]  當然耶穌基督他有雙重的身份
[00:04:07.920 --> 00:04:12.120]  在經文裏面我們看到他既是一個君王
[00:04:12.120 --> 00:04:16.480]  在這裏也看到他是一個新郎
[00:04:16.480 --> 00:04:19.960]  聖經裏面特別在新約也常常提醒我們
[00:04:19.960 --> 00:04:21.800]  耶穌基督就像新郎
[00:04:21.800 --> 00:04:25.480]  那他也用這個新郎的比喻
[00:04:25.480 --> 00:04:28.480]  來表明他跟教會的關係
[00:04:28.480 --> 00:04:29.800]  就是他是新郎
[00:04:29.800 --> 00:04:31.880]  教會是新婦
[00:04:31.880 --> 00:04:36.600]  在新約的語符所書裏面
[00:04:36.600 --> 00:04:38.080]  保羅也曾經這麼講
[00:04:38.080 --> 00:04:41.560]  你們做丈夫的要愛你們的妻子
[00:04:41.560 --> 00:04:43.280]  正如基督愛教會
[00:04:43.280 --> 00:04:45.200]  爲教會捨己
[00:04:45.200 --> 00:04:46.760]  要用水藉着倒
[00:04:46.760 --> 00:04:49.200]  把教會洗淨成爲聖潔
[00:04:49.200 --> 00:04:52.160]  可以獻給自己做個榮耀的教會
[00:04:52.160 --> 00:04:55.640]  毫無玷污咒文等類的病
[00:04:55.640 --> 00:04:57.840]  乃是聖潔沒有瑕疵的
[00:04:57.840 --> 00:04:59.600]  這個就是講到君王
[00:04:59.600 --> 00:05:02.720]  他要再來迎接他的新婦
[00:05:02.720 --> 00:05:06.000]  他而且要爲這個新婦來捨己
[00:05:06.000 --> 00:05:09.160]  這個就是耶穌基督他雙重的身份
[00:05:09.160 --> 00:05:10.280]  所以今天我們看到的
[00:05:10.280 --> 00:05:13.880]  就是耶穌基督他是一個君王
[00:05:13.880 --> 00:05:16.200]  而且他也是一個新郎
[00:05:16.200 --> 00:05:19.040]  他是一個已經訂婚
[00:05:19.040 --> 00:05:22.560]  快要結婚的這樣的一個君王
[00:05:22.560 --> 00:05:23.800]  那我們來看這段經文
[00:05:23.800 --> 00:05:25.920]  給我們有幾方面的提醒
[00:05:25.920 --> 00:05:27.560]  第一方面就是
[00:05:27.560 --> 00:05:31.360]  要警惕頑固職守的服侍
[00:05:31.360 --> 00:05:35.880]  我們先來看第一節到第五節的經文
[00:05:35.880 --> 00:05:39.560]  那我們現在就要來問一個問題
[00:05:39.560 --> 00:05:44.120]  就是在等待婚期到來的這段日子裏面
[00:05:44.120 --> 00:05:46.760]  耶穌要對我們說什麼呢?
[00:05:46.760 --> 00:05:49.440]  他要對我們這些被他用寶學
[00:05:49.440 --> 00:05:53.080]  所買俗而來的新娘要說什麼呢?
[00:05:53.080 --> 00:05:54.400]  其中的一個答案
[00:05:54.400 --> 00:05:56.800]  就在今天的這個經文裏面
[00:05:56.800 --> 00:05:58.240]  二十五章一節這樣講
[00:05:58.240 --> 00:06:00.480]  那時天國好比十個童女
[00:06:00.480 --> 00:06:03.480]  拿着燈出去迎接新郎
[00:06:03.480 --> 00:06:05.080]  我們可以留意在這裏
[00:06:05.080 --> 00:06:07.120]  我們看到有天國
[00:06:07.120 --> 00:06:09.160]  也看到有新郎
[00:06:09.160 --> 00:06:12.080]  所以看到耶穌基督的雙重的身份
[00:06:12.080 --> 00:06:16.000]  天國其實是代表掌權者
[00:06:16.000 --> 00:06:18.320]  耶穌基督他君王的身份
