
[00:00:00.000 --> 00:00:02.520]  開始之前我們有個禱告
[00:00:30.000 --> 00:00:35.000]  仰望教託,奉耶穌基督得聖的明智祈求,阿們
[00:00:35.000 --> 00:00:37.000]  好,講個故事給大家聽
[00:00:37.000 --> 00:00:40.000]  這個故事如有雷同,實屬巧合
[00:00:40.000 --> 00:00:44.000]  突然間不要講完之後,哎呀,茂先生,你是不是在講我呀?
[00:00:44.000 --> 00:00:47.000]  好,有一個爸爸,有三個女兒
[00:00:47.000 --> 00:00:50.000]  三個女兒都長得亭亭玉立
[00:00:50.000 --> 00:00:52.000]  有一晚他就去吃飯
[00:00:52.000 --> 00:00:56.000]  不知道為什麼這個爸爸平時吃飯就好好的
[00:00:56.000 --> 00:01:00.000]  今晚吃飯就不知道為什麼,突然間在思潮起伏
[00:01:00.000 --> 00:01:03.000]  看著三個女兒在想一件事
[00:01:03.000 --> 00:01:08.000]  我三個女兒亭亭玉立,都應該要拍拖了
[00:01:08.000 --> 00:01:11.000]  如果將來帶她的拖友回來的時候
[00:01:11.000 --> 00:01:16.000]  如果是陌生人,不懂廣東話,我怎麼辦呢?
[00:01:16.000 --> 00:01:20.000]  又想想,如果我其中一個女兒跟我說
[00:01:20.000 --> 00:01:24.000]  爸爸,現在晚上11點了,我要跟我的男朋友出去跑步
[00:01:24.000 --> 00:01:27.000]  你知道現在晚上很喜歡跑步,11點了
[00:01:27.000 --> 00:01:29.000]  我又怎麼辦呢?
[00:01:29.000 --> 00:01:32.000]  好,都不要緊了,突然間又想起
[00:01:32.000 --> 00:01:35.000]  如果我這個未來女婿,這個陌生人來的時候
[00:01:35.000 --> 00:01:38.000]  糟糕了,他的膚色不是黃色的
[00:01:38.000 --> 00:01:41.000]  又怎麼辦呢?我怎樣跟他溝通呢?
[00:01:41.000 --> 00:01:44.000]  思潮起伏,連我的魚都忘了吃
[00:01:44.000 --> 00:01:49.000]  其實,拍拖是什麼呢?
[00:01:49.000 --> 00:01:51.000]  大家知不知道拍拖是什麼呢?
[00:01:51.000 --> 00:01:54.000]  拍過拖的,當然說不知道
[00:01:54.000 --> 00:01:57.000]  未拍拖的,就很想拍拖了
[00:01:57.000 --> 00:02:00.000]  拍拖之後,結果是什麼呢?
[00:02:00.000 --> 00:02:02.000]  分手還是結婚呢?
[00:02:02.000 --> 00:02:04.000]  婚姻又是什麼呢?
[00:02:04.000 --> 00:02:07.000]  我們有很多問題,究竟戀愛是怎樣的呢?
[00:02:07.000 --> 00:02:09.000]  有些人說戀愛很甜
[00:02:09.000 --> 00:02:13.000]  有些人說戀愛就像百味架,甜酸苦辣,什麼都齊
[00:02:13.000 --> 00:02:15.000]  喜歡就被人摑
[00:02:15.000 --> 00:02:19.000]  現在很流行男生站在街上,被女生摑20多巴掌
[00:02:19.000 --> 00:02:21.000]  也不明白為什麼
[00:02:21.000 --> 00:02:23.000]  在街上被人摑20多巴掌
[00:02:23.000 --> 00:02:25.000]  不是演戲,是被人摑到肉
[00:02:25.000 --> 00:02:28.000]  我也想想,這個男生也挺辛苦的
[00:02:28.000 --> 00:02:31.000]  不知道是不是之前要塗點膏
[00:02:31.000 --> 00:02:34.000]  就算演戲也是辛苦的
[00:02:34.000 --> 00:02:36.000]  真的被人摑
[00:02:36.000 --> 00:02:39.000]  究竟談戀愛是什麼呢?
[00:02:39.000 --> 00:02:42.000]  談完戀愛,又結婚又怎樣呢?
[00:02:42.000 --> 00:02:44.000]  婚姻是什麼呢?
[00:02:44.000 --> 00:02:46.000]  婚姻的意義是什麼呢?
[00:02:46.000 --> 00:02:49.000]  我們也有些人已經結婚了
