
[00:00:00.000 --> 00:00:02.360]  我會跟各位稍微解釋一下
[00:00:02.360 --> 00:00:06.320]  耶穌在神的右手到底是什麼意思
[00:00:06.320 --> 00:00:09.840]  因為有的時候跟我們想的不太一樣
[00:00:09.840 --> 00:00:12.120]  尤其當你進入
[00:00:12.120 --> 00:00:14.080]  祂講的原文的時候
[00:00:14.080 --> 00:00:16.800]  祂就完全跟我們想的不太一樣
[00:00:16.800 --> 00:00:21.620]  那麼跟著我們要來分享的是說
[00:00:21.620 --> 00:00:25.660]  神的右手是有能力 榮耀
[00:00:25.660 --> 00:00:28.280]  所以耶穌在神的右手
[00:00:28.280 --> 00:00:30.420]  獲得耶穌是神的右手
[00:00:30.420 --> 00:00:32.620]  祂是有能力 有榮耀
[00:00:32.620 --> 00:00:34.720]  那麼
[00:00:34.720 --> 00:00:39.580]  還要說 耶穌坐在父神的右手邊
[00:00:39.580 --> 00:00:44.800]  也要講說 我們的神
[00:00:44.800 --> 00:00:48.080]  必定攙扶你的右手
[00:00:48.080 --> 00:00:51.000]  其實呢
[00:00:51.000 --> 00:00:54.400]  為什麼不攙扶你的左手
[00:00:54.400 --> 00:00:55.880]  對不對
[00:00:56.840 --> 00:00:59.720]  因為喬阿姨最清楚
[00:00:59.720 --> 00:01:01.160]  有的時候我們扶祂的時候
[00:01:01.160 --> 00:01:03.920]  祂又要用祂的右手來抓
[00:01:03.920 --> 00:01:06.380]  因為祂是用右手的人嘛
[00:01:06.380 --> 00:01:08.600]  你手才有力
[00:01:08.600 --> 00:01:11.080]  你用左手 手就沒有力
[00:01:11.080 --> 00:01:12.760]  有的時候反而不好
[00:01:12.760 --> 00:01:14.260]  所以
[00:01:14.260 --> 00:01:17.880]  這一切都在在說明
[00:01:17.880 --> 00:01:19.960]  耶穌是神
[00:01:19.960 --> 00:01:23.320]  有力 有榮耀 大能
[00:01:23.320 --> 00:01:26.720]  甚至於在父神的右手
[00:01:26.720 --> 00:01:28.960]  祂就是父神的右手
[00:01:28.960 --> 00:01:31.040]  是吧 感謝神
[00:01:31.040 --> 00:01:37.100]  《聖經》裡面講 右手或右邊
[00:01:37.100 --> 00:01:39.520]  超過150次
[00:01:39.520 --> 00:01:43.120]  我們看《揣跡記》15章第6節
[00:01:43.120 --> 00:01:45.160]  它說 我們一起來念這個紅的
[00:01:45.160 --> 00:01:46.480]  耶和華
[00:01:46.480 --> 00:01:49.800]  你的右手施展能力
[00:01:49.800 --> 00:01:51.880]  顯出榮耀
[00:01:51.880 --> 00:01:56.520]  耶和華 你的右手衰脆仇敵
[00:01:56.920 --> 00:01:57.920]  好的
[00:01:57.920 --> 00:02:01.560]  如果我們看 假如這個是
[00:02:01.560 --> 00:02:03.400]  神的右手
[00:02:03.400 --> 00:02:05.440]  你看這個右手呢
[00:02:05.440 --> 00:02:09.680]  因為希伯來聞 耶穌是耶穌阿
[00:02:09.680 --> 00:02:11.480]  耶穌阿
[00:02:11.480 --> 00:02:16.280]  耶穌阿祂是 喲 心 華 愛
[00:02:16.280 --> 00:02:19.280]  這四個字母合起來的
[00:02:19.280 --> 00:02:22.840]  你看這個右手 這個地方就是
[00:02:22.840 --> 00:02:24.900]  喲
[00:02:25.760 --> 00:02:28.580]  這一個環冠 就是
[00:02:28.580 --> 00:02:30.200]  心
[00:02:30.200 --> 00:02:32.520]  這邊一個
[00:02:32.520 --> 00:02:33.740]  這就是華
[00:02:33.740 --> 00:02:38.060]  這邊一個像一個Y一樣 這就是阿穎
[00:02:38.060 --> 00:02:40.260]  這是希伯來字
[00:02:40.260 --> 00:02:43.400]  所以祂的右手就構成是
[00:02:43.400 --> 00:02:46.100]  耶穌阿 耶穌
[00:02:46.100 --> 00:02:49.000]  耶穌就是基督嘛 是不是
[00:02:49.000 --> 00:02:50.000]  OK
[00:02:50.000 --> 00:02:53.000]  喲 心
[00:02:54.440 --> 00:02:57.440]  喲 阿穎
[00:02:57.440 --> 00:03:00.300]  這整個手就像我上面畫的那個
[00:03:00.300 --> 00:03:03.360]  就把我 耶穌 就是神的右手
[00:03:03.360 --> 00:03:06.860]  完完全全 就表示出來了
[00:03:06.860 --> 00:03:09.440]  聖經上面有150次
[00:03:09.440 --> 00:03:11.640]  中間這個
[00:03:11.640 --> 00:03:15.180]  心 好像是環冠
[00:03:15.180 --> 00:03:17.720]  環冠一樣 所以這是
[00:03:17.720 --> 00:03:19.840]  戴在耶穌頭上的環冠
[00:03:19.840 --> 00:03:21.580]  是不是
[00:03:21.580 --> 00:03:24.320]  而這個地方大拇指
[00:03:25.280 --> 00:03:28.460]  大拇指 一個人少了大拇指
[00:03:28.460 --> 00:03:29.920]  很難過的
[00:03:29.920 --> 00:03:33.280]  什麼都不能做嘛 不能握東西嘛
[00:03:33.280 --> 00:03:35.000]  你不管你怎麼樣
[00:03:35.000 --> 00:03:38.060]  通通要有一個大拇指 才能夠
[00:03:38.060 --> 00:03:41.160]  握住東西 所以這個大拇指
[00:03:41.160 --> 00:03:42.680]  非常重要的
[00:03:42.680 --> 00:03:45.860]  我們這地方叫做虎口 是不是
[00:03:45.860 --> 00:03:47.120]  也就是說
[00:03:47.120 --> 00:03:51.120]  耶穌在神的右手邊
[00:03:51.120 --> 00:03:53.160]  祂是大拇指
[00:03:53.360 --> 00:03:56.200]  是非常必須的
[00:03:56.200 --> 00:03:59.300]  需要的 而祂戴著
[00:03:59.300 --> 00:04:00.420]  環冠
[00:04:00.420 --> 00:04:03.800]  而祂是小指頭
[00:04:03.800 --> 00:04:07.360]  小指頭重不重要 很重要
[00:04:07.360 --> 00:04:09.040]  我常常喜歡講
[00:04:09.040 --> 00:04:11.860]  你做很多事情都用小指頭
[00:04:11.860 --> 00:04:15.620]  剃牙齒啦 掏耳朵啦
[00:04:15.620 --> 00:04:17.440]  你都喜歡用小指頭 是吧
[00:04:17.440 --> 00:04:19.160]  這小指頭呢
[00:04:19.160 --> 00:04:22.680]  少了它 還真不行 對吧
[00:04:22.940 --> 00:04:24.480]  那麼 還有一個
[00:04:24.480 --> 00:04:25.980]  阿應
[00:04:25.980 --> 00:04:29.200]  這個掌心 這整個手
[00:04:29.200 --> 00:04:32.080]  通通是神的右手
[00:04:32.080 --> 00:04:35.620]  假如說就是神的右手 就是耶穌
[00:04:35.620 --> 00:04:36.620]  不是嗎
[00:04:36.620 --> 00:04:39.340]  哈勒路亞 所以就記得了
[00:04:39.340 --> 00:04:41.700]  耶穌就是神的右手
[00:04:41.700 --> 00:04:44.420]  在西伯來文裡面 確確實實
[00:04:44.420 --> 00:04:45.720]  就是這個樣子
[00:04:45.720 --> 00:04:48.920]  對於我們來講呢
[00:04:48.920 --> 00:04:52.440]  神的右手是有能力的 是不是
[00:04:52.440 --> 00:04:55.860]  神的右手是有榮耀的 是不是
[00:04:55.860 --> 00:04:56.860]  譬如
[00:04:56.860 --> 00:04:58.640]  當你
[00:04:58.640 --> 00:05:00.980]  宣誓的時候
[00:05:00.980 --> 00:05:03.180]  舉左手還是右手啊
[00:05:03.180 --> 00:05:04.820]  舉右手
[00:05:04.820 --> 00:05:08.120]  對不對 因為這是我們的
[00:05:08.120 --> 00:05:10.680]  宣誓 我們有能力
[00:05:10.680 --> 00:05:12.680]  有力量的手
