
[00:00:00.000 --> 00:00:06.240]  在上課時間,老師在黑板上一年寫了幾十種不同的感受
[00:00:06.240 --> 00:00:10.880]  包括失望、埋怨、憤怒,一直寫
[00:00:10.880 --> 00:00:16.000]  接著問同學,各位同學,你們有沒有經歷過黑板上寫的感受
[00:00:16.000 --> 00:00:20.800]  有些同學翹起手,不說話,有些人看著老師,眼光光
[00:00:20.800 --> 00:00:25.440]  有很多同學一直幫他點頭,並且說有呀有呀
[00:00:25.440 --> 00:00:29.520]  接著,老師就每一個同學派一個布袋給他們
[00:00:29.520 --> 00:00:33.680]  然後跟他們說,各位同學,今天我們玩一個遊戲
[00:00:33.680 --> 00:00:36.800]  你們想一想,過去這一兩個星期
[00:00:36.800 --> 00:00:41.520]  如果你們有過在黑板上寫的感受
[00:00:41.520 --> 00:00:46.160]  如果有一種,你待會放學後去海邊撿一塊石頭
[00:00:46.160 --> 00:00:50.960]  放在這個布袋裡,然後明天早上拿回來我們一起上課
[00:00:50.960 --> 00:00:55.200]  你記住,每一種感受都撿一塊,你有多少種就撿多少塊
[00:00:55.200 --> 00:00:58.640]  那班同學就覺得非常有趣,非常新鮮
[00:00:58.640 --> 00:01:03.040]  於是放學後,興高采烈地跑去海邊撿石頭
[00:01:03.040 --> 00:01:06.400]  第二天早上就帶著布袋和石頭一起回來
[00:01:06.400 --> 00:01:11.440]  是一個熱烈的討論,嘩,你的布袋只有兩塊石頭那麼少
[00:01:11.440 --> 00:01:15.840]  你的石頭有多大,又圓圓的,一直在討論
[00:01:15.840 --> 00:01:21.760]  如是者,一天過去,兩天過去,三天過去
[00:01:21.760 --> 00:01:25.680]  同學的布袋就越來越大,越來越重
[00:01:25.680 --> 00:01:31.520]  並且慢慢地成為他們的重擔,每天都背著這些石頭回來
[00:01:31.520 --> 00:01:37.600]  終於有人向老師投訴,老師,很累啊,每天帶著這些石頭
[00:01:37.600 --> 00:01:41.200]  老師只是笑一笑,看一看他,並沒有回答他
[00:01:41.200 --> 00:01:44.240]  過了一兩天,整班同學就圍著老師
[00:01:44.240 --> 00:01:49.840]  老師真的很累啊,每天帶著那麼重的石頭上學,很累啊
[00:01:49.840 --> 00:01:55.200]  老師說,累就放下它吧,這些石頭又不是寶
[00:01:55.200 --> 00:02:00.480]  你經常都背著一些不應該背的東西,人人都說累了
[00:02:00.480 --> 00:02:08.640]  放下是代表將很重的包袱放下,是一種人生的扭轉
[00:02:08.640 --> 00:02:13.680]  這種人生的扭轉是需要勇氣和能力的
[00:02:13.680 --> 00:02:17.760]  大家都知道中國有一個字,眼淚的淚字
[00:02:17.760 --> 00:02:20.640]  淚字有三點水的,為什麼呢?
[00:02:20.640 --> 00:02:26.720]  就是代表當人哭的時候,就有些眼淚水從他的眼睛流出來
[00:02:26.720 --> 00:02:28.000]  所以就是三點水
[00:02:28.000 --> 00:02:34.080]  如果將這三點水拿走,加個剔手鞭,就成為轉裂點的裂字
[00:02:34.080 --> 00:02:36.320]  轉裂點的裂字代表什麼呢?
[00:02:36.320 --> 00:02:42.640]  裂字的意思也是扭轉,裂字的旁邊是剔手鞭的
[00:02:42.640 --> 00:02:47.360]  代表人生的扭轉是需要勇氣和能力
[00:02:47.360 --> 00:02:51.520]  是要人參與的,是需要很大的能力的
[00:02:51.520 --> 00:02:59.040]  今天我們講到的題目是以西傑書第37章裡面滿佈枯骨的平原
[00:02:59.040 --> 00:03:02.480]  遍佈整個平原的白骨
[00:03:02.480 --> 00:03:06.080]  這些枯骨死亡了很久,乾了很久
[00:03:06.080 --> 00:03:08.560]  因為死了很久,所以連骨都乾了
[00:03:08.560 --> 00:03:11.680]  這些枯骨最後的結局是怎樣呢?
[00:03:11.680 --> 00:03:15.200]  讓我們一起看看以西傑書第37章7至10節
[00:03:15.200 --> 00:03:17.360]  我們一起讀,1,2,3
[00:03:45.200 --> 00:04:00.480]  這些枯骨最後是怎樣呢?
[00:04:00.480 --> 00:04:04.880]  這些枯骨竟然可以復活,成為生生脈脈的人
[00:04:04.880 --> 00:04:08.560]  並且不單止這樣,成為很強大的軍隊
[00:04:08.560 --> 00:04:11.280]  骨頭的英文是崩
[00:04:11.280 --> 00:04:16.000]  在神大能的手裡面,由崩變成Bonus
[00:04:16.000 --> 00:04:20.560]  所以有花紅分
[00:04:20.560 --> 00:04:24.800]  這些的轉變,這些的改變,這些的更新
[00:04:24.800 --> 00:04:26.720]  是一種人生的扭轉
[00:04:26.720 --> 00:04:31.120]  這種人生的扭轉是需要勇氣,是需要能力
[00:04:31.120 --> 00:04:34.080]  以西傑的時代是一個什麼時代呢?
[00:04:34.080 --> 00:04:36.960]  以西傑時代,以西傑先知這個時代
[00:04:36.960 --> 00:04:41.200]  是以色列民族裡面一個最黑暗的時間
[00:04:41.200 --> 00:04:42.160]  是為什麼呢?
[00:04:42.160 --> 00:04:47.120]  因為整個以色列國家已經完全被他們的外敵巴比倫消滅了
[00:04:47.120 --> 00:04:50.800]  所有以色列人的貴族,所有厲害的人,所有的精英
[00:04:50.800 --> 00:04:54.000]  全部都被俘虜了,帶到巴比倫那裡
[00:04:54.000 --> 00:04:56.560]  大家掛著一個牌,叫做亡國奴
[00:04:56.560 --> 00:04:59.680]  所以對於神的子民,對於當時的以色列人
[00:04:59.680 --> 00:05:02.960]  是充滿絕望,每一個人的心情都很差
[00:05:02.960 --> 00:05:05.680]  他們覺得這個前景,他們沒有盼望了
[00:05:05.680 --> 00:05:10.240]  就在這個時間,以西傑書就有枯骨復活的預言
[00:05:10.240 --> 00:05:13.040]  枯骨復活的預言,實際上在歷史上
[00:05:13.040 --> 00:05:15.200]  真的應驗了一共兩次
[00:05:15.200 --> 00:05:18.240]  第一次,就是當他們亡國之後,幾十年之後
[00:05:18.240 --> 00:05:22.000]  神為以色列這個民族開門,打開那些門
[00:05:22.000 --> 00:05:25.840]  令到秘魯那些人,再一次可以回到以色列的國境裡面
[00:05:25.840 --> 00:05:30.400]  去到耶路撒冷那裡,可以重建聖殿,可以重建城牆
[00:05:30.400 --> 00:05:33.760]  第二次的應驗,就是後來的時間
[00:05:33.760 --> 00:05:38.160]  以色列國再一次被後來的羅馬帝國消滅了
[00:05:38.160 --> 00:05:41.360]  過了二千多年,就是1948年
[00:05:41.360 --> 00:05:47.920]  在中東一個地方,突然間神跡地有一個以色列國家建立
[00:05:47.920 --> 00:05:50.000]  神通過我們真實的經歷
[00:05:50.000 --> 00:05:53.200]  神通過這麼多年,在這個民族裡面的經歷
[00:05:53.200 --> 00:05:58.320]  讓人看得見,本來沒有盼望的,在神大人的手裡面
[00:05:58.320 --> 00:06:02.320]  沒有盼望的,都變為有盼望,Amen?
[00:06:02.320 --> 00:06:08.160]  有很多解經家認為,「呼骨復活」其實是代表教會的復興
[00:06:08.160 --> 00:06:12.560]  但當我們細心一層去想,教會究竟是什麼來的呢?
[00:06:12.560 --> 00:06:16.000]  教會不是一個機構,教會不是一個組織
[00:06:16.000 --> 00:06:19.760]  教會不是一間建築物,教會也不是一間註冊公司
[00:06:19.760 --> 00:06:25.280]  什麼是教會呢?教會就是你和我,我們所有的人加起來
[00:06:25.280 --> 00:06:31.680]  所以頂姐妹和你旁邊的人,你和我加起來,就是教會了
[00:06:31.680 --> 00:06:34.080]  所以頂姐妹我們經常說教會復興
[00:06:34.080 --> 00:06:36.400]  所以我們經常祈禱說教會復興
[00:06:36.400 --> 00:06:40.400]  所以我們經常各自禱告說教會要大大的復興
[00:06:40.400 --> 00:06:42.240]  全香港的教會要大大的復興
[00:06:42.240 --> 00:06:44.560]  但是頂姐妹,最重要的是什麼呢?
[00:06:44.560 --> 00:06:46.480]  當我們祈禱說教會復興的時候
[00:06:46.480 --> 00:06:50.720]  我們應該求你和我的人生要被扭轉
[00:06:50.720 --> 00:06:52.720]  你和我要先要復興
[00:06:52.720 --> 00:06:54.880]  所以邀請頂姐妹再和旁邊的人說
[00:06:54.880 --> 00:06:57.600]  教會復興要你和我開始
[00:07:00.640 --> 00:07:03.280]  復興是一種人生的扭轉
[00:07:03.280 --> 00:07:07.120]  而這種人生的扭轉是需要勇氣和能力
