
[00:00:00.000 --> 00:00:03.740]  最近有一個報告是講香港人口的情況
[00:00:03.740 --> 00:00:06.820]  說香港人口老化的程度
[00:00:06.820 --> 00:00:09.400]  日漸趨嚴重
[00:00:09.400 --> 00:00:11.240]  那麼
[00:00:11.240 --> 00:00:12.980]  我想問大家知不知道
[00:00:12.980 --> 00:00:19.520]  多少個人之中有一個已經超過65歲以上的長者
[00:00:19.520 --> 00:00:21.420]  多少個人之中呢?
[00:00:21.420 --> 00:00:22.840]  我給你選一下
[00:00:22.840 --> 00:00:23.580]  6個
[00:00:23.580 --> 00:00:25.380]  8個
[00:00:25.380 --> 00:00:26.700]  10個
[00:00:29.100 --> 00:00:30.700]  6個、8個、10個
[00:00:30.700 --> 00:00:33.240]  10個的,你覺得10個的
[00:00:33.240 --> 00:00:34.360]  舉手
[00:00:34.360 --> 00:00:35.060]  10個
[00:00:35.060 --> 00:00:36.280]  有些
[00:00:36.280 --> 00:00:37.320]  8個的
[00:00:37.320 --> 00:00:39.180]  有些多
[00:00:39.180 --> 00:00:40.140]  6個的
[00:00:40.140 --> 00:00:41.560]  6個最多
[00:00:41.560 --> 00:00:44.340]  6個會遲一點發生
[00:00:44.340 --> 00:00:47.540]  8個是現在的事情
[00:00:47.540 --> 00:00:49.720]  那麼8個裡面
[00:00:49.720 --> 00:00:52.920]  有一個是65歲以上的長者
[00:00:52.920 --> 00:00:56.860]  就是說在700多萬多的人口裡面
[00:00:56.860 --> 00:01:00.940]  大概有88到90萬的人
[00:01:00.940 --> 00:01:03.500]  已經超過65歲以上
[00:01:03.500 --> 00:01:04.540]  那麼
[00:01:04.540 --> 00:01:05.700]  這也是一個
[00:01:05.700 --> 00:01:10.300]  已經是一個屬於老化的社會了
[00:01:10.300 --> 00:01:13.580]  那麼接下來的預計
[00:01:13.580 --> 00:01:14.720]  在未來
[00:01:14.720 --> 00:01:17.380]  到了2030年的時候
[00:01:17.380 --> 00:01:19.060]  他說到時候
[00:01:19.060 --> 00:01:22.220]  應該65歲以上的長者
[00:01:22.220 --> 00:01:24.020]  應該有210萬人
[00:01:24.020 --> 00:01:25.620]  為什麼會有這麼多呢?
[00:01:25.620 --> 00:01:29.020]  一來就是我們年輕的慢慢就會變成長者
[00:01:29.020 --> 00:01:30.460]  另一方面就是因為
[00:01:30.460 --> 00:01:34.100]  香港人的壽命是越來越長的
[00:01:34.100 --> 00:01:35.620]  大家知道已經是
[00:01:35.620 --> 00:01:37.140]  香港人的壽命
[00:01:37.140 --> 00:01:40.420]  平均壽命已經在世界裡面是名列前茅的了
[00:01:40.420 --> 00:01:43.420]  他說到了30年的時候
[00:01:43.420 --> 00:01:44.980]  應該
[00:01:44.980 --> 00:01:49.740]  就是女性的平均壽命
[00:01:49.740 --> 00:01:52.180]  到了90歲
[00:01:52.180 --> 00:01:53.220]  所以
[00:01:53.220 --> 00:01:54.220]  估計
[00:01:54.220 --> 00:01:57.100]  到時候是210萬的長者
[00:01:57.100 --> 00:02:01.060]  就是說到時候有多少人之中有一個是長者呢?
[00:02:01.060 --> 00:02:03.220]  就可能有4個裡面之中
[00:02:03.220 --> 00:02:04.500]  有一個是長者
[00:02:04.500 --> 00:02:06.060]  現在的一倍
[00:02:06.060 --> 00:02:06.940]  那麼
[00:02:06.940 --> 00:02:07.980]  應該會是
[00:02:07.980 --> 00:02:09.500]  情況會這樣增加
[00:02:09.500 --> 00:02:11.980]  到時候我應該也是長者之一了
[00:02:11.980 --> 00:02:13.620]  所以你看到
[00:02:13.620 --> 00:02:15.020]  情況就是這樣
[00:02:15.020 --> 00:02:16.300]  另外
[00:02:16.300 --> 00:02:17.300]  新的一個報告就是
[00:02:17.300 --> 00:02:17.800]  好了
[00:02:17.800 --> 00:02:23.140]  又了解一下香港老人家的快樂指數是怎麼樣的
[00:02:23.380 --> 00:02:25.420]  以100分為滿分
[00:02:25.420 --> 00:02:28.780]  老人家的快樂指數是66分
[00:02:28.780 --> 00:02:31.380]  一般來說這個分數是
[00:02:31.380 --> 00:02:33.500]  反映他們不是算快樂的了
[00:02:33.500 --> 00:02:35.300]  就是老人家不是很快樂的了
[00:02:35.300 --> 00:02:39.100]  因為很多方便回答的問卷題目裡面
[00:02:39.100 --> 00:02:40.780]  都反映他們的擔心
[00:02:40.780 --> 00:02:44.020]  第一方面是在身體健康上的擔心
[00:02:44.020 --> 00:02:46.740]  第二就是在經濟能力裡面的擔心
[00:02:46.740 --> 00:02:49.420]  所以最近又有一個報告在講
[00:02:49.420 --> 00:02:55.100]  香港人將來的退休之後
[00:02:55.100 --> 00:02:59.980]  那些錢財和經濟能不能夠保障生活呢?
[00:02:59.980 --> 00:03:02.060]  發覺有些艱難在裡面
[00:03:02.060 --> 00:03:03.260]  那麼
[00:03:03.260 --> 00:03:07.780]  而老人家最感覺到不快樂的
[00:03:07.780 --> 00:03:09.340]  就是有一條題目問
[00:03:09.340 --> 00:03:11.580]  他們會不會沒有
[00:03:11.580 --> 00:03:13.420]  就是還沒感覺到孤獨
[00:03:13.420 --> 00:03:15.820]  就是還沒感覺到孤獨的一個正面
[00:03:15.980 --> 00:03:19.500]  但是得的分數也是五成而已
[00:03:19.500 --> 00:03:21.100]  就是五十多分
[00:03:21.100 --> 00:03:24.380]  反映到老人家心裡面都很寂寞
[00:03:24.380 --> 00:03:25.500]  都很孤單
[00:03:25.500 --> 00:03:29.580]  這個是香港老人家的情況
[00:03:29.580 --> 00:03:33.140]  如果這樣去看這些報告
[00:03:33.140 --> 00:03:35.780]  經濟好像又不保
[00:03:35.780 --> 00:03:39.540]  不是保得住將來退休後的生活
[00:03:39.540 --> 00:03:41.540]  再加上長壽
[00:03:41.540 --> 00:03:43.940]  我們這麼說還有很多年要熬
[00:03:43.940 --> 00:03:45.740]  接著再想想
[00:03:45.740 --> 00:03:48.140]  快樂指數又不高
[00:03:48.140 --> 00:03:51.260]  你就會開始擔心
[00:03:51.260 --> 00:03:52.340]  如果我看到這些報告
[00:03:52.340 --> 00:03:53.940]  我也會開始擔心
[00:03:53.940 --> 00:03:56.340]  我的下半場如何呢?
[00:03:56.340 --> 00:03:59.860]  但是我們的聖經又給我們很大的幫助
[00:03:59.860 --> 00:04:03.700]  今天跟大家看約書亞記十四章
[00:04:03.700 --> 00:04:05.500]  六至十五節
[00:04:05.500 --> 00:04:08.540]  剛才主席幫我們讀了出來
[00:04:08.540 --> 00:04:09.980]  主要有一個人物
[00:04:09.980 --> 00:04:10.900]  就是迦勒
[00:04:10.900 --> 00:04:13.020]  迦勒講了一番話
[00:04:13.020 --> 00:04:14.020]  跟約書亞
[00:04:14.020 --> 00:04:19.700]  他才能夠給我們一些提醒
[00:04:19.700 --> 00:04:22.940]  一些幫助
[00:04:22.940 --> 00:04:25.740]  我們真的好像迦勒一樣
[00:04:25.740 --> 00:04:28.460]  怎樣有一個精彩的下半場
[00:04:28.460 --> 00:04:33.820]  無論今天你是65歲以上的老人家
[00:04:33.820 --> 00:04:37.020]  或者你還是年輕
[00:04:37.020 --> 00:04:38.420]  但是我相信
[00:04:38.420 --> 00:04:41.860]  今天從迦勒的身上都可以幫助我們
[00:04:41.860 --> 00:04:44.540]  如何去準備或者去面對
[00:04:44.540 --> 00:04:47.540]  我們人生的下半場
[00:04:47.540 --> 00:04:51.140]  而且這個下半場更加要精彩
[00:04:51.140 --> 00:04:54.460]  我們回顧剛才我們讀的聖經
[00:04:54.460 --> 00:04:58.100]  我們打開聖經
[00:04:58.100 --> 00:05:01.540]  仍然是約書亞記十四章第六節
[00:05:01.540 --> 00:05:02.460]  那麼
[00:05:02.460 --> 00:05:05.820]  今天我跟大家分享的時候
[00:05:05.820 --> 00:05:09.660]  我也用三方面去看
[00:05:09.660 --> 00:05:13.660]  老人家老人體的生活
[00:05:13.660 --> 00:05:14.580]  哪三方面呢?
[00:05:14.580 --> 00:05:15.500]  第一方面就是
[00:05:15.500 --> 00:05:17.980]  從老人去看過去
[00:05:17.980 --> 00:05:22.500]  第二方面是從老人去看現在
[00:05:22.500 --> 00:05:26.780]  第三方面就是從老人去看未來
[00:05:26.780 --> 00:05:28.020]  過去
[00:05:28.020 --> 00:05:29.140]  現在
[00:05:29.140 --> 00:05:29.900]  未來
[00:05:29.900 --> 00:05:34.180]  我們也看看迦勒怎樣去提醒幫助我們
[00:05:34.180 --> 00:05:37.220]  老人家去看過去
[00:05:38.500 --> 00:05:42.060]  迦勒在第六節那裡
[00:05:42.060 --> 00:05:43.100]  我們有一次看
[00:05:43.100 --> 00:05:48.860]  他就跟約書亞說一番話
[00:05:48.860 --> 00:05:53.180]  當時他們已經進入迦南裡面了
[00:05:53.180 --> 00:05:55.540]  都經過了一段的征戰
[00:05:55.540 --> 00:05:57.060]  趕走外族
[00:05:57.060 --> 00:05:58.620]  開始分地了
[00:05:58.620 --> 00:06:02.980]  現在分到約旦河以西的地方
[00:06:02.980 --> 00:06:07.500]  迦勒就代表猶大族的支派去說
[00:06:07.500 --> 00:06:10.900]  我們要取得以西這個地方
[00:06:10.900 --> 00:06:16.100]  這個地方當然仍然有一些迦南族人在裡面
[00:06:16.100 --> 00:06:18.900]  都要趕走他們才能夠安居
[00:06:18.900 --> 00:06:22.620]  但是從這段對話裡面
[00:06:22.620 --> 00:06:27.420]  我又看到迦勒似乎又總結了他過去一些的人生
[00:06:27.420 --> 00:06:29.740]  在第六節那裡說
[00:06:29.740 --> 00:06:31.060]  他跟約書亞說
[00:06:31.060 --> 00:06:34.860]  耶和華在迪斯巴尼亞
[00:06:34.860 --> 00:06:37.740]  指著我和對神人摩西所說的話
[00:06:37.740 --> 00:06:38.900]  你們都知道了
[00:06:38.900 --> 00:06:42.780]  就說那一祖人摩西從這個地方
