
[00:00:00.000 --> 00:00:04.000]  今天我會分享的經文仍然都是約書亞記
[00:00:04.000 --> 00:00:08.500]  去到第21章43節到45節
[00:00:08.500 --> 00:00:12.500]  所以今天我只是跟大家講3節的聖經
[00:00:12.500 --> 00:00:14.500]  這個也是教會的安排
[00:00:14.500 --> 00:00:19.000]  我上一次講到是講了2章 18章和19章
[00:00:19.000 --> 00:00:25.000]  而今天是講3節 是很不同的一個內容
[00:00:25.000 --> 00:00:27.000]  我意思是那個長短
[00:00:27.000 --> 00:00:29.500]  因為講2章的聖經
[00:00:29.500 --> 00:00:31.500]  其實我發覺是容易很多
[00:00:31.500 --> 00:00:34.500]  講3節其實是很難講
[00:00:34.500 --> 00:00:37.500]  因為都不知道有什麼可以講的3節
[00:00:37.500 --> 00:00:40.000]  甚至如果大家讀完之後
[00:00:40.000 --> 00:00:42.500]  我們立即可以結束崇拜
[00:00:42.500 --> 00:00:46.500]  大家一定會明白這3節聖經是講什麼
[00:00:46.500 --> 00:00:50.000]  但是當我自己去思考約書亞記
[00:00:50.000 --> 00:00:51.000]  我經常都這樣
[00:00:51.000 --> 00:00:54.500]  教會思考講約書亞記
[00:00:54.500 --> 00:00:56.000]  一定有它的原因
[00:00:56.000 --> 00:00:59.500]  就是因為我們明白昔日神對約書亞講
[00:00:59.500 --> 00:01:01.500]  祂說你要進去應許之地
[00:01:01.500 --> 00:01:04.500]  你要剛強壯膽
[00:01:04.500 --> 00:01:07.500]  很明顯約書亞去面對他前面
[00:01:07.500 --> 00:01:11.000]  要帶領以色列百姓的第二代百姓
[00:01:11.000 --> 00:01:14.000]  進去應許之地其實絕不簡單
[00:01:14.000 --> 00:01:17.000]  他的內心一定會有些恐懼
[00:01:17.000 --> 00:01:18.500]  以至到神跟他說
[00:01:18.500 --> 00:01:20.500]  祂說你要剛強壯膽
[00:01:20.500 --> 00:01:22.500]  不用怕 繼續向前行
[00:01:22.500 --> 00:01:25.000]  去得這個未得之地
[00:01:25.000 --> 00:01:29.500]  以至到約書亞就帶著以色列民
[00:01:29.500 --> 00:01:31.000]  經過約旦河
[00:01:31.000 --> 00:01:32.500]  經過一個神蹟
[00:01:32.500 --> 00:01:34.000]  將約旦河分開
[00:01:34.000 --> 00:01:36.000]  然後去到中部
[00:01:36.000 --> 00:01:38.500]  去面對耶利哥
[00:01:38.500 --> 00:01:40.500]  用了幾天時間 七天時間
[00:01:40.500 --> 00:01:42.500]  就打贏了耶利哥
[00:01:42.500 --> 00:01:47.000]  以至到他們心裡有一種所謂心虹
[00:01:47.000 --> 00:01:48.000]  哇 這麼容易打
[00:01:48.000 --> 00:01:50.000]  於是他打艾成的時候
[00:01:50.000 --> 00:01:52.000]  他就以為 easy job
[00:01:52.000 --> 00:01:53.500]  很容易而已
[00:01:53.500 --> 00:01:56.000]  但是他沒想過在打約書亞
[00:01:56.000 --> 00:01:57.500]  不是 打耶利哥的時候
[00:01:57.500 --> 00:01:59.500]  卻有一個人犯了罪
[00:01:59.500 --> 00:02:03.000]  是令到整個民族帶來了一個很大的挑戰
[00:02:03.000 --> 00:02:05.500]  以至到去打艾成的時候
[00:02:05.500 --> 00:02:07.500]  第一次打輸了
[00:02:07.500 --> 00:02:09.000]  以至到去到第二次
[00:02:09.000 --> 00:02:10.500]  去打這個艾成
[00:02:10.500 --> 00:02:13.000]  才能夠按照上帝的策略
[00:02:13.000 --> 00:02:15.500]  是打贏了這個艾成
[00:02:15.500 --> 00:02:18.000]  然後基本就用了一些詭計
[00:02:18.000 --> 00:02:21.500]  卻將跟以色列民有一個和約
[00:02:21.500 --> 00:02:25.000]  然後就向南部開始打
[00:02:25.000 --> 00:02:27.500]  然後最後就向北部
[00:02:27.500 --> 00:02:30.000]  完成了所有的戰役
[00:02:30.000 --> 00:02:32.500]  得著這個應許之地
[00:02:32.500 --> 00:02:34.500]  但是到了第十三章的時候
[00:02:34.500 --> 00:02:36.000]  就開始分地
[00:02:36.000 --> 00:02:39.000]  當然分地也有一個很大的挑戰
[00:02:39.000 --> 00:02:41.000]  我們很多時候在新聞那邊
[00:02:41.000 --> 00:02:45.500]  都聽到有家產
[00:02:45.500 --> 00:02:47.500]  要分給幾個子女
[00:02:47.500 --> 00:02:49.000]  都是一個挑戰
[00:02:49.000 --> 00:02:50.500]  幸好我只有一個女兒
[00:02:50.500 --> 00:02:52.000]  我沒有什麼需要爭
[00:02:52.000 --> 00:02:53.000]  我們沒有什麼東西給她
[00:02:53.000 --> 00:02:54.500]  不需要只有她一個
[00:02:54.500 --> 00:02:56.000]  但是很明顯
[00:02:56.000 --> 00:02:58.500]  要分給支派怎麼分法呢?
[00:02:58.500 --> 00:03:00.000]  在十三章開始
[00:03:00.000 --> 00:03:03.000]  一直到第二十一章四十二節
[00:03:03.000 --> 00:03:05.500]  上帝按照祂的主權
[00:03:05.500 --> 00:03:08.500]  將地給了十一個支派
[00:03:08.500 --> 00:03:10.000]  然後上個星期
[00:03:10.000 --> 00:03:12.000]  謝穆先生在這裡說到
[00:03:12.000 --> 00:03:14.000]  究竟離離支派
[00:03:14.000 --> 00:03:17.000]  這一幫在聖殿裡侍奉的一幫人
[00:03:17.000 --> 00:03:19.000]  究竟他們得到些什麼呢?
[00:03:19.000 --> 00:03:21.500]  然後聖經告訴我們
[00:03:21.500 --> 00:03:24.000]  十一個支派所得到的地
[00:03:24.000 --> 00:03:26.000]  裡面的某些城市
[00:03:26.000 --> 00:03:29.500]  各自給了離離支派
[00:03:29.500 --> 00:03:30.500]  所以離離支派的人
[00:03:30.500 --> 00:03:34.500]  是散居在其他的十一個支派裡面
[00:03:34.500 --> 00:03:36.500]  上一次謝穆師說得很清楚
[00:03:36.500 --> 00:03:39.500]  他說好像離離支派沒有地
[00:03:39.500 --> 00:03:42.000]  但它卻有城市
[00:03:42.000 --> 00:03:43.500]  好像沒有什麼
[00:03:43.500 --> 00:03:45.500]  其實它所擁有的
[00:03:45.500 --> 00:03:49.500]  比其他的支派可能會更多
[00:03:49.500 --> 00:03:52.000]  今天就去到二十一章
[00:03:52.000 --> 00:03:54.000]  最後的三節
[00:03:54.000 --> 00:03:56.000]  我們一起讀一讀
[00:03:56.000 --> 00:03:58.000]  這三節的聖經好不好
[00:03:58.000 --> 00:04:00.000]  準備 一二三
