
[00:00:00.000 --> 00:00:02.000]  什麼叫做kiddo呢?
[00:00:02.000 --> 00:00:05.520]  有沒有人自認是kiddo的呢?
[00:00:05.520 --> 00:00:12.080]  嘩 通常那些不是的就舉手 真是
[00:00:12.080 --> 00:00:13.440]  十分之好
[00:00:13.440 --> 00:00:17.500]  我想這個字大家都不陌生的了
[00:00:17.500 --> 00:00:20.640]  就是一個kid 和一個adult的混合體
[00:00:20.640 --> 00:00:24.080]  原來有中文翻譯的 你知不知道中文的翻譯是甚麼?
[00:00:24.080 --> 00:00:26.000]  吓?
[00:00:26.000 --> 00:00:29.140]  連成人 不是
[00:00:29.140 --> 00:00:31.400]  我真是看維基的
[00:00:31.400 --> 00:00:33.600]  中文的翻譯叫做
[00:00:33.600 --> 00:00:35.240]  傑斗
[00:00:35.240 --> 00:00:39.560]  我覺得很大陸 傑斗
[00:00:39.560 --> 00:00:41.560]  其實他只是直接翻譯成音
[00:00:41.560 --> 00:00:42.840]  在說甚麼呢?
[00:00:42.840 --> 00:00:45.360]  kiddo是在說一些成年人
[00:00:45.360 --> 00:00:47.980]  如果你已經拿著成年身份證
[00:00:47.980 --> 00:00:50.480]  但仍然童心未敏
[00:00:50.480 --> 00:00:53.520]  依然熱衷青年人的文化
[00:00:53.520 --> 00:00:54.460]  你就是kiddo了
[00:00:54.460 --> 00:00:57.840]  在這個Cambridge的大字典裏面
[00:00:57.840 --> 00:01:00.600]  它定義這個字 就是說那些人
[00:01:00.600 --> 00:01:02.100]  是成人來的
[00:01:02.100 --> 00:01:05.640]  但是他們工作和購物
[00:01:05.640 --> 00:01:07.640]  就好像一個小朋友一樣
[00:01:07.640 --> 00:01:11.780]  幼稚 我沒有這樣說
[00:01:11.780 --> 00:01:14.000]  所以慢慢開始有很多公司
[00:01:14.000 --> 00:01:16.000]  就target這班人
[00:01:16.000 --> 00:01:19.100]  就是那些kiddo的spending power是很厲害的
[00:01:19.100 --> 00:01:22.480]  就是你知不知道一個Marvel的figure多少錢?
[00:01:22.480 --> 00:01:26.740]  我想問
[00:01:28.340 --> 00:01:29.520]  梅輝去哪了?
[00:01:29.520 --> 00:01:33.520]  一個Marvel的figure多少錢?
[00:01:33.520 --> 00:01:36.400]  他老婆在不在?
[00:01:36.400 --> 00:01:39.620]  不見了
[00:01:39.620 --> 00:01:41.620]  總之你知道不便宜
[00:01:41.620 --> 00:01:43.380]  我知道他們肯定會告訴我
[00:01:43.380 --> 00:01:46.180]  可以賺的 現在趁便宜買
[00:01:46.180 --> 00:01:48.680]  炒一炒就過萬了
[00:01:48.680 --> 00:01:51.580]  但很坦白說 它又是不會賣出去的
[00:01:51.580 --> 00:01:53.580]  有一句說話說
[00:01:53.580 --> 00:01:56.080]  bigger kids, larger spend
[00:01:56.080 --> 00:01:58.080]  越大的kiddo
[00:01:58.080 --> 00:02:00.080]  它的購買能力越強
[00:02:00.080 --> 00:02:03.240]  除了kiddo這個term之外
[00:02:03.240 --> 00:02:05.240]  我就一直預備
[00:02:05.240 --> 00:02:07.240]  剛剛說起你 梅輝
[00:02:07.240 --> 00:02:09.240]  我就發覺原來
[00:02:09.240 --> 00:02:11.240]  我們這個generation
[00:02:11.240 --> 00:02:13.240]  有很多新的term
[00:02:13.240 --> 00:02:15.240]  有沒有見過這幾個term?
[00:02:15.240 --> 00:02:20.540]  YA很容易明白
[00:02:20.540 --> 00:02:22.540]  young adult
[00:02:22.540 --> 00:02:24.540]  那GA呢?
[00:02:26.280 --> 00:02:28.280]  早兩天 不是 上個禮拜
[00:02:28.280 --> 00:02:30.280]  報告前 是不是上個禮拜
[00:02:30.280 --> 00:02:32.280]  是 上個禮拜 不是
[00:02:32.280 --> 00:02:34.280]  上年 好像說過的
[00:02:34.280 --> 00:02:36.280]  你記不記得有一個
[00:02:36.280 --> 00:02:38.280]  不管你讀哪間U
[00:02:38.280 --> 00:02:40.280]  我們都是welcome you的
[00:02:40.280 --> 00:02:43.280]  就是golden age
[00:02:43.280 --> 00:02:45.280]  不是adult 是golden age
[00:02:45.280 --> 00:02:47.280]  SA有沒有聽過?
[00:02:47.280 --> 00:02:50.880]  senior adult 很聰明啊你們
[00:02:50.880 --> 00:02:52.880]  那senior adult我在哪聽過呢?
[00:02:52.880 --> 00:02:56.880]  我就有一天跟youth的同工Michelle聊天
[00:02:56.880 --> 00:02:58.880]  她說她有兩組SA
[00:02:58.880 --> 00:03:00.880]  SA 即是什麼?
[00:03:00.880 --> 00:03:02.880]  senior adult
[00:03:02.880 --> 00:03:04.880]  嘩 他們這麼快skip了young adult
