
[00:00:00.000 --> 00:00:04.820]  大英姐妹 在我們聽到之前 我們做一個禱告
[00:00:04.820 --> 00:00:09.080]  天父啊 我們多謝你 因為你的主權
[00:00:09.080 --> 00:00:14.560]  因為你的揀選 你給我們有份在你的計劃之內
[00:00:14.560 --> 00:00:19.280]  現在今天我們去思想你揀選的計劃的時候
[00:00:19.280 --> 00:00:22.800]  我們去到最終 我們都好像要保羅一樣
[00:00:22.800 --> 00:00:27.080]  來去讚嘆你豐富的智慧和知識
[00:00:27.080 --> 00:00:31.700]  你的判斷何其難測 你的終積何其難尋
[00:00:31.700 --> 00:00:35.340]  誰知道你的心 誰做過你的謀事
[00:00:35.340 --> 00:00:38.500]  誰先給了你 叫你後來償還
[00:00:38.500 --> 00:00:43.740]  因為一切都是本於你 依靠你 歸於你
[00:00:43.740 --> 00:00:45.740]  也是原榮要歸給你
[00:00:45.740 --> 00:00:49.860]  我們這樣禱告 奉耶穌基督的名祈求 阿們
[00:00:49.860 --> 00:00:53.060]  大英姐妹 正如之前說過
[00:00:53.060 --> 00:00:57.460]  《羅馬書》第九章第十一章是保羅去解釋
[00:00:57.460 --> 00:01:03.460]  神對於揀選和救贖計劃的心意
[00:01:03.460 --> 00:01:09.240]  而在第九章我們已經說過關於神的主權
[00:01:09.240 --> 00:01:16.180]  第十章我們也說過神揀選的原理是怎樣運作的
[00:01:16.180 --> 00:01:19.140]  今天我們就去到第十一章
[00:01:19.140 --> 00:01:22.780]  十一章也探討著一個很重要的問題
[00:01:22.780 --> 00:01:26.500]  就是以色列人的位置又是怎樣
[00:01:26.500 --> 00:01:30.300]  既然神在基督裏面揀選人的時候
[00:01:30.300 --> 00:01:34.780]  是不是去新約的時候就全部重新來過
[00:01:34.780 --> 00:01:38.860]  好像將舊約的完全都不需要理會
[00:01:38.860 --> 00:01:44.420]  而那些稱為神所揀選在舊約當中的以色列人
[00:01:44.420 --> 00:01:45.620]  神的選民
[00:01:45.620 --> 00:01:48.980]  今天在教會時代的時候
[00:01:48.980 --> 00:01:52.180]  他們也是有什麼位置呢?
[00:01:52.180 --> 00:01:56.300]  今天這一段經文就探討這個問題
[00:01:56.300 --> 00:01:59.580]  保羅在一開始的時候說
[00:01:59.580 --> 00:02:01.980]  「我且說神棄絕了他的百姓嗎?
[00:02:01.980 --> 00:02:02.940]  斷乎沒有
[00:02:02.940 --> 00:02:04.700]  因為我也是以色列人
