
[00:00:00.000 --> 00:00:03.200]  我非常感謝主讓我再次有機會來到大家當中
[00:00:03.200 --> 00:00:05.700]  跟大家分享上帝的話語
[00:00:05.700 --> 00:00:09.500]  當我收到那個邀請知道要讀什麼經文的時候
[00:00:09.500 --> 00:00:12.400]  其實我有少少困惑
[00:00:12.400 --> 00:00:13.900]  因為看完那幾段經文之後
[00:00:13.900 --> 00:00:17.100]  我引起我很多的問題
[00:00:17.100 --> 00:00:18.700]  今天幾段經文
[00:00:18.700 --> 00:00:20.400]  《新命記》
[00:00:20.400 --> 00:00:21.900]  《詩篇》和《雅各書》
[00:00:21.900 --> 00:00:24.300]  都非常強調我們要行道
[00:00:24.300 --> 00:00:26.400]  要遵守上帝的誡命
[00:00:26.400 --> 00:00:28.200]  特別有關我們愛在行為上面
[00:00:28.200 --> 00:00:31.900]  我們需要聖潔嚴守一切的律法
[00:00:31.900 --> 00:00:34.900]  但是在馬可福音那一段的經文裡面
[00:00:34.900 --> 00:00:37.000]  就反而提出一個問題
[00:00:37.000 --> 00:00:40.000]  當時提到有些法利賽人等等
[00:00:40.000 --> 00:00:41.400]  有些文士、宗教人士
[00:00:41.400 --> 00:00:43.200]  就批評主耶穌的門徒
[00:00:43.200 --> 00:00:47.200]  說他們沒有嚴格一種的方法來洗手
[00:00:47.200 --> 00:00:49.200]  具體地說就是
[00:00:49.200 --> 00:00:50.800]  看過一些考證
[00:00:50.800 --> 00:00:52.200]  就說他們的洗手方法
[00:00:52.200 --> 00:00:54.400]  都需要一些時間的
[00:00:54.400 --> 00:00:58.400]  大概跟醫護界建議我們
[00:00:58.400 --> 00:01:00.200]  洗手就要用皂液
[00:01:00.200 --> 00:01:02.000]  唱兩次Happy Birthday
[00:01:02.000 --> 00:01:03.400]  差不多時間
[00:01:03.400 --> 00:01:04.800]  因為大概就是
[00:01:04.800 --> 00:01:07.000]  水要由手合起掌
[00:01:07.000 --> 00:01:10.300]  然後水由指尖流到手腕的地方
[00:01:10.300 --> 00:01:11.500]  這樣才叫做一次
[00:01:11.500 --> 00:01:12.800]  要重複七次
[00:01:12.800 --> 00:01:15.000]  才開始去洗手
[00:01:15.000 --> 00:01:17.700]  大家都會覺得有點兒煩
[00:01:17.700 --> 00:01:23.400]  當時主耶穌的門徒就被這些人批評
[00:01:23.400 --> 00:01:26.600]  說為什麼你不按照這些嚴格的宗教規條
[00:01:26.600 --> 00:01:28.300]  來洗手
