
[00:00:00.000 --> 00:00:03.500]  今日想同大家來思想一個主題
[00:00:03.500 --> 00:00:05.500]  未來之江
[00:00:05.500 --> 00:00:08.800]  未來是怎樣產生呢
[00:00:08.800 --> 00:00:11.000]  好多時候的未來
[00:00:11.000 --> 00:00:14.200]  好重要是今日的決定
[00:00:14.200 --> 00:00:16.200]  今日的決定
[00:00:16.200 --> 00:00:18.200]  是影響著未來
[00:00:18.200 --> 00:00:21.700]  在1978年
[00:00:21.700 --> 00:00:25.700]  在美國大衛營裏面
[00:00:25.700 --> 00:00:28.500]  舉行了一個高峰會
[00:00:28.500 --> 00:00:31.500]  當年卡特總統
[00:00:31.500 --> 00:00:34.500]  邀請了當時
[00:00:34.500 --> 00:00:38.500]  埃及的總統
[00:00:38.500 --> 00:00:42.500]  薩達特和以色列的總理
[00:00:42.500 --> 00:00:44.000]  這個貝京
[00:00:44.000 --> 00:00:48.000]  來舉行一個和平的高峰會
[00:00:48.000 --> 00:00:51.500]  為何會有一個高峰會呢
[00:00:51.500 --> 00:00:54.500]  如果大家記得當時
[00:00:54.500 --> 00:00:57.000]  中東的局勢很緊張
[00:00:57.000 --> 00:01:01.000]  中東時時都有戰事
[00:01:01.000 --> 00:01:04.500]  在追溯到1967年
[00:01:04.500 --> 00:01:10.500]  中東的六日戰爭裏面
[00:01:10.500 --> 00:01:15.500]  以色列雖然是一個小國
[00:01:15.500 --> 00:01:20.500]  但是卻是佔領了埃及一大片的土地
[00:01:20.500 --> 00:01:22.500]  大家在地圖裏面
[00:01:22.500 --> 00:01:28.000]  西奈半島黑白間曉的那部分
[00:01:28.000 --> 00:01:31.500]  就是在這個六日裏面
[00:01:31.500 --> 00:01:35.500]  來佔領了這個領域
[00:01:35.500 --> 00:01:37.500]  換句話來說
[00:01:37.500 --> 00:01:41.500]  將埃及一個這麼大幅的土地
[00:01:41.500 --> 00:01:46.000]  來據為以色列的領土
[00:01:46.000 --> 00:01:48.000]  當然
[00:01:48.000 --> 00:01:52.500]  埃及當然不會來服氣
[00:01:52.500 --> 00:01:56.000]  所以在以後日子裏面
[00:01:56.000 --> 00:01:57.500]  以色列和埃及
[00:01:57.500 --> 00:02:01.500]  都是在戰爭的作戰的狀態裏面
[00:02:01.500 --> 00:02:05.500]  1978年美國來到
[00:02:05.500 --> 00:02:08.000]  將兩個元首
[00:02:08.000 --> 00:02:10.500]  來邀請到大衛陵
[00:02:10.500 --> 00:02:13.500]  舉行一個和平的會議
[00:02:13.500 --> 00:02:15.500]  談了十天
[00:02:15.500 --> 00:02:17.000]  都談不妥
[00:02:17.000 --> 00:02:19.000]  還有總理
[00:02:19.000 --> 00:02:20.500]  這個以色列的總理
[00:02:20.500 --> 00:02:24.500]  貝京都準備執包袱離開
[00:02:24.500 --> 00:02:26.000]  在離開之前
[00:02:26.000 --> 00:02:28.500]  卡特總統就送了
[00:02:28.500 --> 00:02:32.000]  當時他們在大衛陵裏面
[00:02:32.000 --> 00:02:35.000]  所拍的八幅的照片
[00:02:35.000 --> 00:02:38.500]  他說貝京現在你準備離開了
[00:02:38.500 --> 00:02:41.500]  我就送這幾幅照片給你的孫子
[00:02:41.500 --> 00:02:43.000]  八位孫子
[00:02:43.000 --> 00:02:46.000]  以致他們能夠看到幾幅照片的時候
[00:02:46.000 --> 00:02:48.500]  就看到我們幾個人
[00:02:48.500 --> 00:02:50.500]  在這個大衛陵裏面
[00:02:50.500 --> 00:02:53.500]  所努力的一個成果
[00:02:53.500 --> 00:02:57.000]  這八幅的禮物
[00:02:57.000 --> 00:03:00.000]  這個照片給他的孫兒
[00:03:00.000 --> 00:03:05.000]  就令到貝京去想一想
[00:03:05.000 --> 00:03:10.500]  究竟我的孫兒
[00:03:10.500 --> 00:03:13.500]  他們的將來會是怎樣呢
[00:03:13.500 --> 00:03:16.500]  是繼續處於作戰的狀態
