
[00:00:00.000 --> 00:00:02.000]  菩薩師父讓我們先聽神的導議
[00:00:02.000 --> 00:00:03.200]  讓我們先同心地禱告
[00:00:03.200 --> 00:00:06.500]  聽到之前我們先同心地禱告
[00:00:06.500 --> 00:00:10.500]  菩薩多謝祢讓我們能夠再次回來
[00:00:10.500 --> 00:00:14.500]  在祢的帶領之下
[00:00:14.500 --> 00:00:18.000]  去明白祢如何藉著聖靈
[00:00:18.000 --> 00:00:20.500]  能夠引導昔日的門徒
[00:00:20.500 --> 00:00:22.000]  能夠繼續走在
[00:00:22.000 --> 00:00:24.000]  侍奉的道路上
[00:00:24.000 --> 00:00:27.500]  走在一條永神的事上
[00:00:27.500 --> 00:00:29.500]  求主祢與我們同在
[00:00:29.500 --> 00:00:32.500]  讓我們能夠真的藉著祢的話語
[00:00:32.500 --> 00:00:34.500]  藉著聖靈的引導
[00:00:34.500 --> 00:00:38.500]  將這些道理同樣刻骨銘心地
[00:00:38.500 --> 00:00:40.500]  藏在我們每一個信徒的生命當中
[00:00:40.500 --> 00:00:42.500]  發揮在我們每天
[00:00:42.500 --> 00:00:43.500]  每一日
[00:00:43.500 --> 00:00:46.500]  每一秒鐘裏面的生命
[00:00:46.500 --> 00:00:47.500]  求祢與我們同在
[00:00:47.500 --> 00:00:48.500]  我親愛的父神基辛利
[00:00:48.500 --> 00:00:51.500]  讓我們再次回到祢的話語
[00:00:51.500 --> 00:00:55.500]  藉著祢的話語當中
[00:00:55.500 --> 00:00:59.500]  陳述有關過去
[00:00:59.500 --> 00:01:02.500]  祢的靈怎麼樣帶領祢的門徒
[00:01:02.500 --> 00:01:04.500]  走在上帝祢的
[00:01:04.500 --> 00:01:06.500]  榮耀的道路當中
[00:01:06.500 --> 00:01:08.500]  求祢幫助
[00:01:08.500 --> 00:01:10.500]  讓今天我們同樣透過聖靈
[00:01:10.500 --> 00:01:12.500]  跟著祢的說話
[00:01:12.500 --> 00:01:16.500]  能夠使我們刻骨銘心地
[00:01:16.500 --> 00:01:18.500]  在我們生命當中
[00:01:18.500 --> 00:01:21.500]  每一天活出主祢的生命
[00:01:21.500 --> 00:01:23.500]  我們能夠在每一刻
[00:01:23.500 --> 00:01:26.500]  都能夠帶領更多人
[00:01:26.500 --> 00:01:27.500]  能夠讓他們明白到
[00:01:27.500 --> 00:01:29.500]  我們是怎麼一位
[00:01:29.500 --> 00:01:33.500]  隨著神祢的靈來活的基督徒
[00:01:33.500 --> 00:01:34.500]  屬神祢的子民
[00:01:34.500 --> 00:01:35.500]  我們禱告
[00:01:35.500 --> 00:01:37.500]  奉主耶穌的名臣
[00:01:37.500 --> 00:01:38.500]  阿們
[00:01:38.500 --> 00:01:41.500]  我們大約
[00:01:41.500 --> 00:01:42.500]  計到今天來計
[00:01:42.500 --> 00:01:45.500]  我信了主大約三十年左右
[00:01:45.500 --> 00:01:46.500]  到今天為止
[00:01:46.500 --> 00:01:48.500]  我大概信主有三十年
[00:01:48.500 --> 00:01:49.500]  也代表了
[00:01:49.500 --> 00:01:53.500]  侍奉了上主三十年
[00:01:53.500 --> 00:01:55.500]  也代表了侍奉了上主三十年
[00:01:55.500 --> 00:01:56.500]  在這三十年的
[00:01:56.500 --> 00:01:59.500]  基督徒的路程上面
[00:01:59.500 --> 00:02:01.500]  在這三十年的
[00:02:01.500 --> 00:02:04.500]  基督徒的路程當中
[00:02:04.500 --> 00:02:07.500]  見過很多不同類型的基督徒
[00:02:07.500 --> 00:02:09.500]  見過很多不同類型的基督徒
