
[00:00:00.000 --> 00:00:01.280]  各位大家好
[00:00:01.280 --> 00:00:02.640]  又讀聖經了
[00:00:02.640 --> 00:00:04.380]  《生命述書》的網絡
[00:00:04.380 --> 00:00:07.240]  聖經人聖經士又和大家見面
[00:00:07.240 --> 00:00:09.000]  今次仍然在講
[00:00:09.000 --> 00:00:13.820]  「思洗若寒,在主面前為大」
[00:00:13.820 --> 00:00:15.080]  「在主面前為大」
[00:00:15.080 --> 00:00:16.080]  這麼重要的?
[00:00:16.080 --> 00:00:19.360]  在主面前很大是什麼意思呢?
[00:00:19.360 --> 00:00:20.440]  留意一下
[00:00:20.440 --> 00:00:23.720]  《若露加福音》第一章十四十五字
[00:00:23.720 --> 00:00:26.440]  「你必歡喜快樂」
[00:00:26.440 --> 00:00:30.880]  「有許多人因祂出世也必喜樂」
[00:00:30.880 --> 00:00:34.800]  「祂在主面前將要為大」
[00:00:34.800 --> 00:00:38.700]  「探酒、籠酒都不渴」
[00:00:38.700 --> 00:00:43.080]  「從無福裡就被聖靈充滿了」
[00:00:43.080 --> 00:00:45.000]  這是在講什麼呢?
[00:00:45.000 --> 00:00:47.400]  是在講上次昨日
[00:00:47.400 --> 00:00:48.340]  不知道大家記不記得
[00:00:48.340 --> 00:00:52.120]  就是撒加里亞在聖所裡面
[00:00:52.120 --> 00:00:53.280]  祭司來的
[00:00:53.280 --> 00:00:56.840]  就在那裡公祭、敬拜、禱告
[00:00:56.840 --> 00:00:59.120]  剛剛抽籤就輪到他了
[00:00:59.120 --> 00:01:01.280]  這也是主的安排
[00:01:01.280 --> 00:01:03.240]  就是在祭簽的時候
[00:01:03.240 --> 00:01:06.640]  就輪到他是亞比亞班的一個祭司
[00:01:06.640 --> 00:01:11.400]  還要是每一班祭司都有一個時段要公祭
[00:01:11.400 --> 00:01:14.080]  每一班裡面有好幾位祭司
[00:01:14.080 --> 00:01:15.480]  那誰進去呢?
[00:01:15.480 --> 00:01:17.080]  不是全部進去的
[00:01:17.080 --> 00:01:18.760]  因為時間都很長的
[00:01:18.760 --> 00:01:19.840]  輪到他
[00:01:19.840 --> 00:01:20.560]  進去之後
[00:01:20.560 --> 00:01:22.840]  工作的那段時間就不出來了
[00:01:22.840 --> 00:01:23.600]  那這邊做什麼呢?
[00:01:23.600 --> 00:01:24.680]  很睏就睡一會兒
[00:01:24.680 --> 00:01:25.680]  那不行的
[00:01:25.680 --> 00:01:28.480]  要做那個燈台
[00:01:28.480 --> 00:01:30.520]  要看那些陳設餅
[00:01:30.520 --> 00:01:33.320]  就在那裡燒香祈禱
[00:01:33.320 --> 00:01:34.920]  要做這些事情的
[00:01:34.920 --> 00:01:38.920]  那上主就被他抽到進去
[00:01:38.920 --> 00:01:40.760]  進去的時候他就在工作
[00:01:40.760 --> 00:01:43.600]  突然間看到香壇旁邊有天使
[00:01:43.600 --> 00:01:45.120]  哎呀,大喜一驚
[00:01:45.120 --> 00:01:47.120]  而天使就跟他說不用怕
[00:01:47.120 --> 00:01:48.960]  然後他就說
[00:01:48.960 --> 00:01:51.360]  你會生一個兒子的
[00:01:51.360 --> 00:01:52.880]  生一個兒子?
[00:01:52.880 --> 00:01:53.480]  他就想
