
[00:00:00.000 --> 00:00:09.000]  我今天跟大家分享的就是關於一個題目叫《屬靈是沒有捷徑的》
[00:00:09.000 --> 00:00:13.000]  不如我們試試看經文好不好
[00:00:13.000 --> 00:00:16.000]  我們試試由十八字開始讀吧
[00:00:16.000 --> 00:00:18.000]  預備起
[00:00:18.000 --> 00:00:24.000]  西門看見使徒一按手就有聖靈賜下
[00:00:24.000 --> 00:00:27.000]  就拿錢給使徒說
[00:00:27.000 --> 00:00:33.000]  請把這權力使我手按著誰
[00:00:33.000 --> 00:00:36.000]  誰就可以領受聖靈
[00:00:36.000 --> 00:00:38.000]  彼得對他說
[00:00:38.000 --> 00:00:43.000]  你的銀子和你一同滅亡吧
[00:00:43.000 --> 00:00:47.000]  因此是可以用此買的
[00:00:47.000 --> 00:00:51.000]  你在這道上無分無關
[00:00:51.000 --> 00:00:56.000]  因為你在面前心懷不正
[00:00:56.000 --> 00:01:02.000]  你要為你求主
[00:01:02.000 --> 00:01:06.000]  或者你心裡的意念可得赦免
[00:01:06.000 --> 00:01:12.000]  我看出你正在負擔之中
[00:01:12.000 --> 00:01:15.000]  西門回答說
[00:01:15.000 --> 00:01:18.000]  請你們為我求主
[00:01:18.000 --> 00:01:24.000]  使你們說的沒有一藥臨到身上
[00:01:24.000 --> 00:01:31.000]  今天這個記載其實是一個小插曲
[00:01:31.000 --> 00:01:33.000]  發生在何時呢
[00:01:33.000 --> 00:01:38.000]  就是當耶路撒冷教會遭遇大逼迫
[00:01:38.000 --> 00:01:40.000]  大家有沒有印象
[00:01:40.000 --> 00:01:43.000]  門徒四散
[00:01:43.000 --> 00:01:46.000]  其中有一位叫肥利
[00:01:46.000 --> 00:01:50.000]  肥利按著聖靈的帶領
[00:01:50.000 --> 00:01:56.000]  進入一條邨莊是猶太人都不會去的
[00:01:56.000 --> 00:02:00.000]  那條叫撒瑪利亞的邨莊
[00:02:00.000 --> 00:02:05.000]  這個地方的人和猶太人都沒有甚麼來往
[00:02:05.000 --> 00:02:06.000]  為甚麼呢
[00:02:06.000 --> 00:02:08.000]  因為猶太人不喜歡他們
[00:02:08.000 --> 00:02:13.000]  覺得他們不是純種的猶太人
[00:02:13.000 --> 00:02:14.000]  大家明白這個意思吧
[00:02:14.000 --> 00:02:21.000]  所以他們覺得這個地方充滿著混雜罪惡的地方
[00:02:21.000 --> 00:02:23.000]  他們不會進入這座城
[00:02:23.000 --> 00:02:27.000]  也不會經過撒瑪利亞
[00:02:27.000 --> 00:02:30.000]  如果真的要由南至北
[00:02:30.000 --> 00:02:32.000]  由北到南
[00:02:32.000 --> 00:02:33.000]  他們寧願什麼呢
[00:02:33.000 --> 00:02:35.000]  「兜路行」你明白我的意思嗎
[00:02:35.000 --> 00:02:38.000]  都不進入這個邨莊
[00:02:38.000 --> 00:02:43.000]  所以這次肥利進入撒瑪利亞城
[00:02:43.000 --> 00:02:44.000]  我想告訴大家
[00:02:44.000 --> 00:02:49.000]  是一個很大的突破
[00:02:49.000 --> 00:02:53.000]  但基於聖靈的引導
[00:02:53.000 --> 00:02:57.000]  相原之聖靈的引導非常重要
[00:02:57.000 --> 00:02:59.000]  當聖靈感動你的心
