
[00:00:00.000 --> 00:00:04.480]  如果大家記得前面的一些脈絡
[00:00:04.480 --> 00:00:10.400]  這個創世記,我們有個名稱叫做《墮落救贖三部曲》
[00:00:10.400 --> 00:00:14.460]  接著去創世記《埃及記》的時候
[00:00:14.460 --> 00:00:20.120]  其實大體的主題就是《偶像之家》《逃生記》
[00:00:20.120 --> 00:00:23.480]  我們那時候特別是講十災
[00:00:23.480 --> 00:00:28.680]  就是要粉碎埃及這個《偶像之家》
[00:00:28.680 --> 00:00:32.320]  去到第三講這個《利美記》的時候
[00:00:32.320 --> 00:00:35.080]  我很強調上帝的聖潔
[00:00:35.080 --> 00:00:39.040]  那個題目叫做聖潔君王的保衛者
[00:00:39.040 --> 00:00:41.040]  利美人究竟是做些什麼的呢?
[00:00:41.040 --> 00:00:44.000]  他其實是保護上帝的聖潔
[00:00:44.000 --> 00:00:45.640]  上帝聖潔不可侵
[00:00:45.640 --> 00:00:48.840]  也都是因為要守住上帝的聖潔
[00:00:48.840 --> 00:00:52.440]  也都是保護到上帝的子民
[00:00:52.440 --> 00:00:57.960]  因為如果不是,上帝的憤怒會在子民中燃燒
[00:00:57.960 --> 00:01:00.240]  所以為什麼利美記重要
[00:01:00.240 --> 00:01:02.800]  希望大家星期六的時候
[00:01:02.800 --> 00:01:05.920]  有更多時間和大家一起分享這個
[00:01:05.920 --> 00:01:08.920]  再下一次,下個月
[00:01:08.920 --> 00:01:11.760]  12月的時候我們要看的就是《文掃記》
[00:01:11.760 --> 00:01:16.840]  《文掃記》就是你可以說它破碎了利美記
[00:01:16.840 --> 00:01:20.460]  因為《文掃記》就是講到它的不勝劫
[00:01:20.460 --> 00:01:24.040]  這個曠野中的大叛逆
[00:01:24.040 --> 00:01:28.120]  去到再下面的明年
[00:01:28.120 --> 00:01:31.320]  我們就會講這個《生命記》
[00:01:31.320 --> 00:01:34.320]  《生命記》就是講到摩西
[00:01:34.320 --> 00:01:39.680]  就是在摩亞平原最後的一些廣章
[00:01:39.680 --> 00:01:43.040]  摩西自己進不了那個認許之地
[00:01:43.040 --> 00:01:44.760]  但是他在認許之地的時候
[00:01:44.760 --> 00:01:46.520]  他已經過了40年了
[00:01:46.520 --> 00:01:50.920]  中間的人除了基勒和約書亞之外
[00:01:50.920 --> 00:01:55.680]  第一代以色列人都無法進入這個聖地
[00:01:55.680 --> 00:02:00.200]  於是摩西就是在挑戰第二代
[00:02:00.200 --> 00:02:05.360]  要進入這個聖地、認許之地的人
[00:02:05.360 --> 00:02:12.520]  他們應該怎麼樣去面對當地的偶像的挑戰
[00:02:12.520 --> 00:02:17.760]  那個題目就叫做「心受割禮,心呆住」
[00:02:17.760 --> 00:02:22.760]  「心要受割禮」這個成爲一個很主要的主題
[00:02:22.760 --> 00:02:25.280]  在《新約聖經》裏面都會再次出來
[00:02:25.280 --> 00:02:27.000]  就是你的心要受割禮
[00:02:27.000 --> 00:02:30.040]  不是單單是肉體受割禮
[00:02:30.040 --> 00:02:32.760]  今天我們這個禮拜
[00:02:32.760 --> 00:02:36.120]  上個禮拜五都已經開始講這個約書亞記了
[00:02:36.120 --> 00:02:39.440]  今天如果你收到的時候就是8號
[00:02:39.440 --> 00:02:44.680]  你應該是在讀完約書亞記中部的13至14章
[00:02:44.680 --> 00:02:46.680]  明天應該繼續15、16章
[00:02:46.680 --> 00:02:52.240]  我們下個禮拜回來仍然有機會再看多一點約書亞記
[00:02:52.240 --> 00:02:54.920]  我就預了下個禮拜二左右
[00:02:54.920 --> 00:02:57.760]  我會講最後約書亞記的Closing
[00:02:57.760 --> 00:03:01.760]  就是約書亞至於我和我家
[00:03:01.760 --> 00:03:05.440]  就是我們必定會侍奉主的
[00:03:05.440 --> 00:03:11.200]  今天我就想用這個時候就和大家講一講
[00:03:11.200 --> 00:03:14.240]  約書亞記其中一個都挺有名的題目
[00:03:14.240 --> 00:03:19.760]  就是拉合,我叫它做拉合的便捷
[00:03:19.760 --> 00:03:21.120]  其實是講拉合信心
[00:03:21.120 --> 00:03:29.280]  不過便捷就令人更加可以掌握到他的信心的重要性
[00:03:29.280 --> 00:03:33.000]  如果我們講一點約書亞記的大綱
[00:03:33.000 --> 00:03:36.600]  通常神學家都告訴你約書亞記的大綱其實很簡單
[00:03:36.600 --> 00:03:38.320]  它分為四部份
[00:03:38.320 --> 00:03:41.400]  有些是希伯來文的根據
[00:03:41.400 --> 00:03:49.880]  每一段都是一個有一點點相似的希伯來文的字眼出來
[00:03:49.880 --> 00:03:54.160]  我想以後我們講到約書亞記的時候我才會再講
[00:03:54.160 --> 00:03:57.800]  就是1至5章、6至12章、13至22章
[00:03:57.800 --> 00:04:01.280]  最後就是23至24章,就是四部份
[00:04:01.280 --> 00:04:04.480]  第一部份就是講約書亞帶領以色列人
[00:04:04.480 --> 00:04:06.360]  就是他承繼了摩西
[00:04:06.360 --> 00:04:10.920]  你會發現當中會講到約書亞是一個新的摩西
[00:04:10.920 --> 00:04:14.960]  包括他過約旦河、過紅海
[00:04:14.960 --> 00:04:19.280]  接著他又再派探子去迦南等等
[00:04:19.280 --> 00:04:24.120]  都是好像重演當年摩西的一些片段
[00:04:24.120 --> 00:04:28.640]  第6章到第12章就是他們要征戰
[00:04:28.640 --> 00:04:32.240]  開始攻進去應許之地
[00:04:32.240 --> 00:04:37.240]  當然有些很重要或者很熟悉的一些征戰
[00:04:37.240 --> 00:04:41.800]  譬如說耶利哥城,接著後面也有一個
[00:04:41.800 --> 00:04:47.280]  這個是成功的,後面也有一個失敗的例子就是艾城
