
[00:00:00.000 --> 00:00:06.000]  多謝您的恩典,讓我們在美好的清晨可以一同來這裡聚集敬拜您
[00:00:06.000 --> 00:00:09.000]  我們求您的聖靈在我們當中運行
[00:00:09.000 --> 00:00:13.000]  幫助我們從保羅的信心來學習
[00:00:13.000 --> 00:00:17.000]  怎樣做一個成熟的基督徒跟隨您
[00:00:17.000 --> 00:00:19.000]  求主的聖靈與我們同在
[00:00:19.000 --> 00:00:22.000]  奉耶穌基督的名,祈禱阿門
[00:00:25.000 --> 00:00:32.000]  我們已經看了很多位聖經裡記載過的信心人物
[00:00:32.000 --> 00:00:35.000]  在新約裡面我們也看了五位
[00:00:35.000 --> 00:00:37.000]  包括三位使徒
[00:00:37.000 --> 00:00:40.000]  彼得、馬太和約翰
[00:00:40.000 --> 00:00:44.000]  也看了兩位早期教會的領袖
[00:00:44.000 --> 00:00:46.000]  巴拿巴和斯提反
[00:00:46.000 --> 00:00:49.000]  今天我們要看最後一位
[00:00:49.000 --> 00:00:52.000]  我們這個系列裡面最後一位
[00:00:52.000 --> 00:00:56.000]  教會有非常重要影響的人物
[00:00:56.000 --> 00:00:58.000]  就是保羅
[00:00:58.000 --> 00:01:01.000]  在新約聖經裡面
[00:01:01.000 --> 00:01:04.000]  有差不多四分一的書卷
[00:01:04.000 --> 00:01:06.000]  都是保羅寫的
[00:01:06.000 --> 00:01:09.000]  他是一位宣教師
[00:01:09.000 --> 00:01:15.000]  是第一位將福音帶到歐洲的使徒
[00:01:15.000 --> 00:01:18.000]  聖經裡面也有很多
[00:01:18.000 --> 00:01:23.000]  關於他生平背景、信主的經過
[00:01:23.000 --> 00:01:27.000]  以及他到處傳福音的事蹟
[00:01:27.000 --> 00:01:33.000]  今天我選的經文可以說是他個人的表白
[00:01:33.000 --> 00:01:36.000]  他告訴我們他的志向
[00:01:36.000 --> 00:01:39.000]  他所做的事、他的動機
[00:01:39.000 --> 00:01:46.000]  他是一位非常值得我們努力效法的聖經人物
[00:01:46.000 --> 00:01:50.000]  我自己也經常鼓勵他的信徒
[00:01:50.000 --> 00:01:53.000]  其他會友去效法他
[00:01:53.000 --> 00:01:56.000]  在未看今天的經文之前
[00:01:56.000 --> 00:02:00.000]  我想先簡單介紹一下他的背景
[00:02:00.000 --> 00:02:03.000]  在肥勒比書三章五節
[00:02:03.000 --> 00:02:05.000]  保羅說
[00:02:05.000 --> 00:02:08.000]  我出生第八天就受割禮
[00:02:08.000 --> 00:02:11.000]  我生來就是以色列人
[00:02:11.000 --> 00:02:14.000]  屬於變雅敏之派
[00:02:14.000 --> 00:02:19.000]  是血統純正的希伯來人
[00:02:19.000 --> 00:02:24.000]  就遵守猶太教規則一點說
[00:02:24.000 --> 00:02:28.000]  我屬於法尼塞派
[00:02:28.000 --> 00:02:31.000]  對以色列人來說
[00:02:31.000 --> 00:02:36.000]  血統純正是他們引以為榮的事
[00:02:36.000 --> 00:02:41.000]  聖經裡面記載猶太人是看不起撒瑪利亞人
[00:02:41.000 --> 00:02:43.000]  原因是什麼呢?
[00:02:43.000 --> 00:02:46.000]  因為撒瑪利亞人本來都是以色列人
[00:02:46.000 --> 00:02:50.000]  但是他們和一些異族人結婚
[00:02:50.000 --> 00:02:55.000]  他們就失去了純正的猶太人血統
[00:02:55.000 --> 00:03:01.000]  而變雅敏之派在以色列的十二個支族裡面
[00:03:01.000 --> 00:03:03.000]  雖然人口不是最多
[00:03:03.000 --> 00:03:05.000]  甚至乎可能是最少
[00:03:05.000 --> 00:03:10.000]  但是以色列人從事司時代
[00:03:10.000 --> 00:03:13.000]  事司或者法官的制度
[00:03:13.000 --> 00:03:17.000]  改變為一個王國制的時候
[00:03:17.000 --> 00:03:20.000]  第一位的皇帝
[00:03:20.000 --> 00:03:26.000]  就是來自變雅敏之族的素羅
[00:03:26.000 --> 00:03:30.000]  因此變雅敏之族的人
[00:03:30.000 --> 00:03:36.000]  都一定會以他們身為變雅敏之族的人為榮
[00:03:36.000 --> 00:03:40.000]  最後保羅說他是法理賽派的人
[00:03:40.000 --> 00:03:47.000]  法理賽派除了在宗教上是很嚴謹的
[00:03:47.000 --> 00:03:50.000]  遵守摩西的律法之外
[00:03:50.000 --> 00:03:56.000]  也是第一世紀的時候在政治上很有影響力的人
[00:03:56.000 --> 00:04:01.000]  在社會上也受到一般人民的尊敬
[00:04:01.000 --> 00:04:05.000]  所以從保羅的家庭背景
[00:04:05.000 --> 00:04:09.000]  和所受到的宗教教育看起來
[00:04:09.000 --> 00:04:15.000]  他是一位很有前途的上流社會的人士
[00:04:15.000 --> 00:04:18.000]  但是他的人生
[00:04:18.000 --> 00:04:23.000]  他是被耶穌完全改變了
[00:04:23.000 --> 00:04:26.000]  我們現在很快地看一看
[00:04:26.000 --> 00:04:30.000]  他生命中的一個特殊的日子
