
[00:00:00.000 --> 00:00:07.000]  有我們再次一起低頭的祈禱
[00:00:07.000 --> 00:00:10.000]  親愛的主我們感謝祢
[00:00:10.000 --> 00:00:11.000]  是祢的恩賜
[00:00:11.000 --> 00:00:18.000]  有我們能夠聚首在聖殿中一起去敬拜
[00:00:18.000 --> 00:00:22.000]  主求祢的聖靈時刻與我們同在
[00:00:22.000 --> 00:00:24.000]  開我們的眼睛 開我們的心跳
[00:00:24.000 --> 00:00:26.000]  讓我們能夠明白
[00:00:26.000 --> 00:00:30.000]  祢話語中的奧秘和豐富
[00:00:30.000 --> 00:00:32.000]  也讓祢的話語來滋潤我們的心靈
[00:00:32.000 --> 00:00:35.000]  成為我們生命的力量 動力
[00:00:35.000 --> 00:00:40.000]  以上我們懂得如何行走每一天的路程和方向
[00:00:40.000 --> 00:00:44.000]  有願講的和聽的都同望祢的月亮
[00:00:44.000 --> 00:00:46.000]  祈禱奉主耶穌基督的名求
[00:00:46.000 --> 00:00:49.000]  阿門
[00:00:49.000 --> 00:00:55.000]  今天跟大家分享的題目叫做「單純的信心」
[00:00:55.000 --> 00:00:59.000]  經文剛才黃國麒唐偉跟我們讀出
[00:00:59.000 --> 00:01:01.000]  是《路加福音》
[00:01:01.000 --> 00:01:08.000]  可能這個故事大家都很熟悉
[00:01:08.000 --> 00:01:13.000]  今天想藉著這段經文給我們一些新的體驗
[00:01:13.000 --> 00:01:16.000]  經文一開始就說耶穌對百姓
[00:01:16.000 --> 00:01:19.000]  講完這一切的說話就進入了加拔浪
[00:01:19.000 --> 00:01:20.000]  講些什麼呢
[00:01:20.000 --> 00:01:23.000]  其實大家可以在《路加福音》第六章
[00:01:23.000 --> 00:01:29.000]  去看耶穌對這群群眾講了什麼話
[00:01:29.000 --> 00:01:34.000]  然後聖經描述有一位白夫長
[00:01:34.000 --> 00:01:37.000]  白夫長的稱號原本是指
[00:01:37.000 --> 00:01:42.000]  統管一百名士兵的羅馬軍官
[00:01:42.000 --> 00:01:45.000]  不過這位應該是分封王
[00:01:45.000 --> 00:01:50.000]  希律安提柏軍隊裡一個外籍的長官
[00:01:50.000 --> 00:01:53.000]  即是說他不是猶太人
[00:01:53.000 --> 00:01:56.000]  而是管轄猶太人的一個軍官
[00:01:56.000 --> 00:01:59.000]  白夫長還用了一個僕人去病了
[00:01:59.000 --> 00:02:01.000]  而且不是普通的病
[00:02:01.000 --> 00:02:03.000]  應該就快不行了
[00:02:03.000 --> 00:02:05.000]  他聽聞有關耶穌的事蹟
[00:02:05.000 --> 00:02:09.000]  相信是《路加福音》第七章的以前
[00:02:09.000 --> 00:02:12.000]  所記載有關耶穌治病的事情
[00:02:12.000 --> 00:02:15.000]  包括在四章三十九節
[00:02:15.000 --> 00:02:19.000]  彼得的岳母她發高燒病了
[00:02:19.000 --> 00:02:22.000]  耶穌譏責這個高燒病就退了
[00:02:22.000 --> 00:02:24.000]  另外在五章十三節說
[00:02:24.000 --> 00:02:27.000]  遇見一個麻風病人
[00:02:27.000 --> 00:02:29.000]  耶穌伸手摸她說
[00:02:29.000 --> 00:02:32.000]  「我肯,你潔淨」
[00:02:32.000 --> 00:02:36.000]  於是麻風病就離開了這個病人
[00:02:36.000 --> 00:02:38.000]  在五章二十四至二十五節
[00:02:38.000 --> 00:02:40.000]  另有一個坦子
[00:02:40.000 --> 00:02:43.000]  他的朋友將他從屋頂掉下來
[00:02:43.000 --> 00:02:45.000]  來到耶穌的面前
[00:02:45.000 --> 00:02:46.000]  耶穌對坦子說
[00:02:46.000 --> 00:02:49.000]  「我吩咐你,起來」
[00:02:49.000 --> 00:02:53.000]  「拿你的玉子,扔你的床褥回家」
[00:02:53.000 --> 00:02:56.000]  那個人立刻當著眾人的面前
[00:02:56.000 --> 00:02:58.000]  起了身
[00:02:58.000 --> 00:03:02.000]  還將他剛剛躺著的床褥拿走
[00:03:02.000 --> 00:03:04.000]  在六章十節
[00:03:04.000 --> 00:03:05.000]  在那四天
[00:03:05.000 --> 00:03:08.000]  耶穌遇到一個右手枯萎的人
[00:03:08.000 --> 00:03:10.000]  如果你種過花草就知道
[00:03:10.000 --> 00:03:12.000]  枯萎是什麼樣子
[00:03:12.000 --> 00:03:14.000]  但是耶穌對著那個人說
[00:03:14.000 --> 00:03:16.000]  「我伸出你的手來」
[00:03:16.000 --> 00:03:17.000]  這個人就要做
[00:03:17.000 --> 00:03:20.000]  他的手就復原了
[00:03:20.000 --> 00:03:21.000]  這個白夫長
[00:03:21.000 --> 00:03:24.000]  不知道是否聽聞了這些事蹟
[00:03:24.000 --> 00:03:26.000]  耶穌治病的事蹟
[00:03:26.000 --> 00:03:28.000]  於是白夫長就託幾個長老
[00:03:28.000 --> 00:03:32.000]  這些長老也是當時猶太人的鄉紳
[00:03:32.000 --> 00:03:36.000]  有名望的領袖去求耶穌救他的僕人
[00:03:36.000 --> 00:03:38.000]  聖經說
[00:03:38.000 --> 00:03:42.000]  這些長老是切切地去求耶穌
[00:03:42.000 --> 00:03:44.000]  聖經延遲就說
[00:03:44.000 --> 00:03:46.000]  這位白夫長為人很值得
[00:03:46.000 --> 00:03:48.000]  耶穌你去幫他
[00:03:48.000 --> 00:03:50.000]  雖然他是一個外人
[00:03:50.000 --> 00:03:52.000]  是一個外邦人
[00:03:52.000 --> 00:03:55.000]  不過他很愛我們的百姓
[00:03:55.000 --> 00:03:57.000]  雖然他是一個長官
[00:03:57.000 --> 00:03:59.000]  他為人民的需要去努力
[00:03:59.000 --> 00:04:01.000]  我們猶太人建造會堂
[00:04:01.000 --> 00:04:05.000]  讓我們可以一起祈禱聚集的地方
[00:04:05.000 --> 00:04:09.000]  聖經說耶穌就和這班長老出發
[00:04:09.000 --> 00:04:13.000]  阿算去到白夫長家裡去治好他的僕人
[00:04:13.000 --> 00:04:16.000]  誰知就快去到門口了
[00:04:16.000 --> 00:04:18.000]  白夫長又打發人來
[00:04:18.000 --> 00:04:20.000]  跟耶穌說
[00:04:20.000 --> 00:04:23.000]  不要勞煩耶穌去到他家裡
[00:04:23.000 --> 00:04:25.000]  他實在不敢當
[00:04:25.000 --> 00:04:28.000]  他覺得自己不配去見耶穌
[00:04:28.000 --> 00:04:33.000]  所以就拜託長老向耶穌求情
[00:04:33.000 --> 00:04:35.000]  當初我看這段經文的時候
[00:04:35.000 --> 00:04:39.000]  看到這裡有些很奇怪的感覺
[00:04:39.000 --> 00:04:41.000]  長老覺得
[00:04:41.000 --> 00:04:43.000]  白夫長為人很值得
[00:04:43.000 --> 00:04:45.000]  他配得耶穌去幫他
[00:04:45.000 --> 00:04:49.000]  但是白夫長就覺得自己不配
[00:04:49.000 --> 00:04:52.000]  不配去給耶穌接見
[00:04:52.000 --> 00:04:56.000]  以及不配耶穌書專降貴來到他家裡
[00:04:56.000 --> 00:04:58.000]  我在想
[00:04:58.000 --> 00:05:02.000]  不走都已經快來到門口了
[00:05:02.000 --> 00:05:05.000]  不讓耶穌進屋就更不禮貌
[00:05:05.000 --> 00:05:07.000]  他不親自來見耶穌
[00:05:07.000 --> 00:05:11.000]  在我們現在的社會是沒有誠意的
[00:05:11.000 --> 00:05:14.000]  真的看到我的糊塗
[00:05:14.000 --> 00:05:18.000]  於是上帝讓我遇到這本《釋經》書
[00:05:18.000 --> 00:05:20.000]  在學者的解釋裡就明白
[00:05:20.000 --> 00:05:22.000]  當時的時代背景
[00:05:22.000 --> 00:05:24.000]  和現在真的很不同
[00:05:24.000 --> 00:05:25.000]  難怪不明白
[00:05:25.000 --> 00:05:28.000]  原來猶太人不是那麼輕易
[00:05:28.000 --> 00:05:32.000]  去進一些外邦人、外籍人士的家
[00:05:32.000 --> 00:05:37.000]  因為他們看這些外邦人是不潔的
[00:05:37.000 --> 00:05:40.000]  當猶太人進了他們這些外邦人的家
[00:05:40.000 --> 00:05:43.000]  只會將自己弄得不潔淨
[00:05:43.000 --> 00:05:46.000]  要行一番潔淨的禮儀
[00:05:46.000 --> 00:05:49.000]  才可以弄乾淨自己
[00:05:49.000 --> 00:05:51.000]  這個讓我看到
[00:05:51.000 --> 00:05:52.000]  白夫人除了細心
[00:05:52.000 --> 00:05:56.000]  她更加是一位不擔顧自己的事的人
[00:05:56.000 --> 00:05:59.000]  她尊重猶太人的傳統風俗
[00:05:59.000 --> 00:06:01.000]  雖然情況很緊急
[00:06:01.000 --> 00:06:03.000]  她本人快要死了
[00:06:03.000 --> 00:06:04.000]  但她也不想為耶穌
[00:06:04.000 --> 00:06:07.000]  以及其他猶太的長老帶來不便
[00:06:07.000 --> 00:06:10.000]  不想他們因為進了自己的家
[00:06:10.000 --> 00:06:13.000]  而弄得在禮儀上不潔淨
[00:06:13.000 --> 00:06:15.000]  不過不進屋
[00:06:15.000 --> 00:06:17.000]  那怎麼治病呢?
[00:06:17.000 --> 00:06:19.000]  是不是很像
[00:06:19.000 --> 00:06:22.000]  我以前小時候看的那些長片
[00:06:22.000 --> 00:06:28.000]  公主、妃嬪、皇后有病的時候
[00:06:28.000 --> 00:06:31.000]  他們是怎麼看病的呢?
[00:06:31.000 --> 00:06:34.000]  有條線綁著一隻手
[00:06:34.000 --> 00:06:36.000]  然後拉得很遠
[00:06:36.000 --> 00:06:41.000]  那個御醫就在那條線上把脈
[00:06:41.000 --> 00:06:45.000]  我小時候當然相信
[00:06:45.000 --> 00:06:47.000]  然後問那些中醫
[00:06:47.000 --> 00:06:49.000]  原來是演戲的
[00:06:49.000 --> 00:06:50.000]  怎麼看醫生呢?
[00:06:50.000 --> 00:06:54.000]  不進屋怎麼看醫生呢?
[00:06:54.000 --> 00:07:01.000]  記得剛才我所說的
[00:07:01.000 --> 00:07:02.000]  那幾個醫病
[00:07:02.000 --> 00:07:05.000]  耶穌醫病的情況嗎?
[00:07:05.000 --> 00:07:08.000]  耶穌斥責高燒
[00:07:08.000 --> 00:07:10.000]  燒就退了
