
[00:00:00.000 --> 00:00:03.920]  我今天講到傳道書下集
[00:00:03.920 --> 00:00:07.160]  問題是上集沒有跟大家講過
[00:00:07.160 --> 00:00:10.840]  上集是在去年東涌堂講了上集
[00:00:10.840 --> 00:00:12.360]  今次講下集
[00:00:12.360 --> 00:00:15.360]  因此我要在前面的時間
[00:00:15.360 --> 00:00:17.360]  先做一個總結
[00:00:17.360 --> 00:00:19.360]  先講上集是甚麼東西
[00:00:19.360 --> 00:00:21.000]  才開始講到
[00:00:21.000 --> 00:00:23.680]  看到的PowerPoint是兩套
[00:00:23.680 --> 00:00:25.880]  一套是橙色底的
[00:00:25.880 --> 00:00:27.600]  碳石計劃的世界
[00:00:27.600 --> 00:00:29.600]  第二套可以是下一章
[00:00:29.600 --> 00:00:30.920]  是綠色底的
[00:00:30.920 --> 00:00:33.240]  字的方向不同,底也不同
[00:00:33.240 --> 00:00:36.320]  不是做錯了,PowerPoint不改
[00:00:36.320 --> 00:00:38.960]  而是綠色底是上集的東西
[00:00:38.960 --> 00:00:42.000]  看到的是上回的分解
[00:00:42.000 --> 00:00:45.280]  到橙色才是今天晚上有的,行嗎?
[00:00:45.280 --> 00:00:48.240]  因此我會很快跟大家
[00:00:48.240 --> 00:00:52.040]  小小看回上集講過的背景
[00:00:52.040 --> 00:00:53.640]  一些重點
[00:00:53.640 --> 00:00:57.040]  讓大家更加明白今天晚上我所講的東西
[00:00:57.040 --> 00:01:01.120]  首先傳道書是聖經當中一卷書
[00:01:01.120 --> 00:01:02.120]  智慧文學
[00:01:02.120 --> 00:01:04.960]  一般相信作者是索羅門王
[00:01:04.960 --> 00:01:06.560]  大家知道他是誰
[00:01:06.560 --> 00:01:10.480]  是建造聖殿很有錢很有智慧的皇帝
[00:01:10.480 --> 00:01:13.680]  是創造神學,不是救贖神學
[00:01:13.680 --> 00:01:17.760]  因此整本傳道書很少講救恩
[00:01:17.760 --> 00:01:21.000]  很少說信耶穌,信主得救,不見不滯
[00:01:21.000 --> 00:01:24.680]  是講沙又如何,風又如何,水又如何
[00:01:24.680 --> 00:01:27.240]  大家看守舊魂,是講什麼呢?
[00:01:27.240 --> 00:01:30.040]  是講創造,不是救贖
[00:01:30.040 --> 00:01:31.520]  兩者有什麼不同呢?
[00:01:31.520 --> 00:01:35.880]  救贖神學一般來說是講神啟示一個人
[00:01:35.880 --> 00:01:38.360]  跟他講一句話才一樣
[00:01:38.360 --> 00:01:41.480]  是說你,保羅,你,誰誰
[00:01:41.480 --> 00:01:42.840]  跟我寫這句話
[00:01:42.840 --> 00:01:46.080]  是得到直接啟示,是出現聖經
[00:01:46.080 --> 00:01:48.760]  而創造神學是講一些智者
[00:01:48.760 --> 00:01:51.920]  活了一把年紀,好像你的長老一樣
[00:01:51.920 --> 00:01:55.640]  見得世事多,食鹽多過你食米
[00:01:55.640 --> 00:02:00.400]  有時在樹下跟年輕人說
[00:02:00.400 --> 00:02:02.400]  可以逐一說
[00:02:02.400 --> 00:02:06.280]  可以有些說話是說
[00:02:06.280 --> 00:02:10.080]  老人家在榕樹頭跟小孩說
[00:02:10.080 --> 00:02:13.040]  我告訴你這樣這樣
[00:02:13.040 --> 00:02:14.680]  那些是人生智慧
[00:02:14.680 --> 00:02:18.160]  但不等於不是神的話,行嗎?
[00:02:18.160 --> 00:02:21.040]  是神藉著人們活了這麼多年
[00:02:21.040 --> 00:02:24.520]  生命的啟示,因此擺在聖經當中
[00:02:24.520 --> 00:02:25.960]  托若是神的啟示
[00:02:25.960 --> 00:02:29.760]  不過是用不同的方法去傳遞啟示
[00:02:29.760 --> 00:02:32.960]  因此我們大家習慣了看救贖神學
