
[00:00:00.000 --> 00:00:03.480]  如果你信了耶穌好一段日子
[00:00:03.480 --> 00:00:06.720]  我想你也看了《約翰福音》
[00:00:06.720 --> 00:00:09.400]  施洗約翰應該對你
[00:00:09.400 --> 00:00:11.640]  也不會陌生他這個人物
[00:00:11.640 --> 00:00:13.800]  在主耶穌在世的服事裏面
[00:00:13.800 --> 00:00:15.800]  他是一個很重要的人物
[00:00:15.800 --> 00:00:19.200]  因爲他出場 纔到耶穌出場
[00:00:19.200 --> 00:00:22.600]  他和耶穌的關係是怎樣呢?
[00:00:22.600 --> 00:00:25.800]  考考大家 看你知不知道這個資訊
[00:00:25.800 --> 00:00:29.920]  你覺得耶穌大一點 還是施洗約翰大一點呢?
[00:00:29.920 --> 00:00:33.600]  哇 原來大家是讀一下聖經的
[00:00:33.600 --> 00:00:35.120]  大多少呢?
[00:00:35.120 --> 00:00:37.600]  他們兩個相差多遠呢?
[00:00:37.600 --> 00:00:38.720]  知道嗎?
[00:00:38.720 --> 00:00:41.200]  這些就少一點聲了
[00:00:41.200 --> 00:00:43.200]  半歲 六個月
[00:00:43.200 --> 00:00:45.200]  誰大一點? 約翰大一點
[00:00:45.200 --> 00:00:47.200]  所以施洗約翰大耶穌半歲
[00:00:47.200 --> 00:00:49.200]  他是他的表哥
[00:00:49.200 --> 00:00:50.200]  施洗約翰是他的表哥
[00:00:50.200 --> 00:00:54.600]  他一生都配合我們的主題
[00:00:54.600 --> 00:00:56.600]  興起 發光
[00:00:56.600 --> 00:00:57.600]  你說是不是呢?
[00:00:57.600 --> 00:00:59.600]  一會兒我就和大家看了
[00:00:59.600 --> 00:01:01.600]  所以今天我給了一個題目
[00:01:01.600 --> 00:01:04.600]  叫做照命 預備 滿足
[00:01:04.600 --> 00:01:06.600]  就在這三方面
[00:01:06.600 --> 00:01:08.600]  施洗約翰的照命是怎樣呢?
[00:01:08.600 --> 00:01:11.600]  他怎樣被神呼召 被神興起呢?
[00:01:11.600 --> 00:01:13.600]  以至他怎樣預備自己
[00:01:13.600 --> 00:01:18.600]  在他如何成爲主耶穌的先鋒
[00:01:18.600 --> 00:01:21.600]  爲主做見證 如何發光呢?
[00:01:21.600 --> 00:01:24.600]  跟着他最後一句話
[00:01:24.600 --> 00:01:28.600]  他必興旺 我必衰微
[00:01:28.600 --> 00:01:32.600]  但他仍然爲主興起 發光
[00:01:32.600 --> 00:01:35.600]  就讓我們今天差不多接近
[00:01:35.600 --> 00:01:38.600]  看施洗約翰的一生
[00:01:38.600 --> 00:01:40.600]  看一生就是很多經文
[00:01:40.600 --> 00:01:43.600]  大家預備好了嗎?
[00:01:43.600 --> 00:01:45.600]  有六段經文要看
[00:01:45.600 --> 00:01:47.600]  有些我讀 有些你讀
[00:01:47.600 --> 00:01:49.600]  不如第一段就你讀
[00:01:49.600 --> 00:01:52.600]  我們一起讀 預備 起
[00:01:52.600 --> 00:01:56.600]  在希律作猶大王的時候
[00:01:56.600 --> 00:01:59.600]  塔比亞班裏有一個祭司
[00:01:59.600 --> 00:02:01.600]  名叫撒加利亞
[00:02:01.600 --> 00:02:04.600]  他妻子是阿倫的後代
[00:02:04.600 --> 00:02:06.600]  名叫伊麗莎白
[00:02:06.600 --> 00:02:10.600]  他們兩人在神面前都是義人
[00:02:10.600 --> 00:02:14.600]  進行主的一切誡命和條例
[00:02:14.600 --> 00:02:16.600]  沒有可指責的
[00:02:16.600 --> 00:02:18.600]  只是他們沒有孩子
[00:02:18.600 --> 00:02:21.600]  因爲伊麗莎白不生育
[00:02:21.600 --> 00:02:25.600]  兩個人又年紀老邁了
[00:02:25.600 --> 00:02:26.600]  這一段經文
[00:02:26.600 --> 00:02:30.600]  先看看施洗約翰的家庭和出生
[00:02:30.600 --> 00:02:31.600]  大家都讀了
[00:02:31.600 --> 00:02:33.600]  父親是誰?
[00:02:33.600 --> 00:02:34.600]  撒加利亞
[00:02:34.600 --> 00:02:37.600]  是什麼職份?
[00:02:37.600 --> 00:02:38.600]  祭司
[00:02:38.600 --> 00:02:40.600]  在教會里面做的
[00:02:40.600 --> 00:02:42.600]  我這個位置
[00:02:42.600 --> 00:02:43.600]  母親呢?
[00:02:43.600 --> 00:02:44.600]  伊麗莎白
[00:02:44.600 --> 00:02:47.600]  聖經描述他們兩個人是怎樣的?
[00:02:47.600 --> 00:02:50.600]  在神面前都是義人
[00:02:50.600 --> 00:02:54.600]  進行主的一切誡命和條例
[00:02:54.600 --> 00:02:55.600]  什麼意思?
[00:02:55.600 --> 00:02:58.600]  這兩個人有什麼生命質素?
[00:02:58.600 --> 00:03:01.600]  這兩個人原來是追求主
[00:03:01.600 --> 00:03:03.600]  討神喜悅
[00:03:03.600 --> 00:03:05.600]  是一個忠心的僕人
[00:03:05.600 --> 00:03:06.600]  不過
[00:03:06.600 --> 00:03:08.600]  原先他們有沒有子女呢?
[00:03:08.600 --> 00:03:10.600]  沒有子女
[00:03:10.600 --> 00:03:13.600]  伊麗莎白不能生育
[00:03:13.600 --> 00:03:15.600]  當時
[00:03:15.600 --> 00:03:18.600]  如果不能生育的女人
[00:03:18.600 --> 00:03:19.600]  好不好呢?
[00:03:19.600 --> 00:03:21.600]  苦不苦呢?
[00:03:21.600 --> 00:03:23.600]  會被人怎樣說呢?
