
[00:00:00.000 --> 00:00:04.280]  我們一起來做個祈禱,好嗎?
[00:00:04.280 --> 00:00:09.600]  我們天父感謝你,因為你給了我們一本聖經
[00:00:09.600 --> 00:00:14.800]  通過聖經你將你自己的故事告訴我們
[00:00:14.800 --> 00:00:17.120]  你不單將你的故事告訴我們
[00:00:17.120 --> 00:00:20.720]  你也將我們的故事告訴我們
[00:00:20.720 --> 00:00:24.520]  很多時候我們作為一個現代人
[00:00:24.520 --> 00:00:28.120]  我們一生出來就茫茫碌碌
[00:00:28.120 --> 00:00:32.760]  在我們長大的過程中我們忙著去讀書
[00:00:32.760 --> 00:00:35.360]  忙著去工作
[00:00:35.360 --> 00:00:37.800]  忙著去帶小孩
[00:00:37.800 --> 00:00:41.040]  忙著去準備退休
[00:00:41.040 --> 00:00:44.080]  忙著去退休之後的生活等等
[00:00:44.080 --> 00:00:47.040]  在白忙當中我們從來沒有問
[00:00:47.040 --> 00:00:52.240]  我們從哪裏來,我們又要去哪裏
[00:00:52.240 --> 00:00:58.480]  我們需要對這個生命有看見
[00:00:58.480 --> 00:01:03.000]  這個看見不是哪隻股票會升
[00:01:03.000 --> 00:01:07.080]  何時樓市會跌
[00:01:07.080 --> 00:01:09.680]  真正的看見是
[00:01:09.680 --> 00:01:12.880]  究竟這個世界從何而來
[00:01:12.880 --> 00:01:14.840]  人生的意義在哪裏
[00:01:14.840 --> 00:01:17.640]  為何在一個這麼美好的世界裏
[00:01:17.640 --> 00:01:22.480]  又有這麼悲慘的事情
[00:01:22.480 --> 00:01:25.480]  苦難在哪裏來
[00:01:25.480 --> 00:01:28.280]  美善又從何而來
[00:01:28.280 --> 00:01:29.400]  還有幫助我們
[00:01:29.400 --> 00:01:33.040]  因為今天我們回到你的話語裏
[00:01:33.040 --> 00:01:35.960]  去聽我們的故事
[00:01:35.960 --> 00:01:37.720]  但最終我們發現
[00:01:37.720 --> 00:01:41.600]  你說的是你的故事
[00:01:41.600 --> 00:01:45.080]  願這一切觸動我們的心
[00:01:45.080 --> 00:01:50.360]  叫我們一生人都是為基督而活
[00:01:50.360 --> 00:01:51.960]  再次多謝你
[00:01:51.960 --> 00:01:53.440]  讓我們有這樣的時間
[00:01:53.440 --> 00:01:55.640]  願我們都聽得明
[00:01:55.640 --> 00:01:58.840]  願我都講得清楚
[00:01:58.840 --> 00:02:01.160]  願主耶穌基督在當中得榮耀
[00:02:01.160 --> 00:02:03.440]  我們今日祈禱去共主耶穌基督名課
[00:02:03.440 --> 00:02:04.680]  阿門
[00:02:04.680 --> 00:02:07.360]  好,再歡迎大家來到
[00:02:07.360 --> 00:02:09.600]  我們現在這個都是馬拉松
[00:02:09.600 --> 00:02:12.320]  我們希望在未來兩年裏
[00:02:12.320 --> 00:02:15.400]  差不多可能要21個講座
[00:02:15.400 --> 00:02:17.200]  照我估計
[00:02:17.200 --> 00:02:20.560]  可以講完整個舊約聖經
[00:02:20.560 --> 00:02:21.840]  我的題目叫做
[00:02:21.840 --> 00:02:23.520]  基督自保
[00:02:23.520 --> 00:02:25.720]  進藏舊約
[00:02:25.720 --> 00:02:28.320]  其實你在香港你都知道
[00:02:28.320 --> 00:02:30.720]  有很多很多很多不同的講座
[00:02:30.720 --> 00:02:32.440]  亦都有很多很多
[00:02:32.440 --> 00:02:34.600]  不同的講座是講舊約的
[00:02:34.600 --> 00:02:36.320]  亦都有很多很多
[00:02:36.320 --> 00:02:38.560]  聖經的博士
[00:02:38.560 --> 00:02:39.760]  去講舊約
[00:02:39.760 --> 00:02:41.640]  你用得著來聽我嗎
[00:02:41.640 --> 00:02:43.160]  那你為甚麼要來聽我
[00:02:43.160 --> 00:02:45.720]  或者為甚麼我要做一個
[00:02:45.720 --> 00:02:46.960]  另一個系列呢
[00:02:46.960 --> 00:02:48.240]  那個特色在哪裏
[00:02:48.240 --> 00:02:49.040]  有甚麼特別呢
[00:02:49.040 --> 00:02:50.840]  那個特別就是
[00:02:50.840 --> 00:02:53.080]  基督自保
