
[00:00:00.000 --> 00:00:03.000]  好 願大家都滿有平安喜樂
[00:00:03.000 --> 00:00:05.500]  特別我們不單止在座當中
[00:00:05.500 --> 00:00:07.000]  亦希望家裏面的弟兄姊妹
[00:00:07.000 --> 00:00:10.000]  都能夠經歷上帝給我們的平安和喜樂
[00:00:10.000 --> 00:00:13.500]  求主幫助我們今天繼續思考著
[00:00:13.500 --> 00:00:16.500]  上一次跟大家講到兩條命的教會
[00:00:16.500 --> 00:00:18.500]  講了第一條的命
[00:00:18.500 --> 00:00:21.500]  今天也會講第二條的命
[00:00:21.500 --> 00:00:23.500]  未開始之先
[00:00:23.500 --> 00:00:26.500]  先做下熱身運動
[00:00:26.500 --> 00:00:29.500]  怎樣做熱身運動呢
[00:00:29.500 --> 00:00:35.500]  因為大家要運用身體放鬆一下自己
[00:00:35.500 --> 00:00:37.500]  這裡有一堆運動
[00:00:37.500 --> 00:00:41.500]  不過可能場地太小
[00:00:41.500 --> 00:00:43.500]  不方便做到這些不同的運動
[00:00:43.500 --> 00:00:44.500]  不過不要緊
[00:00:44.500 --> 00:00:46.000]  為了配合這個場地
[00:00:46.000 --> 00:00:48.500]  我已經安排了一個運動
[00:00:48.500 --> 00:00:51.500]  我們今天專門做一個部位的運動
[00:00:51.500 --> 00:00:53.500]  就是哪個部位呢
[00:00:53.500 --> 00:00:55.500]  就是你的嘴
[00:00:55.500 --> 00:00:56.500]  為什麼這麼重要呢
[00:00:56.500 --> 00:00:59.500]  因為這是一個很重要的部位
[00:00:59.500 --> 00:01:00.500]  我們的嘴唇
[00:01:00.500 --> 00:01:02.500]  因為通常你這個人
[00:01:02.500 --> 00:01:04.500]  怎樣壞都好
[00:01:04.500 --> 00:01:07.500]  你知道你最後死剩什麼嗎
[00:01:07.500 --> 00:01:12.500]  我們通常死剩嘴巴
[00:01:12.500 --> 00:01:13.500]  嘴巴很重要
[00:01:13.500 --> 00:01:14.500]  你的嘴唇很重要
[00:01:14.500 --> 00:01:17.500]  所以我們今天就做下嘴唇運動
[00:01:17.500 --> 00:01:19.500]  特別如果你的嘴唇漂亮
[00:01:19.500 --> 00:01:21.500]  人們說你會很性感
[00:01:21.500 --> 00:01:24.500]  所以我們今天就做下這個運動
[00:01:24.500 --> 00:01:25.500]  很簡單
[00:01:25.500 --> 00:01:28.500]  我們嘗試上下左右動一下
[00:01:28.500 --> 00:01:30.500]  我先嘗試一起向上動你的嘴唇
[00:01:30.500 --> 00:01:32.500]  看看能不能做到
[00:01:32.500 --> 00:01:33.500]  怎樣做的
[00:01:33.500 --> 00:01:35.500]  向上動你的嘴唇
[00:01:35.500 --> 00:01:37.500]  如果向下呢
[00:01:37.500 --> 00:01:39.500]  向左向右
[00:01:39.500 --> 00:01:41.500]  轉個圈
[00:01:41.500 --> 00:01:42.500]  都可以
[00:01:42.500 --> 00:01:44.500]  然後再加深一個步驟
[00:01:44.500 --> 00:01:48.500]  就是嘗試幫你的嘴唇按摩一下
[00:01:48.500 --> 00:01:50.500]  按摩一下
[00:01:50.500 --> 00:01:52.500]  按摩得到嗎
[00:01:52.500 --> 00:01:55.500]  然後再幫他做一個重要的運動
[00:01:55.500 --> 00:01:57.500]  就是撕下去
[00:01:57.500 --> 00:02:01.500]  你要撕到自己有感覺的
[00:02:01.500 --> 00:02:03.500]  撕不撕到自己痛
[00:02:03.500 --> 00:02:05.500]  撕不到自己痛
[00:02:05.500 --> 00:02:06.500]  撕下去就可以了
[00:02:06.500 --> 00:02:07.500]  對了
