
[00:00:00.000 --> 00:00:04.580]  來看以賽亞書第四十二章的這段經文
[00:00:04.580 --> 00:00:08.960]  是將我們的焦點集中在我們的主角
[00:00:08.960 --> 00:00:10.960]  就是張臨奇的主角
[00:00:10.960 --> 00:00:12.420]  他第一次來了
[00:00:12.420 --> 00:00:15.820]  第二次也都一定會再回來
[00:00:15.820 --> 00:00:19.200]  我們今天來思想我們這一位的主
[00:00:19.200 --> 00:00:22.760]  這段經文其實是有一個背景的
[00:00:22.760 --> 00:00:25.700]  就是主和他的百姓
[00:00:25.700 --> 00:00:28.560]  好像有一場官司那樣
[00:00:28.560 --> 00:00:31.900]  來發出這個宣告
[00:00:31.900 --> 00:00:35.300]  宣判了那一場的官司
[00:00:35.300 --> 00:00:38.240]  最後的勝利者是哪一位
[00:00:38.240 --> 00:00:39.740]  什麼官司來的呢
[00:00:39.740 --> 00:00:42.120]  就是這一班的百姓他們覺得
[00:00:42.120 --> 00:00:44.920]  這個不公義的情況
[00:00:44.920 --> 00:00:47.380]  他們受外邦的侵擾
[00:00:47.380 --> 00:00:49.760]  他們在困難之中
[00:00:49.760 --> 00:00:56.600]  到底那一位公義的上帝在哪裡呢
[00:00:56.600 --> 00:00:58.600]  人往往是這樣的
[00:00:58.600 --> 00:01:01.960]  順境的時候就很少問神學的問題
[00:01:01.960 --> 00:01:03.960]  是很艱難的時候
[00:01:03.960 --> 00:01:08.940]  就是會問很多關於上帝在哪裡的說話
[00:01:08.940 --> 00:01:13.280]  問很多關於這個不公義的事情
[00:01:13.280 --> 00:01:15.920]  什麼時候才得到擺平
[00:01:15.920 --> 00:01:21.180]  問什麼時候才可以脫離這個痛苦等等
[00:01:21.180 --> 00:01:23.880]  其實上帝在這一場的官司裡面
[00:01:23.880 --> 00:01:30.200]  是向著這班百姓和他們當時所傾向敬拜的
[00:01:30.200 --> 00:01:33.360]  來作出了一個判決
[00:01:33.360 --> 00:01:37.240]  以再亞第四十一章第二十一節那裡這樣說
[00:01:37.240 --> 00:01:39.240]  耶和華對賈臣說
[00:01:39.240 --> 00:01:42.480]  你們要呈上你們的案件
[00:01:42.480 --> 00:01:44.180]  雅各的君說
[00:01:44.180 --> 00:01:47.780]  你們要聲明你們確實的理由
[00:01:47.780 --> 00:01:52.760]  可以聲明指示我們將來必遇的事
[00:01:52.760 --> 00:01:56.100]  說明先前的是什麼事
[00:01:56.100 --> 00:02:00.300]  好叫我們思索得知事的結局
[00:02:00.300 --> 00:02:04.760]  或者把將來的事指示我們
[00:02:04.760 --> 00:02:07.560]  要說明後來的事
[00:02:07.560 --> 00:02:12.180]  好叫我們知道你們是神
[00:02:12.180 --> 00:02:16.520]  拿出這個挑戰來
[00:02:16.520 --> 00:02:19.840]  對那些賈臣挑戰什麼呢
[00:02:19.840 --> 00:02:22.980]  你有本事就說回過去的事情
[00:02:22.980 --> 00:02:27.580]  和將來以後要應驗的事情
[00:02:27.580 --> 00:02:30.420]  如果你能夠這樣說出來
[00:02:30.420 --> 00:02:35.800]  那或者你這個抗辯就可以成立
[00:02:35.800 --> 00:02:37.400]  否則的話
[00:02:37.400 --> 00:02:41.400]  就只可以接受這個裁決
[00:02:41.400 --> 00:02:43.740]  要說明後來的事
[00:02:43.740 --> 00:02:47.580]  好叫我們知道你們是神
[00:02:47.580 --> 00:02:49.580]  你們說降福或降禍
[00:02:49.580 --> 00:02:51.840]  使我們驚奇一同觀看
[00:02:51.840 --> 00:02:53.840]  show(展示)一些東西來看看
[00:02:53.840 --> 00:02:56.280]  如果你們這些賈臣是真的
[00:02:56.280 --> 00:02:57.720]  show(展示)一些東西出來
[00:02:57.720 --> 00:03:02.460]  show(展示)到你能夠真的顯示過去未來
[00:03:02.460 --> 00:03:06.760]  看呀 你們是屬乎虛無
[00:03:06.760 --> 00:03:10.260]  你們的作為也屬乎虛空
[00:03:10.260 --> 00:03:13.600]  選擇你們的是可憎惡的
[00:03:13.600 --> 00:03:15.900]  那個裁決的結果當然就是
[00:03:15.900 --> 00:03:17.900]  只有一位真神
[00:03:17.900 --> 00:03:19.900]  所有拜賈臣的
[00:03:19.900 --> 00:03:23.340]  最終一切都要徒然落空
[00:03:23.340 --> 00:03:28.780]  這番宣告其實就是向那些對上主失去信心
[00:03:28.780 --> 00:03:30.280]  質疑祂的信實
[00:03:30.280 --> 00:03:31.280]  質疑祂的公義
[00:03:31.280 --> 00:03:32.280]  質疑祂的能力
[00:03:32.280 --> 00:03:34.280]  質疑祂的智慧的人
[00:03:34.280 --> 00:03:37.020]  來作出一個宣告
[00:03:37.020 --> 00:03:40.220]  開庭聆訊判決的結果
[00:03:40.220 --> 00:03:45.200]  就是唯獨上主是掌權者
[00:03:45.200 --> 00:03:48.200]  而且祂並沒有離場
[00:03:48.200 --> 00:03:50.600]  其實上帝從來都沒有離場的
[00:03:50.600 --> 00:03:51.800]  人的際遇
[00:03:51.800 --> 00:03:53.100]  無論是個人
[00:03:53.100 --> 00:03:54.100]  或者是社會
[00:03:54.100 --> 00:03:55.340]  或者是國家
[00:03:55.340 --> 00:03:57.440]  這一切的際遇裡面
[00:03:57.440 --> 00:04:00.640]  仍然有上主的作為
[00:04:00.640 --> 00:04:03.020]  上主的掌權在當中
[00:04:03.020 --> 00:04:04.780]  所以我們大概可以說
[00:04:04.780 --> 00:04:06.320]  我們都不用問
[00:04:06.320 --> 00:04:08.520]  不公不義的事在的時候
[00:04:08.520 --> 00:04:10.320]  上帝在哪裡
[00:04:10.320 --> 00:04:11.820]  上帝在這裡
[00:04:11.820 --> 00:04:13.020]  祂有行動的
[00:04:13.020 --> 00:04:14.620]  就算祂未有行動
[00:04:14.620 --> 00:04:17.600]  祂也終於會有行動的
[00:04:17.600 --> 00:04:20.200]  我覺得對於我們今天的人來講
[00:04:20.200 --> 00:04:23.740]  我們是需要這種信心
[00:04:23.740 --> 00:04:26.880]  或者做跟從耶穌基督的人來講
[00:04:26.880 --> 00:04:30.440]  我們永遠都需要有一種
[00:04:30.440 --> 00:04:33.240]  面對著不理想的狀況
[00:04:33.240 --> 00:04:37.220]  而不會奮勢疾逐地
[00:04:37.220 --> 00:04:39.420]  對事情視而無睹
[00:04:39.420 --> 00:04:42.260]  或者是逃避現實
[00:04:42.260 --> 00:04:45.360]  是躲中自己的安全區
[00:04:45.360 --> 00:04:47.520]  上帝差遣祂的僕人
[00:04:47.520 --> 00:04:50.000]  是要成就祂所喜悅的事
[00:04:50.000 --> 00:04:53.240]  所以在第42章的開始
[00:04:53.240 --> 00:04:54.500]  我們就看見
[00:04:54.500 --> 00:04:56.100]  這個以塞亞書
[00:04:56.100 --> 00:04:58.540]  關於耶和華僕人之歌的
[00:04:58.540 --> 00:05:00.700]  其中的一段
[00:05:00.700 --> 00:05:02.340]  耶和華的僕人
[00:05:02.340 --> 00:05:04.220]  在以塞亞書裡面
[00:05:04.220 --> 00:05:07.580]  是一個非常特別的稱呼
[00:05:07.580 --> 00:05:10.020]  很多研究聖經的人
[00:05:10.020 --> 00:05:12.860]  都花了很多的功夫來講出
[00:05:12.860 --> 00:05:15.960]  這位的僕人到底是誰
[00:05:15.960 --> 00:05:17.760]  其實在不同的處境
[00:05:17.760 --> 00:05:19.520]  不同的上下文裡面
[00:05:19.520 --> 00:05:20.960]  這位的僕人
[00:05:20.960 --> 00:05:23.800]  是有幾個不同的角色的
[00:05:23.800 --> 00:05:25.760]  不同的經文是指向
[00:05:25.760 --> 00:05:27.640]  不同的一位僕人
