
[00:00:00.000 --> 00:00:02.740]  讓我們先聽神的禱語
[00:00:02.740 --> 00:00:04.880]  讓我們先同心禱告
[00:00:04.880 --> 00:00:07.360]  在聽神禱之前讓我們先同心禱告
[00:00:07.360 --> 00:00:08.520]  讓我們同心禱告
[00:00:08.520 --> 00:00:11.560]  蔡父神多謝你
[00:00:11.560 --> 00:00:14.660]  讓我們今天能夠再次打開你的說話
[00:00:14.660 --> 00:00:19.920]  去將你怎樣否釋給我們明白到
[00:00:19.920 --> 00:00:21.920]  你是怎樣的一位的主
[00:00:21.920 --> 00:00:23.920]  怎樣的一位的神
[00:00:23.920 --> 00:00:26.720]  怎樣去跟我們有交往
[00:00:26.720 --> 00:00:29.840]  讓我們去認識怎樣跟從你
[00:00:31.000 --> 00:00:36.800]  求你的聖靈同時去感動昔日先知
[00:00:36.800 --> 00:00:38.800]  令到今天感動我們
[00:00:38.800 --> 00:00:40.800]  好想我們明白
[00:00:40.800 --> 00:00:43.800]  父神你的心是怎樣對待我們
[00:00:43.800 --> 00:00:45.800]  求你與我們同在
[00:00:45.800 --> 00:00:47.800]  我們同心的禱告
[00:00:47.800 --> 00:00:49.800]  奉主耶穌基督得聖的名字
[00:00:49.800 --> 00:00:51.800]  阿們
[00:00:51.800 --> 00:00:56.800]  今天在這個世界上有兩大邪神
[00:00:56.800 --> 00:00:58.800]  這個世界有兩大邪神
[00:00:58.800 --> 00:01:00.800]  第一個邪神大家都很熟悉
[00:01:00.800 --> 00:01:02.800]  第一個大家都很熟悉
[00:01:02.800 --> 00:01:04.800]  叫做財神
[00:01:04.800 --> 00:01:06.800]  另一個的神
[00:01:06.800 --> 00:01:08.800]  近期我特別留意到
[00:01:08.800 --> 00:01:10.800]  最近特別留意到
[00:01:10.800 --> 00:01:16.800]  特別是近期在台灣搞所謂同性戀合法化
[00:01:16.800 --> 00:01:18.800]  婚姻合法化這件事
[00:01:18.800 --> 00:01:22.800]  最近在台灣講了同性戀婚姻合法化這件事
[00:01:22.800 --> 00:01:24.800]  原來這個所謂愛神
[00:01:24.800 --> 00:01:27.800]  也是成為今天第一個很大的邪神
[00:01:27.800 --> 00:01:30.800]  原來愛神也成為今天一個很大的邪神
[00:01:30.800 --> 00:01:33.800]  我們不要說在教會以外的環境
[00:01:33.800 --> 00:01:35.800]  不講在教會以外的環境
[00:01:35.800 --> 00:01:38.800]  我們看看今天在我們的教會裏面
[00:01:38.800 --> 00:01:40.800]  在今天我們教會裏面
[00:01:40.800 --> 00:01:43.800]  本來我們只是相信獨一的耶和華神
[00:01:43.800 --> 00:01:46.800]  本來我們相信獨一的耶和華神
[00:01:46.800 --> 00:01:49.800]  但是不知道什麼時候開始
[00:01:49.800 --> 00:01:50.800]  不知道從什麼時候開始
[00:01:50.800 --> 00:01:53.800]  這個財神和愛神就走進了教會當中
[00:01:53.800 --> 00:01:56.800]  財神和愛神都走進了教會當中
[00:01:56.800 --> 00:01:59.800]  我們只要輕輕地看看教會今天的狀況
[00:01:59.800 --> 00:02:00.800]  我們隨便看一下
[00:02:00.800 --> 00:02:03.800]  很多人都很曉得怎樣利用金錢
[00:02:03.800 --> 00:02:05.800]  很多人都曉得怎樣利用金錢
[00:02:05.800 --> 00:02:06.800]  財富
[00:02:06.800 --> 00:02:07.800]  財富
[00:02:07.800 --> 00:02:09.800]  希望在教會裏面
[00:02:09.800 --> 00:02:10.800]  希望在教會裏面
