
[00:00:00.000 --> 00:00:02.000]  大師兄、節目早晨
[00:00:02.000 --> 00:00:06.080]  我們知道在神的家裡面是非常開心的
[00:00:06.080 --> 00:00:08.640]  為什麼呢? 因為正如牧師所說
[00:00:08.640 --> 00:00:11.240]  神的家裡面充滿了很多的恩典
[00:00:11.240 --> 00:00:13.760]  很多不常規的東西
[00:00:13.760 --> 00:00:15.560]  而這些不常規的東西
[00:00:15.560 --> 00:00:19.640]  是發覺每樣東西都是很特別
[00:00:19.640 --> 00:00:20.880]  神的預備 我們會發覺
[00:00:20.880 --> 00:00:22.200]  哇! 神又有這樣的預備
[00:00:22.200 --> 00:00:23.920]  哇! 神又有這樣的恩典
[00:00:23.920 --> 00:00:26.000]  我們經歷這些不常規的時候
[00:00:26.000 --> 00:00:27.320]  我們有沒有去留心?
[00:00:27.320 --> 00:00:28.920]  我們有沒有去留意?
[00:00:28.920 --> 00:00:31.000]  同樣今天 我想跟大家說一件事
[00:00:31.000 --> 00:00:35.120]  就是基督的降生都是很不常規的
[00:00:35.120 --> 00:00:37.160]  是不是? 通常我們記得
[00:00:37.160 --> 00:00:38.520]  我們出生在美國
[00:00:38.520 --> 00:00:40.480]  還是香港 還是中國大陸都好
[00:00:40.480 --> 00:00:41.640]  我們出生是很常規的
[00:00:41.640 --> 00:00:43.080]  一定是有產檢
[00:00:43.080 --> 00:00:44.520]  是嗎? 我們的年代可能沒有
[00:00:44.520 --> 00:00:46.440]  現在我們那些小朋友出生
[00:00:46.440 --> 00:00:47.680]  一定要去產檢
[00:00:47.680 --> 00:00:51.000]  看醫生 一定是有預約
[00:00:51.000 --> 00:00:53.520]  接著去醫院的時候
[00:00:53.520 --> 00:00:54.560]  一定有些護士
[00:00:54.560 --> 00:00:56.200]  你叫到怎樣都好
[00:00:56.200 --> 00:00:57.280]  你未開到兩、三度
[00:00:57.280 --> 00:00:58.760]  他們不會推你去產房的
[00:00:58.760 --> 00:01:00.240]  接著去到產房
[00:01:00.240 --> 00:01:02.120]  同樣有很多很常規的事
[00:01:02.120 --> 00:01:03.800]  但是耶穌的出生
[00:01:03.800 --> 00:01:04.680]  是告訴我們
[00:01:04.680 --> 00:01:07.400]  這個世界不是再是常規的
[00:01:07.400 --> 00:01:09.160]  不是再是常規什麼?
[00:01:09.160 --> 00:01:10.200]  不是什麼常規
[00:01:10.200 --> 00:01:13.320]  就是說人從罪惡裡面
[00:01:13.320 --> 00:01:15.440]  上帝和人去隔絕
[00:01:15.440 --> 00:01:16.720]  但是因為耶穌基督的出生
[00:01:16.720 --> 00:01:19.600]  我們不再活在這個同神隔絕
[00:01:19.600 --> 00:01:21.880]  有罪惡在我們生命當中的常規
[00:01:21.880 --> 00:01:23.960]  所以我們一起去禱告
[00:01:23.960 --> 00:01:25.120]  所以主我們多謝讚美你
[00:01:25.120 --> 00:01:26.200]  神我感謝你
[00:01:26.200 --> 00:01:29.600]  在我們的生命當中經歷的事
[00:01:29.600 --> 00:01:31.400]  神我們知道每一件事
[00:01:31.400 --> 00:01:32.880]  都是神你精心的安排
[00:01:32.880 --> 00:01:34.360]  神我們在這個時刻
[00:01:34.360 --> 00:01:35.360]  我們感謝你
[00:01:35.360 --> 00:01:39.160]  因為我們看到你精心安排的時候
[00:01:39.160 --> 00:01:42.200]  神我們沒有一個不會滿心去感謝
[00:01:42.200 --> 00:01:43.800]  神你所揀選的
[00:01:43.800 --> 00:01:45.080]  你所安排的
[00:01:45.080 --> 00:01:47.480]  都是為了我們每一個人的生命
[00:01:47.480 --> 00:01:48.560]  都是為了每一個人
[00:01:48.560 --> 00:01:51.240]  能夠與你與神和好這個目的
[00:01:51.240 --> 00:01:52.560]  所以主我求你去幫助我們
[00:01:52.560 --> 00:01:53.600]  今天大英姊妹
[00:01:53.600 --> 00:01:54.480]  開我們的耳
[00:01:54.480 --> 00:01:55.400]  開我們的口
[00:01:55.400 --> 00:01:57.200]  神特別的高沒孩子的口
[00:01:57.200 --> 00:01:58.480]  叫孩子能夠講出
[00:01:58.480 --> 00:01:59.960]  神你要我們講的訊息
[00:01:59.960 --> 00:02:01.240]  我們感謝讚美你主
[00:02:01.240 --> 00:02:02.200]  我們禱告教託
[00:02:02.200 --> 00:02:03.080]  奉耶穌基督
[00:02:03.080 --> 00:02:04.720]  得勝名字祈求
[00:02:04.720 --> 00:02:05.720]  Amen
[00:02:05.720 --> 00:02:06.960]  頂天華聖誕節
[00:02:06.960 --> 00:02:08.400]  我們十二月份
[00:02:08.400 --> 00:02:12.640]  我們每一個課都在講聖誕節的一個訊息
[00:02:12.640 --> 00:02:14.440]  可能有些大英姊妹朋友
[00:02:14.440 --> 00:02:15.760]  聽了十幾二十年
[00:02:15.760 --> 00:02:16.680]  好像我這樣
[00:02:16.680 --> 00:02:17.920]  一信主開始
[00:02:17.920 --> 00:02:19.720]  就年年聽聖誕節的訊息
[00:02:19.720 --> 00:02:23.120]  我個人還很喜歡子爺崇拜
[00:02:23.120 --> 00:02:25.120]  有時都會帶我的家人
[00:02:25.120 --> 00:02:27.560]  去天主教的一些聖堂
[00:02:27.560 --> 00:02:28.920]  我們二十四日
[00:02:28.920 --> 00:02:31.120]  就十一點鐘開始子爺崇拜
[00:02:31.120 --> 00:02:33.520]  一直過了十二點鐘的晚上
[00:02:33.520 --> 00:02:35.520]  由神父在那裏
[00:02:35.520 --> 00:02:37.520]  與我們做彌撒
[00:02:37.520 --> 00:02:39.360]  那聖誕節
[00:02:39.360 --> 00:02:41.040]  我們通常都是這樣過
[00:02:41.040 --> 00:02:42.680]  我每一個年頭
[00:02:42.680 --> 00:02:43.280]  大家都可能
[00:02:43.280 --> 00:02:45.640]  可能大家也有些新信的朋友
[00:02:45.640 --> 00:02:47.960]  聖誕節今年覺得特別有意義
[00:02:47.960 --> 00:02:48.880]  你剛剛信主
[00:02:48.880 --> 00:02:51.400]  你會覺得聖誕節終於關我事了
[00:02:51.400 --> 00:02:53.920]  聖誕節終於覺得我是一個基督徒
[00:02:53.920 --> 00:02:56.480]  我是有份去慶祝這個聖誕節
[00:02:56.480 --> 00:02:57.760]  以前慶祝聖誕節
[00:02:57.760 --> 00:02:58.800]  是慶祝其他東西
[00:02:58.800 --> 00:03:00.080]  但是今年慶祝聖誕節
[00:03:00.080 --> 00:03:02.400]  是真的慶祝耶穌的講誓
[00:03:02.400 --> 00:03:03.560]  但是我看看
[00:03:03.560 --> 00:03:04.600]  聖誕節有兩樣東西
[00:03:04.600 --> 00:03:06.720]  我想跟大家再去重溫
[00:03:06.720 --> 00:03:08.600]  雖然我們今天覺得基督徒
