
[00:00:00.000 --> 00:00:06.280]  在我們的日常生活裏面,我們意見大大小小的問題
[00:00:06.280 --> 00:00:13.180]  有時候我們擔心,有時候我們恐懼,有時候我們心裏面不開心
[00:00:13.180 --> 00:00:18.440]  今天所看的經文教導我們一個秘訣
[00:00:18.440 --> 00:00:24.920]  可以令我們知足常樂,又可以令我們有力量,有資源去幫助別人
[00:00:24.920 --> 00:00:31.120]  在《菲律賓書》第四章
[00:00:31.120 --> 00:00:42.160]  我們要從保羅身上來看,究竟他怎樣得到這個秘訣
[00:00:42.160 --> 00:00:44.320]  你和我又怎樣學到這個秘訣呢?
[00:00:44.320 --> 00:00:48.240]  我們首先看保羅,保羅生長在顯赫的家庭
[00:00:48.240 --> 00:00:52.560]  有優良的教育,名譽地位,什麼都有
[00:00:52.560 --> 00:00:56.760]  就是聖利人生祖,但是他為了耶穌基督放棄這些
[00:00:56.760 --> 00:01:03.880]  做一個貧窮的傳道人,浪跡天涯,跡象攀為生,年老入獄
[00:01:03.880 --> 00:01:07.160]  我想到我自己的經歷和他有一點點相似
[00:01:07.160 --> 00:01:12.000]  我在加拿大那時候住幾千呎的地方,現在來到香港住幾百呎
[00:01:12.000 --> 00:01:14.520]  我在加拿大開三輛車,現在沒有
[00:01:14.520 --> 00:01:18.400]  我太太二十幾歲就用洗碗機,現在又沒有
[00:01:18.400 --> 00:01:22.360]  我在加拿大的跨國公司做管理階層,有些優待
[00:01:22.360 --> 00:01:29.960]  公司給我一些機會去聽歌劇,或者看Hockey的冰棍球
[00:01:29.960 --> 00:01:33.920]  我和我的家人是坐包廂,不是坐座位
[00:01:33.920 --> 00:01:41.400]  公司又會給我去一些resort area,即是休閒的地方
[00:01:41.400 --> 00:01:47.360]  有專人教我去學高爾夫球,現在回來了,還沒有打過
[00:01:47.360 --> 00:01:55.920]  不過我比保羅幸福一點,因為保羅最後的人生終點站就是羅馬的監獄
[00:01:55.920 --> 00:02:00.360]  我最後的人生終點站你猜在哪裏呢?
[00:02:00.360 --> 00:02:04.400]  可能就是台灣,因為我在那裏宣教,未必會坐監的
[00:02:04.400 --> 00:02:11.160]  但是保羅得到滿足,他有一個秘訣
[00:02:11.160 --> 00:02:17.680]  我也跟他學了這個秘訣,今天我要和大家分享這個秘訣
[00:02:17.680 --> 00:02:23.000]  怎樣你都可以得著滿足的
[00:02:23.000 --> 00:02:26.240]  這就是我們剛才所讀的一段經文
[00:02:26.240 --> 00:02:32.120]  今天的講道很簡單,但是很實用的,就是兩點
[00:02:32.120 --> 00:02:37.320]  第一,怎樣學到保羅的知足常樂
[00:02:37.320 --> 00:02:44.400]  第二,怎樣學到菲律賓信徒的慷慨奉獻的心
[00:02:44.400 --> 00:02:51.240]  第二,這兩點都為你帶來非常美好的經歷
[00:02:51.240 --> 00:02:55.800]  在上帝裏面得著祝福的
[00:02:55.800 --> 00:03:01.960]  我們首先看看保羅為何這麼開心
[00:03:01.960 --> 00:03:08.280]  保羅當時是坐監的,在羅馬坐監,他坐過兩次監
[00:03:08.280 --> 00:03:11.320]  第一次就好一點,第二次就釋放出來
[00:03:11.320 --> 00:03:18.520]  第二次就坐那些,我們中文叫做大牢,那些很慘的監
[00:03:18.520 --> 00:03:21.400]  他寫這封信的時候是第一次
[00:03:21.400 --> 00:03:27.640]  他自己可以租一個房子住,但是沒有自由的
[00:03:27.640 --> 00:03:31.960]  有個兵看著他,兵其實是跟他鎖在一起的
[00:03:31.960 --> 00:03:37.000]  保羅去洗手間,兵就跟著他,保羅睡覺,兵就跟著他睡
[00:03:37.000 --> 00:03:41.240]  不過兵每四小時就換一間,保羅就經常在那裏
[00:03:41.240 --> 00:03:46.200]  這樣比坐大牢好,但是問題就來了
[00:03:46.200 --> 00:03:51.640]  你租一間房子,誰付租金呢?
[00:03:51.640 --> 00:03:57.640]  誰來跟你買飯呢?你去大加拿大買飯也要錢的,保羅沒有錢的
[00:03:57.640 --> 00:04:01.320]  所以菲勒比的教會就全力支持他
[00:04:01.320 --> 00:04:08.440]  他們差派了一位好好的弟兄以巴不提來照顧他,供應他
[00:04:08.440 --> 00:04:12.680]  你想像保羅其實生活是很不容易的
[00:04:12.680 --> 00:04:20.120]  但是他在剛才你讀的經文裏,菲勒比書第四章第十到二十節
[00:04:20.120 --> 00:04:26.120]  你看到他在治理行間是充滿喜樂,滿足的
[00:04:26.120 --> 00:04:30.760]  我們看看保羅說
[00:04:30.760 --> 00:04:37.240]  我已經學會了,無論在什麼情況之下我都可以知足
[00:04:37.240 --> 00:04:42.280]  我知道怎麽樣似卑賤,怎麽樣似富裕,我已經得了秘訣
[00:04:42.280 --> 00:04:46.680]  無論在任何情況之下,或是飽足,或是飢餓
[00:04:46.680 --> 00:04:51.000]  或是富裕,或是缺乏,都可以知足
[00:04:51.000 --> 00:04:55.640]  為什麽他做到呢?其實飢餓是很慘的,我昨天最遇見飢餓
[00:04:55.640 --> 00:04:58.280]  昨天不知道是不是勤力太多,在辦公室工作
[00:04:58.280 --> 00:05:07.960]  六點鐘走回家,越走越餓,其實這是很小的問題
[00:05:07.960 --> 00:05:14.520]  你會感受到飢餓那種不開心
[00:05:14.520 --> 00:05:18.120]  但保羅整天都是飢餓,他其實沒有錢
[00:05:18.120 --> 00:05:28.520]  而上帝是給他一個喜樂,一個知足的素質
[00:05:28.520 --> 00:05:30.040]  我希望大家都學到
[00:05:30.040 --> 00:05:35.880]  其實我們全因堂都有這個秘訣
[00:05:35.880 --> 00:05:44.200]  大家記得上個星期,我們全因堂開了會友大會
[00:05:44.200 --> 00:05:47.480]  五年前我們憑信心開始這間教會
[00:05:47.480 --> 00:05:51.160]  過去的五年,香港經歷過天反地覆的改變
[00:05:51.160 --> 00:05:54.200]  所有教會都面對很多問題
[00:05:54.200 --> 00:05:58.760]  包括財政問題,聚會不到,移民潮
[00:05:58.760 --> 00:06:03.640]  感謝神全因堂的傳道人信徒領袖
