
[00:00:00.000 --> 00:00:02.000]  我們上個禮拜開始
[00:00:02.000 --> 00:00:05.000]  羅牧師開始和我們講御苦期
[00:00:05.000 --> 00:00:09.000]  我們講主耶穌基督的教導
[00:00:09.000 --> 00:00:11.000]  內在的生命
[00:00:11.000 --> 00:00:14.000]  如何顯示於外在的生命
[00:00:14.000 --> 00:00:16.000]  御苦期是一個什麼節日呢
[00:00:16.000 --> 00:00:18.000]  就是主耶穌基督
[00:00:18.000 --> 00:00:21.000]  紀念主耶穌基督受難之前
[00:00:21.000 --> 00:00:23.000]  不計禮拜六禮拜日
[00:00:23.000 --> 00:00:25.000]  倒數四十天
[00:00:25.000 --> 00:00:27.000]  我們反省我們的生命
[00:00:27.000 --> 00:00:29.000]  因為主耶穌基督
[00:00:29.000 --> 00:00:31.000]  上十字架受苦
[00:00:31.000 --> 00:00:34.000]  為的是我們的罪
[00:00:34.000 --> 00:00:35.000]  為的是愛我們
[00:00:35.000 --> 00:00:37.000]  為的是我們每一個人的生命
[00:00:37.000 --> 00:00:39.000]  以致當我們紀念主耶穌基督
[00:00:39.000 --> 00:00:41.000]  他受苦受難的時候
[00:00:41.000 --> 00:00:44.000]  不是以一個旁觀者的角度
[00:00:44.000 --> 00:00:47.000]  去看一件歷史的事情
[00:00:47.000 --> 00:00:48.000]  絕對不是
[00:00:48.000 --> 00:00:50.000]  那是和我們生命有關
[00:00:50.000 --> 00:00:52.000]  與我們有關
[00:00:52.000 --> 00:00:55.000]  所以我們學校主耶穌基督
[00:00:55.000 --> 00:01:01.000]  他四十天在曠野禱告禁食
[00:01:01.000 --> 00:01:03.000]  我們同樣
[00:01:03.000 --> 00:01:05.000]  用四十天的時間去反省
[00:01:05.000 --> 00:01:07.000]  自己的生命
[00:01:07.000 --> 00:01:09.000]  這是教會歷史裏面
[00:01:09.000 --> 00:01:11.000]  訂立這個御苦期的目標
[00:01:11.000 --> 00:01:12.000]  的目的
[00:01:12.000 --> 00:01:14.000]  以致當我們去到
[00:01:14.000 --> 00:01:16.000]  紀念主耶穌基督受難的時候
[00:01:16.000 --> 00:01:20.000]  因著我們自己的反省
[00:01:20.000 --> 00:01:22.000]  我們對主耶穌基督的愛
[00:01:22.000 --> 00:01:24.000]  有更加深刻的了解
[00:01:24.000 --> 00:01:27.000]  我們要再一次獻上自己的生命
[00:01:27.000 --> 00:01:28.000]  給我們的主
[00:01:28.000 --> 00:01:30.000]  我們的神
[00:01:30.000 --> 00:01:32.000]  今天我們會看
[00:01:32.000 --> 00:01:34.000]  《馬太福音》第四章
[00:01:34.000 --> 00:01:36.000]  《馬太福音》第四章
[00:01:36.000 --> 00:01:38.000]  是講到主耶穌基督受試探
[00:01:38.000 --> 00:01:40.000]  由第十二節開始
[00:01:40.000 --> 00:01:42.000]  就講到主耶穌
[00:01:42.000 --> 00:01:44.000]  起來服事
[00:01:44.000 --> 00:01:46.000]  在第四章之前
[00:01:46.000 --> 00:01:49.000]  是講到主耶穌基督的寓言
[00:01:49.000 --> 00:01:51.000]  出生
[00:01:51.000 --> 00:01:54.000]  祂的出生和施洗的一項
[00:01:54.000 --> 00:01:56.000]  我們叫做施洗
[00:01:56.000 --> 00:01:59.000]  這就是《馬太福音》第四章
[00:01:59.000 --> 00:02:01.000]  主耶穌基督受試探
[00:02:01.000 --> 00:02:02.000]  也是御苦期裏面
[00:02:02.000 --> 00:02:04.000]  一個極之重要的事件
[00:02:04.000 --> 00:02:06.000]  我們學校主耶穌
[00:02:06.000 --> 00:02:07.000]  但在聖經裏面
[00:02:07.000 --> 00:02:09.000]  講到主耶穌基督受試探
[00:02:09.000 --> 00:02:11.000]  不是單單《馬太福音》第四章這段經文
[00:02:11.000 --> 00:02:13.000]  包括《路加福音》
[00:02:13.000 --> 00:02:15.000]  同樣第四章這段經文
[00:02:15.000 --> 00:02:16.000]  不過當我們看
[00:02:16.000 --> 00:02:17.000]  耶穌基督受試探
[00:02:17.000 --> 00:02:19.000]  《路加福音》和《馬太福音》
[00:02:19.000 --> 00:02:22.000]  我們發現原來有些分別
[00:02:22.000 --> 00:02:24.000]  很簡單
[00:02:24.000 --> 00:02:25.000]  《馬太福音》第四章
[00:02:25.000 --> 00:02:27.000]  講到主耶穌基督受試探之前
[00:02:27.000 --> 00:02:28.000]  就講到那件事
[00:02:28.000 --> 00:02:29.000]  就是主耶穌基督
[00:02:29.000 --> 00:02:30.000]  去到約旦河那裏
[00:02:30.000 --> 00:02:31.000]  施洗的一項
[00:02:31.000 --> 00:02:33.000]  我們叫做施洗
[00:02:33.000 --> 00:02:38.000]  以致第三章最後一句說話
[00:02:38.000 --> 00:02:41.000]  當主耶穌基督在約旦河裏面
[00:02:41.000 --> 00:02:43.000]  起來的時候
[00:02:43.000 --> 00:02:44.000]  第十七節說
[00:02:44.000 --> 00:02:47.000]  這時天上有聲音說
[00:02:47.000 --> 00:02:49.000]  這是我的愛子
[00:02:49.000 --> 00:02:51.000]  我所喜愛的
[00:02:51.000 --> 00:02:54.000]  接著聖靈就引導主耶穌基督
[00:02:54.000 --> 00:02:56.000]  去曠野受試探
[00:02:56.000 --> 00:02:59.000]  而在《路加福音》第四章
[00:02:59.000 --> 00:03:01.000]  在主耶穌基督在約旦河
[00:03:01.000 --> 00:03:03.000]  被施洗的一項施洗之後
[00:03:03.000 --> 00:03:05.000]  這件事件
[00:03:05.000 --> 00:03:08.000]  和主耶穌基督受試探
[00:03:08.000 --> 00:03:10.000]  這件事件中間
[00:03:10.000 --> 00:03:13.000]  約旦河的作者
[00:03:13.000 --> 00:03:16.000]  特別加了主耶穌基督的家譜
