
[00:00:00.000 --> 00:00:07.000]  今天我想跟大家思想一個主題,就是上帝的願想
[00:00:07.000 --> 00:00:12.000]  我不知道大家有沒有什麼願想
[00:00:12.000 --> 00:00:17.000]  當我想到願想或者願望的時候
[00:00:17.000 --> 00:00:22.000]  我就想到其實人去到不同的年齡階段
[00:00:22.000 --> 00:00:25.000]  都會有不同的願想
[00:00:25.000 --> 00:00:30.000]  而我們的願想可能都會受到我們的家庭的影響
[00:00:30.000 --> 00:00:36.000]  朋友影響或者社會影響,有不同的願想
[00:00:36.000 --> 00:00:40.000]  我們有些的願想是可能已經實現了
[00:00:40.000 --> 00:00:45.000]  有些就可能是還沒實現
[00:00:45.000 --> 00:00:51.000]  也有可能就是一些同事的願想一早已經放棄了
[00:00:51.000 --> 00:00:57.000]  以我自己為例,我小時候,年輕的時候
[00:00:57.000 --> 00:01:00.000]  爸爸很想我做會計師
[00:01:00.000 --> 00:01:09.000]  當年香港的會計師這個行業是比較容易賺錢的
[00:01:09.000 --> 00:01:14.000]  那個時候美國對一些產品
[00:01:14.000 --> 00:01:19.000]  或者由香港出口的產品有配額制度
[00:01:19.000 --> 00:01:23.000]  要申請配額就要找會計師幫忙
[00:01:23.000 --> 00:01:28.000]  爸爸可能知道會計師真好,簽個名就有錢收的了
[00:01:28.000 --> 00:01:39.000]  所以鼓勵我成為會計師,變成了我的願想
[00:01:39.000 --> 00:01:49.000]  這一個願想是實現了,雖然我沒有機會讀大學
[00:01:49.000 --> 00:01:54.000]  中學的時候不小心就出來社會工作了
[00:01:54.000 --> 00:01:59.000]  但是18歲的時候,大了18歲的時候信了主
[00:01:59.000 --> 00:02:01.000]  19歲就抵禮了
[00:02:01.000 --> 00:02:05.000]  靠著上帝的恩典,工作之餘
[00:02:05.000 --> 00:02:09.000]  就去讀夜校,讀英文和會計
[00:02:09.000 --> 00:02:14.000]  後來終於可以成為英國會計師公會學生
[00:02:14.000 --> 00:02:17.000]  參加他們的考試
[00:02:17.000 --> 00:02:21.000]  靠著上帝的恩典,考了三年
[00:02:21.000 --> 00:02:26.000]  終於成功完成了,通過了18個科目
[00:02:26.000 --> 00:02:31.000]  成為了認可合格的會計師
[00:02:31.000 --> 00:02:35.000]  這個是實現不了的願想
[00:02:35.000 --> 00:02:39.000]  我40歲之後想成為律師
[00:02:39.000 --> 00:02:42.000]  原來在澳洲做律師不一定要讀書
[00:02:42.000 --> 00:02:44.000]  是可以考考試的
[00:02:44.000 --> 00:02:49.000]  於是在晚上的時候又去上課,又去考試
[00:02:49.000 --> 00:02:54.000]  終於考完所有的試,但是這個願想實現不了
[00:02:54.000 --> 00:02:58.000]  因為上帝想我去讀神學,做牧師
