
[00:00:00.000 --> 00:00:02.000]  各位聽聽師傅 願你們平安
[00:00:02.000 --> 00:00:05.000]  今天是福音主日
[00:00:05.000 --> 00:00:09.000]  想和大家思考一個很基本的問題
[00:00:09.000 --> 00:00:11.000]  真理是什麼
[00:00:11.000 --> 00:00:14.000]  今天想和大家看的就是
[00:00:14.000 --> 00:00:18.000]  讓我們能夠分辨是非的真理
[00:00:18.000 --> 00:00:21.000]  我們首先問一下 在現今的世界
[00:00:21.000 --> 00:00:25.000]  什麼是分辨是非的真理呢
[00:00:25.000 --> 00:00:28.000]  讓我們看看美國的統計
[00:00:30.000 --> 00:00:33.000]  超過六成的人承認自己
[00:00:33.000 --> 00:00:37.000]  會在需要的時候撒謊
[00:00:37.000 --> 00:00:41.000]  超過一半的人承認自己將會
[00:00:41.000 --> 00:00:46.000]  或者已經對配偶不忠
[00:00:46.000 --> 00:00:51.000]  另外 為了一千萬美金
[00:00:51.000 --> 00:00:55.000]  有四分之一的人 已離開自己的家庭
[00:00:55.000 --> 00:01:01.000]  四分之一的人甚至已出賣自己的身體
[00:01:01.000 --> 00:01:04.000]  賣淫一個星期
[00:01:04.000 --> 00:01:06.000]  有百分之七的人
[00:01:06.000 --> 00:01:12.000]  甚至已殺一個自己完全不認識的人
[00:01:12.000 --> 00:01:16.000]  對這些人來說 真理是什麼
[00:01:16.000 --> 00:01:21.000]  你可能問 他們或者有真理
[00:01:21.000 --> 00:01:25.000]  但他們的真理的價值和我們不同
[00:01:25.000 --> 00:01:27.000]  他們的價值觀和我們不同
[00:01:27.000 --> 00:01:30.000]  就是說 真理沒有一個絕對的標準
[00:01:30.000 --> 00:01:34.000]  換句話來說 真理是相對的
[00:01:34.000 --> 00:01:39.000]  一個在美國很出名的哲學家
[00:01:39.000 --> 00:01:41.000]  他的名字叫Allen Bloom
[00:01:41.000 --> 00:01:46.000]  他在1960至1987年曾經在很多美國出名的大學
[00:01:46.000 --> 00:01:50.000]  教過 包括耶魯 芝加哥和康乃爾等等
[00:01:50.000 --> 00:01:55.000]  以下就是他對當時大學生的一個評語
[00:01:55.000 --> 00:02:01.000]  記得這是1960年前 現在差不多50年
[00:02:01.000 --> 00:02:04.000]  很簡單 幾乎每一個人 每一個學生
[00:02:04.000 --> 00:02:08.000]  都認為真理是相對的
[00:02:08.000 --> 00:02:14.000]  另外 美國有一個很出名的藝人叫Oprah Winfrey
[00:02:14.000 --> 00:02:19.000]  他甚至說 如果相信只有一個真理 是一個極大的錯誤
[00:02:19.000 --> 00:02:26.000]  為什麼這麼多人認為沒有一個每個人都認同的真理呢
[00:02:26.000 --> 00:02:33.000]  是因為我們生在一個後現代主義的時代
[00:02:33.000 --> 00:02:38.000]  在這個主義之下 最重要的不是客觀的事實
[00:02:38.000 --> 00:02:42.000]  而是人主觀的感覺
[00:02:42.000 --> 00:02:50.000]  打個比方 在這個思想之下 如果你生下來是男性
[00:02:50.000 --> 00:02:52.000]  但如果你覺得自己是女人
[00:02:52.000 --> 00:02:56.000]  那你就是女人
[00:02:56.000 --> 00:03:02.000]  出生的時候是女的 如果後來覺得自己是男的
[00:03:02.000 --> 00:03:05.000]  那他就是男的
[00:03:05.000 --> 00:03:10.000]  就是說 每個人都可以決定自己的性別
[00:03:10.000 --> 00:03:18.000]  想問問大家 贊成這個想法的請舉手
[00:03:18.000 --> 00:03:21.000]  不贊成的請舉手
[00:03:21.000 --> 00:03:28.000]  我都看到有人沒有舉手 即是不知道
[00:03:28.000 --> 00:03:31.000]  我想絕大部分人都會反對這個思想
[00:03:31.000 --> 00:03:34.000]  覺得這是不可思議
[00:03:34.000 --> 00:03:40.000]  我們這種想法 最近已經在美國得到法律的保障
[00:03:40.000 --> 00:03:45.000]  在去年五月 美國通過一個稱為Title IX的法例
[00:03:45.000 --> 00:03:52.000]  在學校保障那些認為自己性別和出生的時候不同的人權益
[00:03:52.000 --> 00:03:57.000]  就是說 如果一個人生來是男的
[00:03:57.000 --> 00:04:01.000]  如果他覺得自己是女的 他就可以用女的洗手間
[00:04:01.000 --> 00:04:05.000]  如果一個人生來是女的
[00:04:05.000 --> 00:04:10.000]  如果他覺得自己是男的 就可以用男的洗手間
[00:04:10.000 --> 00:04:12.000]  不單是這樣
[00:04:12.000 --> 00:04:18.000]  他們不需要經過醫生的證實和接受手術
[00:04:18.000 --> 00:04:20.000]  就可以自己決定自己的性別
[00:04:20.000 --> 00:04:25.000]  就有權進入他們覺得屬於自己性別的洗手間
[00:04:25.000 --> 00:04:29.000]  不可思議 是不是
[00:04:29.000 --> 00:04:31.000]  如果再想一下
[00:04:31.000 --> 00:04:39.000]  這個就是一個認為真理是相對的後現代主義下產生的結果
[00:04:39.000 --> 00:04:42.000]  這樣真理是什麼呢
[00:04:42.000 --> 00:04:44.000]  是絕對的嗎
[00:04:44.000 --> 00:04:48.000]  這樣絕對的真理是什麼呢
[00:04:48.000 --> 00:04:51.000]  這些是影響深遠的問題
[00:04:51.000 --> 00:04:56.000]  我想今天來到這個福音主義日的朋友
[00:04:56.000 --> 00:04:59.000]  無論你是基督徒還是武道的朋友
[00:04:59.000 --> 00:05:05.000]  可能是在學習或追尋什麼是真理
[00:05:05.000 --> 00:05:10.000]  其實這個問題不單是現代人問的問題
[00:05:10.000 --> 00:05:16.000]  二千年前 聖經裡面有人說到同樣的問題
[00:05:16.000 --> 00:05:19.000]  在我們看今天的聖經之前
[00:05:19.000 --> 00:05:24.000]  讓我們一同低頭禱告
[00:05:24.000 --> 00:05:27.000]  慈愛聖結公元的父神
[00:05:27.000 --> 00:05:31.000]  感謝祢今天讓我們有機會在聖經裡面
[00:05:31.000 --> 00:05:34.000]  多明白一些真理是什麼
[00:05:34.000 --> 00:05:38.000]  求祢的聖靈在當中開我們的心
[00:05:38.000 --> 00:05:42.000]  讓我們知道怎樣可以成為屬於真理的人
[00:05:42.000 --> 00:05:46.000]  禱告是奉我們榮譽的主耶穌基督保護的名
[00:05:46.000 --> 00:05:48.000]  阿們
[00:05:48.000 --> 00:05:56.000]  今天講到的經文是宇航福音十八章三十三至三十八節
[00:05:56.000 --> 00:05:58.000]  在我們看這段經文之前
[00:05:58.000 --> 00:06:02.000]  讓我們先看看這個經文的背景
[00:06:02.000 --> 00:06:05.000]  猶太祭司長綁著耶穌
[00:06:05.000 --> 00:06:10.000]  去當時的總督比亞多處死他
[00:06:10.000 --> 00:06:12.000]  什麼罪名呢
[00:06:12.000 --> 00:06:15.000]  因為耶穌自稱為王
[00:06:15.000 --> 00:06:17.000]  為什麼要用這個罪名呢
[00:06:17.000 --> 00:06:24.000]  因為當時羅馬帝國不會容許任何人自立王國
[00:06:24.000 --> 00:06:29.000]  其實猶太人不是因為這個原因想要殺死耶穌
[00:06:29.000 --> 00:06:32.000]  而是因為耶穌曾經宣告自己是神的兒子
[00:06:32.000 --> 00:06:34.000]  與神同等
[00:06:34.000 --> 00:06:36.000]  有著這個背景
[00:06:36.000 --> 00:06:39.000]  就讓我們一起讀今天的經文
[00:06:39.000 --> 00:06:40.000]  預備請
[00:06:40.000 --> 00:06:43.000]  比亞多又進了衙門
[00:06:43.000 --> 00:06:47.000]  叫耶穌來對他說你是猶太人的王嗎
[00:06:47.000 --> 00:06:49.000]  耶穌回答說
[00:06:49.000 --> 00:06:51.000]  這是你自己說的
[00:06:51.000 --> 00:06:54.000]  還是別人輪我對你說的呢
[00:06:54.000 --> 00:06:55.000]  比亞多說
[00:06:55.000 --> 00:06:57.000]  我豈是猶太人呢
[00:06:57.000 --> 00:07:01.000]  你本國的人和祭司長把你交給我
[00:07:01.000 --> 00:07:03.000]  你作了什麼事呢
[00:07:03.000 --> 00:07:04.000]  耶穌回答說
[00:07:04.000 --> 00:07:06.000]  我的國不屬這世界
[00:07:06.000 --> 00:07:08.000]  我的國若屬這世界
[00:07:08.000 --> 00:07:11.000]  我的臣僕必要征戰
[00:07:11.000 --> 00:07:14.000]  因我不至於被交給猶太人
[00:07:14.000 --> 00:07:17.000]  只是我的國不屬這世界
[00:07:17.000 --> 00:07:19.000]  比亞多就對他說
[00:07:19.000 --> 00:07:21.000]  這樣你是王嗎
[00:07:21.000 --> 00:07:22.000]  耶穌回答說
[00:07:22.000 --> 00:07:24.000]  你說我是王
[00:07:24.000 --> 00:07:25.000]  我為此而生
[00:07:25.000 --> 00:07:27.000]  也為此來這世界
[00:07:27.000 --> 00:07:30.000]  特為給真理作見證
[00:07:30.000 --> 00:07:33.000]  凡屬真理的人就聽我的話
[00:07:33.000 --> 00:07:34.000]  比亞多說
[00:07:34.000 --> 00:07:36.000]  真理是什麼呢
[00:07:36.000 --> 00:07:37.000]  說你這話
[00:07:37.000 --> 00:07:39.000]  由出來到猶太人那裡
[00:07:39.000 --> 00:07:40.000]  對他們說
[00:07:40.000 --> 00:07:43.000]  我查不出他有什麼罪來
[00:07:43.000 --> 00:07:44.000]  比亞多說的
[00:07:44.000 --> 00:07:47.000]  真理是什麼這句話
[00:07:47.000 --> 00:07:52.000]  其實不是想在耶穌那裡得到答案
[00:07:52.000 --> 00:07:54.000]  因為在問的時候
[00:07:54.000 --> 00:07:56.000]  他沒有聽耶穌的回答
[00:07:56.000 --> 00:07:59.000]  就馬上去到猶太人那裡
[00:07:59.000 --> 00:08:00.000]  對他們說
[00:08:00.000 --> 00:08:03.000]  我查不出耶穌有什麼罪
[00:08:03.000 --> 00:08:04.000]  這樣
