
[00:00:00.000 --> 00:00:02.880]  我們這四年來在《利是米記》的系列
[00:00:02.880 --> 00:00:06.180]  都在思考有11個我們每個基督徒
[00:00:06.180 --> 00:00:09.120]  都會面對的人生的挑戰
[00:00:09.120 --> 00:00:12.980]  今天和大家分享一個題目叫「從沒有放棄」
[00:00:12.980 --> 00:00:15.440]  就是當我們在人生裡
[00:00:15.440 --> 00:00:17.600]  無論是侍奉或是家庭
[00:00:17.600 --> 00:00:20.720]  無論是工作或是人生的路途上
[00:00:20.720 --> 00:00:24.160]  必定會有機會遇到挑戰或難阻
[00:00:24.160 --> 00:00:25.920]  或是挫折
[00:00:25.920 --> 00:00:27.080]  當我們面對的時候
[00:00:27.080 --> 00:00:29.640]  我們應該用什麼態度去面對呢?
[00:00:29.640 --> 00:00:32.640]  我們來看看聖經裡的「利是米記」
[00:00:32.640 --> 00:00:37.080]  帶給我們看如何從沒有放棄的主題
[00:00:37.080 --> 00:00:41.440]  我想我們每個基督徒在順了主之後
[00:00:41.440 --> 00:00:45.600]  除了我們知道可以得到一個天堂入場券
[00:00:45.600 --> 00:00:49.160]  或者有人說在地上我們能夠明白到
[00:00:49.160 --> 00:00:53.240]  一個人生的目標、標竿之外
[00:00:53.240 --> 00:00:55.080]  有一件事必定會面對的就是
[00:00:55.080 --> 00:00:57.360]  在我們人生當中、在我們家庭當中
[00:00:57.360 --> 00:00:59.840]  在我們教會當中、在人際關係當中
[00:00:59.840 --> 00:01:02.960]  必定會有機會遇到挫折
[00:01:02.960 --> 00:01:06.480]  這也是特別在神的工作中
[00:01:06.480 --> 00:01:07.600]  都敢寫包單的
[00:01:07.600 --> 00:01:11.760]  不僅是我們在人與人之間的相處當中
[00:01:11.760 --> 00:01:13.480]  更加有我們的仇敵
[00:01:13.480 --> 00:01:16.520]  會去安排一些困難
[00:01:16.520 --> 00:01:20.200]  令我們放棄神的工作
[00:01:20.200 --> 00:01:24.520]  我們經常說萬事起頭難
[00:01:24.520 --> 00:01:28.240]  但是創業難,首業更加難
[00:01:28.240 --> 00:01:29.360]  當你開始的時候
[00:01:29.360 --> 00:01:31.840]  可能就是你剛剛領受到一個意象
[00:01:31.840 --> 00:01:34.440]  剛剛有這樣的passion
[00:01:34.440 --> 00:01:38.360]  有這樣的感覺繼續走下去
[00:01:38.360 --> 00:01:41.840]  你腎上腺升高
[00:01:41.840 --> 00:01:46.120]  再加上找我們的樂隊來唱一些很激勵性的
[00:01:46.120 --> 00:01:48.120]  熱血沸騰的歌曲
[00:01:48.120 --> 00:01:51.040]  開一個分享大會
[00:01:51.040 --> 00:01:55.120]  讓大家被挑動的情緒投入
[00:01:55.120 --> 00:01:59.560]  大家開始的時候是很認真、很熱血沸騰
[00:01:59.560 --> 00:02:01.320]  很願意去投身的
[00:02:01.320 --> 00:02:03.200]  但是慢慢走下去的時候
[00:02:03.200 --> 00:02:05.000]  就會發覺遇到很多困難
[00:02:05.000 --> 00:02:07.000]  遇到很多阻滯
[00:02:07.000 --> 00:02:11.480]  遇到很多像李米記、Lisa所說的不同的挑戰
[00:02:11.480 --> 00:02:13.960]  於是我們就想放棄
[00:02:13.960 --> 00:02:18.120]  這也是我們人生中遇到很多情況都是這樣的
[00:02:18.120 --> 00:02:21.200]  譬如聖經裡經常說要跑步
[00:02:21.200 --> 00:02:22.720]  要跑馬拉松
[00:02:22.720 --> 00:02:25.520]  頭那一兩里可能真的熱血沸騰
[00:02:25.520 --> 00:02:31.520]  我們去吧!馬拉松要跑完它
[00:02:31.520 --> 00:02:33.000]  但是你跑到一半的時候
[00:02:33.000 --> 00:02:35.760]  你就想回頭或者想放棄
[00:02:35.760 --> 00:02:37.760]  因為已經頂不住了
[00:02:37.760 --> 00:02:40.960]  又或者我們這些new year resolution
[00:02:40.960 --> 00:02:42.400]  一開庭的時候
[00:02:42.400 --> 00:02:48.680]  我要在今年裡面讀完舊約、讀完本聖經
[00:02:48.680 --> 00:02:50.600]  又或者開始的時候很熱血沸騰
[00:02:50.600 --> 00:02:52.560]  很快看完《創世紀》
[00:02:52.560 --> 00:02:54.880]  但是一去到《初一級記》
[00:02:54.880 --> 00:02:58.160]  信徒永遠都出不去埃及了
[00:02:58.160 --> 00:03:00.320]  每年的resolution都是這樣
[00:03:00.320 --> 00:03:03.080]  在婚姻起迷也一樣
[00:03:03.080 --> 00:03:11.360]  我在人生裡面也不下去跟超過一百對新人去證婚
[00:03:11.360 --> 00:03:14.000]  某一個在證婚裡面還會說
[00:03:14.000 --> 00:03:17.760]  我不打算婚姻成功
[00:03:17.760 --> 00:03:20.960]  隨時會分開
[00:03:20.960 --> 00:03:24.080]  每個人都說我願意一生一世一夫一妻
[00:03:24.080 --> 00:03:26.120]  每個人都說我願意
[00:03:26.120 --> 00:03:28.880]  因為起先的時候你愛對方
[00:03:28.880 --> 00:03:29.680]  對方愛你
[00:03:29.680 --> 00:03:31.680]  熱血沸騰
[00:03:31.680 --> 00:03:34.120]  打算一生一世跟這個人走下去
[00:03:34.120 --> 00:03:38.400]  很羅曼蒂克的白馬王子和白雪公主的故事
[00:03:38.400 --> 00:03:42.480]  但是為了走下去的時候又面對經濟的問題
[00:03:42.480 --> 00:03:44.040]  溝通的問題
[00:03:44.040 --> 00:03:47.440]  或者是教養子女的問題
[00:03:47.440 --> 00:03:48.640]  婆媳關係的問題
[00:03:48.640 --> 00:03:50.840]  很多這些挑戰
[00:03:50.840 --> 00:03:52.960]  於是有些人就放棄了
[00:03:52.960 --> 00:03:54.720]  當你看回頭的時候
[00:03:54.720 --> 00:03:57.840]  他們抉擇毀身那一刻是沒有問題的
[00:03:57.840 --> 00:04:02.960]  但是慢慢下去遇到挑戰艱難困境的時候
[00:04:02.960 --> 00:04:05.720]  他們就會考慮去放棄
[00:04:05.720 --> 00:04:09.960]  這也許是我們侍奉的時候
[00:04:09.960 --> 00:04:11.480]  在主的裡面
[00:04:11.480 --> 00:04:14.400]  當我們去完一次的奮興會
[00:04:14.400 --> 00:04:17.160]  願意在神裡面重新立志
[00:04:17.160 --> 00:04:18.280]  一旦遇到挫折
[00:04:18.280 --> 00:04:20.080]  人的閒言閒語
[00:04:20.080 --> 00:04:22.160]  一些困難
[00:04:22.160 --> 00:04:24.600]  周圍的隱憂
[00:04:24.600 --> 00:04:25.360]  思念
[00:04:25.360 --> 00:04:28.200]  於是我們就很容易放棄
[00:04:28.200 --> 00:04:28.960]  弟兄姊妹
[00:04:28.960 --> 00:04:32.440]  我不知道你曾經在上帝面前立過什麼約
[00:04:32.440 --> 00:04:33.200]  無論是婚姻
[00:04:33.200 --> 00:04:34.240]  無論是侍奉
[00:04:34.240 --> 00:04:36.880]  無論是其他的一些抉擇
[00:04:36.880 --> 00:04:39.080]  可能今天你已經走到筋疲力盡
[00:04:39.080 --> 00:04:41.280]  沒有辦法再走下去
[00:04:41.280 --> 00:04:44.280]  我想我們的信仰其中一個很重要的地方就是
[00:04:44.280 --> 00:04:46.080]  不僅給我們一個天堂立場
[00:04:46.080 --> 00:04:49.240]  更加我們是能夠有這樣的力量
[00:04:49.240 --> 00:04:51.000]  好像保羅所說
[00:04:51.000 --> 00:04:52.040]  我們有者
[00:04:52.040 --> 00:04:53.760]  寶貝放在瓦器裡面
[00:04:53.760 --> 00:04:55.720]  是要顯明要莫大能力
