
[00:00:00.000 --> 00:00:03.800]  請祖母平安,請我們一起低頭祈禱
[00:00:03.800 --> 00:00:07.260]  三十天後,我們要感謝寨美里自己的恩典
[00:00:07.260 --> 00:00:10.760]  在主耶穌的精神,我們可以一起聚集
[00:00:10.760 --> 00:00:12.720]  敬拜寨美里
[00:00:12.720 --> 00:00:16.840]  並且可以學習聖經的教導
[00:00:16.840 --> 00:00:19.220]  來求聖靈在我們中間動工
[00:00:19.220 --> 00:00:22.140]  幫助我們能夠明白這句話
[00:00:22.140 --> 00:00:27.380]  並且能夠在日常生活中實踐主的教導
[00:00:27.380 --> 00:00:29.620]  奉耶穌基督的名祈禱
[00:00:29.620 --> 00:00:35.300]  我相信,自古至今
[00:00:35.300 --> 00:00:39.140]  一般人,包括不同族裔的人
[00:00:39.140 --> 00:00:42.040]  都有一個共同的特性
[00:00:42.040 --> 00:00:46.940]  就是很喜歡成功所帶來的榮譽
[00:00:46.940 --> 00:00:50.900]  上星期,張傳道跟我們講過
[00:00:50.900 --> 00:00:54.280]  羅馬將軍和他所帶領的軍隊
[00:00:54.280 --> 00:00:56.880]  海船回國的時候
[00:00:56.880 --> 00:00:59.420]  會舉辦大遊行
[00:00:59.420 --> 00:01:03.060]  民眾會出來歡迎他們
[00:01:03.060 --> 00:01:06.140]  還會燒香,發出香氣
[00:01:06.140 --> 00:01:08.460]  打勝仗的張軍
[00:01:08.460 --> 00:01:11.960]  在這個時候,一定是騎白馬的
[00:01:11.960 --> 00:01:14.300]  演出他的榮耀
[00:01:14.300 --> 00:01:19.360]  羅馬的文化,其實是很喜歡競技的
[00:01:19.360 --> 00:01:24.380]  在哥林多前書,九章二十五節就提到
[00:01:24.380 --> 00:01:30.900]  凡參加競賽的,在各方面都要有節制
[00:01:30.900 --> 00:01:35.640]  他們不過是要得會扭壞的冠冕
[00:01:35.640 --> 00:01:40.060]  我們卻是要得不會扭壞的冠冕
[00:01:40.060 --> 00:01:43.780]  得到冠冕的人,當然是得到榮譽
[00:01:43.780 --> 00:01:45.980]  使自己面上有光,對不對?
[00:01:45.980 --> 00:01:49.180]  所以,我們看到羅馬的文化
[00:01:49.180 --> 00:01:51.460]  都是很喜歡運動的
[00:01:51.460 --> 00:01:55.200]  現代澳洲人也是
[00:01:55.200 --> 00:01:58.860]  特別喜歡成功的運動員
[00:01:58.860 --> 00:02:03.880]  上個星期一是英女皇生日的公眾假期
[00:02:03.880 --> 00:02:06.640]  除了放假一天之外
[00:02:06.640 --> 00:02:13.860]  按照傳統,還會在那天頒獎章給一些為國家有貢獻的人
[00:02:13.860 --> 00:02:18.180]  今年,我們有 992 人獲得獎章
[00:02:18.180 --> 00:02:21.740]  其中包括了兩位運動員
[00:02:21.740 --> 00:02:26.860]  一位是剛剛去世沒多久的板球員
[00:02:26.860 --> 00:02:28.860]  Shane Wong
[00:02:28.860 --> 00:02:34.340]  還有是剛剛退休的女子網球員
[00:02:34.340 --> 00:02:36.340]  Ash Barty
[00:02:36.340 --> 00:02:42.020]  他們兩位都是體育界非常有榮光的運動員
[00:02:42.020 --> 00:02:46.940]  現在再頒獎給他們,只不過是錦上添花
[00:02:46.940 --> 00:02:51.620]  在《聖經》中,也給我們看到
[00:02:51.620 --> 00:02:56.700]  上帝都是時時藉著榮光向人顯現的
[00:02:56.700 --> 00:02:59.900]  有我們看兩節的經文
[00:02:59.900 --> 00:03:02.940]  都是在出《埃及記》的
[00:03:02.940 --> 00:03:08.740]  第一次我們先看出《埃及記》 16 章 10 節
[00:03:08.740 --> 00:03:15.340]  「阿倫正對以色列傳會眾說話的時候
[00:03:15.340 --> 00:03:17.940]  他們轉向看夜
[00:03:17.940 --> 00:03:23.220]  看!耶和華的榮光在雲中顯現」
[00:03:23.220 --> 00:03:30.340]  在《埃及記》 40 章 34 節是這樣記載
[00:03:30.340 --> 00:03:33.940]  「那時雲彩遮蓋回眸
[00:03:33.940 --> 00:03:38.420]  耶和華的榮光充滿了帳幕」
[00:03:38.420 --> 00:03:47.380]  在《以西結書》 43 章 2-5 節
[00:03:47.380 --> 00:03:50.260]  《以西結》才看到一個異象
[00:03:50.260 --> 00:03:53.580]  是關於上帝的榮光
[00:03:53.580 --> 00:03:55.580]  是這麼說的
[00:03:55.580 --> 00:04:00.780]  「那以西列上帝的榮光從東而來
[00:04:00.780 --> 00:04:04.540]  祂的聲音如同眾水的響聲
[00:04:04.540 --> 00:04:08.660]  帝因祂的榮耀發光
[00:04:08.660 --> 00:04:14.660]  耶和華的榮光從朝東的門照入殿中
[00:04:14.660 --> 00:04:18.500]  鈴將我舉起,帶入內院
[00:04:18.500 --> 00:04:24.260]  看!耶和華的榮光充滿了殿」
[00:04:24.260 --> 00:04:29.060]  在今天我們要思想的經文中
[00:04:29.060 --> 00:04:33.860]  提到很多次榮光和面紗
[00:04:33.860 --> 00:04:38.660]  讓我簡單講講歷史背景
[00:04:38.660 --> 00:04:41.260]  當以色列人出了埃及之後
[00:04:41.260 --> 00:04:46.660]  摩西就帶領他們到西內山或者河列山
[00:04:46.660 --> 00:04:49.260]  這個山有兩個名字
[00:04:49.260 --> 00:04:51.460]  都是同一個山
[00:04:51.460 --> 00:04:55.060]  在那裡上帝和以色列人立約
[00:04:55.060 --> 00:05:00.660]  也將十條誡命寫在兩塊石板上
[00:05:00.660 --> 00:05:05.460]  但是由於摩西上山見上帝的時間太長
[00:05:05.460 --> 00:05:08.860]  人民在山下等得不耐煩
[00:05:08.860 --> 00:05:11.060]  又不知道摩西的下落
[00:05:11.060 --> 00:05:13.260]  就要求祭司阿倫
[00:05:13.260 --> 00:05:16.060]  和他們做一隻金牛代表上帝
[00:05:16.060 --> 00:05:19.260]  帶他們回去埃及
[00:05:19.260 --> 00:05:22.660]  當他們做完金牛後
[00:05:22.660 --> 00:05:27.860]  人民還舉行敬拜和很大的慶祝會
