
[00:00:00.000 --> 00:00:07.280]  主持人:今天是我們的掰餅主日,每一個月的第一個主日,我們興旺愛就是掰餅主日。
[00:00:07.280 --> 00:00:16.800]  我們的教會一個月撥一次餅,每一個教會都不一樣,我知道有些教會他們每一週都掰餅。
[00:00:16.800 --> 00:00:29.120]  我知道有的人他天天都掰餅,天天都自己一個人在主的面前掰餅,紀念主,紀念主耶穌為我們所做的。
[00:00:29.120 --> 00:00:40.540]  我不知道你們對掰餅還有對十字架的認識有多少,其實掰餅的主角跟重點就是在我們的耶穌基督。
[00:00:40.540 --> 00:00:49.800]  因為耶穌基督在十字架上所完成的工作是帶著永恆超自然的大能,
[00:00:49.800 --> 00:00:58.560]  所以不論是在靈界的還是在物質界的,十字架都為我們提供了恩典跟能力,提供了恩典的能力。
[00:00:58.560 --> 00:01:08.720]  那十字架所帶下來的祝福跟改變,是我超過我們所求所想的,所以我們一定要來認識我們的主跟我們的十字架。
[00:01:08.720 --> 00:01:20.800]  最近有一個姐妹她來跟我談她的婚姻,她跟我講了一些她婚姻裡面的一些難處,其實聽起來真的是挺沒有盼望的。
[00:01:20.800 --> 00:01:35.880]  但是她說,也許應該是做決定的時間了,那我就問她說,有沒有把這個決定帶到十字架面前來?
[00:01:35.880 --> 00:01:40.240]  那主怎麼說?主怎麼跟你說?
[00:01:40.240 --> 00:01:54.100]  所以我們就在主的面前一起就討論,我們有沒有為主背十字架,有沒有把我們婚姻中的十字架背在身上來跟隨主。
[00:01:54.100 --> 00:01:59.320]  結果我們講不到五分鐘,她就可以跟我一起感恩的禱告。
[00:01:59.320 --> 00:02:16.160]  所以親愛的弟兄姐妹,我今天到這裡的時候,我就想要來問你們,什麼是耶穌和祂的十字架在你生命中的位置?
[00:02:16.160 --> 00:02:19.000]  讓我們一起來思考,也讓我們一起來禱告。
[00:02:19.000 --> 00:02:34.560]  天父主耶穌,我們感謝讚美祢,親愛的聖靈,我們歡迎祢,在今天主的日子裡頭,主啊,我們思念祢在十字架上所為我們做的一切,那實在是超過我們所求所想的。
[00:02:34.560 --> 00:02:55.840]  那我們的弟兄姐妹,在今天的日子裡頭,我們都來認識祢,都來知道主啊,祢所成就的,祢能夠為我們成就的,主啊,我們就來寶貝,寶貝著我們所有的。謝謝祢,主耶穌,開我們心中的耳朵,開我們心中的眼睛,讓我們能夠今天就真實的來遇見祢。
[00:02:55.840 --> 00:03:01.180]  謝謝祢,主耶穌,奉耶穌的名祈禱,阿們,阿們,哈雷路亞。
[00:03:01.180 --> 00:03:14.600]  主:所以最近我們的小組在讀《羅馬書》,那大家都越讀越起勁,為什麼?因為我們有很熱烈的在討論這些《羅馬書》的內容。
[00:03:14.600 --> 00:03:33.140]  那大家呢,對音信稱譽這一個名詞,還是有一點覺得不是很清楚,但是保羅他在《羅馬書》裡面強調的精華和重點非常的簡單,就是回應約翰福音三章十六節:
[00:03:33.140 --> 00:03:50.160]  「神愛世人,甚至將他的獨生子賜給我們,使一切信他的,不致滅亡,反得永生。」就是這個一個字,所以信是整個我們的信仰的一個最基礎的部分。
[00:03:50.160 --> 00:04:06.120]  保羅他奉召做外邦人的使徒,保羅是奉召去做外邦人的使徒,他說救恩已經傳給所有的人了,包括外邦人,也包括以色列人和外邦人。
[00:04:06.120 --> 00:04:13.920]  所以當你只要你的手伸出去,你願意接受耶穌基督做你個人的救主,那你就得著了。
[00:04:13.920 --> 00:04:28.500]  你只要把手伸出去,你說我願意,你就可以得著。你知道約翰福音三章十六節,這句話的後面還有一句話,他說不信的罪已經定了。
[00:04:31.260 --> 00:04:47.800]  有一陣子我常常會覺得說,在傳福音的時候,跟人家傳福音,叫人家信耶穌,人家一信,趕快受洗,都覺得不太好,好像覺得有點太勉強人家了吧。
[00:04:47.800 --> 00:05:05.860]  但是我只要一想到這句話,不信的罪已經定了。我讀到這裡的時候,我就想說,所有的弟兄姊妹,所有的弟兄姊妹,有一天你們都要為你們所做的決定慶幸,你們要很感恩,很高興你們做了這個決定。
[00:05:05.860 --> 00:05:19.120]  為什麼呢?因為到了審判之日,到了審判之日,我們所要面對的,真的不是我們能夠想像的,等著審判來的時候,不是我們能夠想像的。
[00:05:20.100 --> 00:05:39.240]  保羅強調了第二個重點,他說我們得救不是靠行為。牧師說,靠行為也可以啦,如果你可以做到百分之百的話,這不可能的,我們不可能做到百分之百的,所以絕對是不可能靠行為的。
[00:05:39.240 --> 00:05:56.840]  保羅他就繼續強調這個百百的恩典,他說只要你要,這個禮物就是你的,這份救恩的禮物就是你的。所以保羅他解釋亞伯拉罕,他說亞伯拉罕他一離開他的故鄉烏爾的時候,這第一件事情就是一個信心。
[00:05:57.720 --> 00:06:11.000]  之後他告訴亞伯拉罕你要升以薩,也是一個信心。你們都知道他九十九歲才升以薩,這是什麼?是不可能的事情。
[00:06:11.000 --> 00:06:21.840]  然後他升完以薩之後,神叫他幹什麼?獻以薩,這又是另外一個信心了,這都是信心的功課。
[00:06:22.000 --> 00:06:31.280]  所以當神立約,祝福他升以薩,要獻以薩,這全都是建立在一個信心的功課上面。
[00:06:31.280 --> 00:06:45.960]  所以今天我就想要把我們這個天路的之旅分成三個部分來跟大家探討,第一個就是救贖,救恩,得救,第一個就是得救。
[00:06:47.160 --> 00:07:01.040]  我們來思考、回憶一下我們生命中最關鍵的時刻,我們最關鍵的時刻就是你蒙恩的過程,顧名思義什麼叫做得救?
[00:07:01.040 --> 00:07:12.000]  得救就是你從一個危難當中,你從一個困苦當中你被拯救出來,你是在什麼光景之下遇見耶穌的?
[00:07:13.800 --> 00:07:42.400]  之前我們可能都是軟弱的,貧窮窘迫的,而且被各樣難處捆綁的,但是當一個罪人來到十字架面前,十字架的大門進入到我們的生命之後,我們的心就得釋放,我們的病就得醫治,我們的生命就被主更新,人的一些問題就得到解決,生命也有了變化。
[00:07:42.760 --> 00:08:08.520]  那這個神白白的救恩就要帶出十字架的奧秘,十字架的奧秘是什麼?就是上帝將他的獨生子為我們死,你想想看,弟兄姊妹你想想看,我們的神要多忍耐才能夠閉著眼睛,不看他的兒子被踐踏、被鞭打,
[00:08:09.400 --> 00:08:21.800]  他要硬著他的心,讓他唯一的獨生愛子為我們死,且死在十字架上,這是神對人最高最深的愛。
[00:08:28.080 --> 00:08:47.800]  祂沒有留下一樣好處不給我們,在路加福音22章20節說,是主用血所立的新約為我們留的,然後在馬太福音從18章23節到27節裡面,耶穌講的最有力的兩個字是什麼?
