
[00:00:00.000 --> 00:00:04.880]  好,是一個大家都知道是講什麼的題目
[00:00:04.880 --> 00:00:06.680]  也是一個很敏感的題目
[00:00:06.680 --> 00:00:08.840]  也是一個想了很久
[00:00:08.840 --> 00:00:11.520]  不知道怎麼講的題目
[00:00:11.520 --> 00:00:15.200]  但是最近開始慢慢
[00:00:15.200 --> 00:00:20.360]  多一些歸納到一些想法
[00:00:20.360 --> 00:00:22.200]  以及在聖經裡面
[00:00:22.200 --> 00:00:25.960]  一些讀經都給我一些體會
[00:00:26.720 --> 00:00:31.920]  主要的經文我們會用利尾記十八章和二十章
[00:00:31.920 --> 00:00:33.120]  我們也揭一揭
[00:00:33.120 --> 00:00:40.880]  利尾記十八章二十二節
[00:00:40.880 --> 00:00:43.040]  以及利尾記二十章十三節
[00:00:43.040 --> 00:00:46.960]  我們先看利尾記十八章二十二節
[00:00:46.960 --> 00:00:49.880]  找到了吧
[00:00:49.880 --> 00:00:53.040]  利尾記十八章二十二節我們一起讀
[00:00:55.320 --> 00:01:00.320]  「我與男人像與女人一樣
[00:01:00.320 --> 00:01:03.680]  這本是可憎的號」
[00:01:03.680 --> 00:01:06.280]  差不多的經文
[00:01:06.280 --> 00:01:10.000]  在過了兩章二十章十三節又說
[00:01:10.000 --> 00:01:12.280]  我們看看二十章十三節怎麼說
[00:01:12.280 --> 00:01:13.560]  揭後一點
[00:01:13.560 --> 00:01:15.560]  二十章十三節
[00:01:15.560 --> 00:01:17.560]  我們也讀
[00:01:17.560 --> 00:01:20.760]  「人若與男人苟合
[00:01:20.760 --> 00:01:22.760]  像與女人一樣
[00:01:22.760 --> 00:01:25.880]  參沒二人行了可憎的事
[00:01:25.880 --> 00:01:28.120]  總要把貪污治死
[00:01:28.120 --> 00:01:30.800]  罪了歸到貪污身上」
[00:01:30.800 --> 00:01:32.120]  好,謝謝
[00:01:32.120 --> 00:01:35.960]  這一篇是兩節不同的經文
[00:01:35.960 --> 00:01:38.920]  在利尾記這一兩章
[00:01:38.920 --> 00:01:40.400]  主要是說
[00:01:40.400 --> 00:01:46.040]  怎樣人要在神的面前聖潔
[00:01:46.040 --> 00:01:47.560]  不要淫亂
[00:01:47.560 --> 00:01:49.080]  提到這一點
[00:01:49.080 --> 00:01:52.600]  大家都是中文人
[00:01:52.600 --> 00:01:54.840]  中文是你的母語
[00:01:54.840 --> 00:01:57.760]  我們讀下去的時候也很清楚
[00:01:57.760 --> 00:02:01.160]  是神憎惡的
[00:02:01.160 --> 00:02:04.440]  至於其實是什麼行為呢?
[00:02:04.440 --> 00:02:09.760]  以前二千多年、三千多年的文字
[00:02:09.760 --> 00:02:12.400]  這樣寫也很白了
[00:02:12.400 --> 00:02:14.960]  「不可以與男人苟合
[00:02:14.960 --> 00:02:16.440]  好像與女人一樣」
[00:02:16.440 --> 00:02:21.200]  很明顯說到男與女之間的性行為
[00:02:21.200 --> 00:02:24.840]  雖然有些未成年,但也長大了
[00:02:24.840 --> 00:02:27.800]  也知道男與女的性行為
[00:02:27.800 --> 00:02:31.080]  是神做人的時候,做男做女
[00:02:31.080 --> 00:02:35.120]  透過這個行為可以生產下一代
[00:02:35.120 --> 00:02:38.200]  是男與女之間的正常行為
[00:02:38.200 --> 00:02:42.440]  是神對男女之間的正常行為
[00:02:42.440 --> 00:02:45.920]  而不是神對女性之間的正常行為
[00:02:45.920 --> 00:02:47.840]  所以在這兩篇文章中
[00:02:47.840 --> 00:02:52.440]  男與女之間的正常行為是神賦予給人
[00:02:52.440 --> 00:02:57.920]  在婚姻裡面生產下一代的兒女
[00:02:57.920 --> 00:02:59.880]  是後代
[00:02:59.880 --> 00:03:01.920]  我們看過中文的記載
[00:03:01.920 --> 00:03:04.600]  我想這裏沒有什麼人會懷疑
[00:03:04.600 --> 00:03:08.960]  它其實是所指的其他事情
[00:03:08.960 --> 00:03:12.040]  也很清晰地說到這一點
[00:03:12.040 --> 00:03:17.280]  男本來正常地應該要跟一個女的
[00:03:17.280 --> 00:03:18.360]  所以這句話
[00:03:18.360 --> 00:03:20.760]  不可以與男人
[00:03:20.760 --> 00:03:22.800]  當時一個男士的社會
[00:03:22.800 --> 00:03:26.400]  講的多數是對象對著一個男人說話
[00:03:26.400 --> 00:03:30.440]  這個聖經也是對著一個男人說話
[00:03:30.440 --> 00:03:31.360]  你是男人
[00:03:31.360 --> 00:03:34.960]  你不可以與男人苟合像與女人一樣
[00:03:34.960 --> 00:03:36.560]  就是男與男不可以
[00:03:36.560 --> 00:03:37.680]  明白嗎?
[00:03:37.680 --> 00:03:38.680]  不可以
[00:03:38.680 --> 00:03:39.880]  王合本是這樣翻譯
[00:03:39.880 --> 00:03:41.840]  到新譯本
[00:03:41.840 --> 00:03:45.080]  它有時候字眼上的譯法會不同
[00:03:45.080 --> 00:03:46.520]  大家可以回去參考一下
[00:03:46.520 --> 00:03:47.520]  有時候我們插經
[00:03:47.520 --> 00:03:49.480]  也是多看幾個不同的譯本
[00:03:49.480 --> 00:03:50.560]  它就是說
[00:03:50.560 --> 00:03:55.080]  不可以與男人同睡交合
[00:03:55.080 --> 00:03:58.280]  現代中文譯本就要更加清晰
