
[00:00:00.000 --> 00:00:01.720]  讓我們先聽神的導議
[00:00:01.720 --> 00:00:03.320]  讓我們一起同心禱告
[00:00:03.320 --> 00:00:04.720]  讓我們一起提頭祈禱
[00:00:30.000 --> 00:00:32.000]  我們作為一個基督徒
[00:00:32.000 --> 00:00:34.000]  我們可以用不同的方式去敬拜
[00:00:34.000 --> 00:00:36.000]  不同的方式去學習
[00:00:36.000 --> 00:00:38.000]  求主你願意同在
[00:00:38.000 --> 00:00:40.000]  幫助我們每一個人能夠明白主理的道理
[00:00:40.000 --> 00:00:42.000]  我們親愛的父神跟Sandy
[00:00:42.000 --> 00:00:44.000]  給我們今天能夠再一次
[00:00:44.000 --> 00:00:46.000]  能夠一起來到
[00:00:46.000 --> 00:00:48.000]  學習主理的說話
[00:00:48.000 --> 00:00:50.000]  讓我們今天再次來到
[00:00:50.000 --> 00:00:52.000]  主理的說話跟前
[00:00:52.000 --> 00:00:54.000]  讓我們能夠更小心的
[00:00:54.000 --> 00:00:56.000]  來掌握主理的心事
[00:00:56.000 --> 00:00:58.000]  也讓我們在這個
[00:00:58.000 --> 00:01:00.000]  很不一樣的時代
[00:01:00.000 --> 00:01:02.000]  讓我們能夠
[00:01:02.000 --> 00:01:04.000]  一起來到
[00:01:04.000 --> 00:01:06.000]  追求主理的心
[00:01:06.000 --> 00:01:08.000]  也信靠主理的心
[00:01:08.000 --> 00:01:10.000]  使我們能夠更貼近我們的恩主
[00:01:10.000 --> 00:01:12.000]  我們的禱告
[00:01:12.000 --> 00:01:14.000]  封主耶穌的名臣
[00:01:14.000 --> 00:01:16.000]  Amen
[00:01:16.000 --> 00:01:18.000]  好,今天會跟大家一起去分享的經文
[00:01:18.000 --> 00:01:20.000]  就是在魯德記
[00:01:20.000 --> 00:01:22.000]  我們會繼續去一起看魯德記的經文
[00:01:22.000 --> 00:01:24.000]  今天會看的是從第二章
[00:01:24.000 --> 00:01:26.000]  第二章的第一節
[00:01:26.000 --> 00:01:28.000]  到第三節
[00:01:28.000 --> 00:01:30.000]  如果大家也有聖經的話
[00:01:30.000 --> 00:01:32.000]  可以一起打開聖經
[00:01:32.000 --> 00:01:34.000]  我會帶大家去讀一次
