
[00:00:00.000 --> 00:00:03.740]  今天的講題叫做一切從感恩開始
[00:00:03.740 --> 00:00:06.840]  不知道大家有沒有同感或者感覺
[00:00:06.840 --> 00:00:08.560]  就好像在聽三機一樣
[00:00:08.560 --> 00:00:10.840]  就是晚上...現在這個節目還有沒有的?
[00:00:10.840 --> 00:00:13.520]  還有嗎?一切從音樂開始
[00:00:13.520 --> 00:00:14.640]  現在是誰在做的?
[00:00:14.640 --> 00:00:18.300]  總之那些聲音是很磁性的
[00:00:18.300 --> 00:00:21.420]  你期望一直聽著這麼悠揚的音樂
[00:00:21.420 --> 00:00:22.700]  那就很快睡著了
[00:00:22.700 --> 00:00:25.240]  很可惜我沒有這個本錢
[00:00:25.240 --> 00:00:29.080]  所以我的責任是令大家很清醒地聽這一堂課
[00:00:29.600 --> 00:00:31.800]  Thanksgiving 感恩
[00:00:31.800 --> 00:00:33.800]  對你來說是什麼概念呢?
[00:00:33.800 --> 00:00:37.540]  我自己有大概十年的時間在北美居住
[00:00:37.540 --> 00:00:41.160]  在北美就有一個 Thanksgiving Day 感恩節
[00:00:41.160 --> 00:00:42.560]  有沒有人聽過的?
[00:00:42.560 --> 00:00:45.240]  加拿大和美國是不同的
[00:00:45.240 --> 00:00:47.560]  我忘記了誰是十月誰是十一月了
[00:00:47.560 --> 00:00:49.840]  總之大概十月十一月左右
[00:00:49.840 --> 00:00:51.840]  就有一個 Thanksgiving Day
[00:00:51.840 --> 00:00:54.920]  那個日子是做什麼的呢?
[00:00:54.920 --> 00:00:58.560]  其實我覺得如果現實一點來說
[00:00:58.560 --> 00:01:01.920]  它是像中國或者香港人所說的做冬
[00:01:01.920 --> 00:01:03.480]  做冬你會怎樣呢?
[00:01:03.480 --> 00:01:05.040]  吃飯!
[00:01:05.040 --> 00:01:07.800]  對了,其實 Thanksgiving Day 是一個機會
[00:01:07.800 --> 00:01:09.000]  Family Gathering
[00:01:09.000 --> 00:01:10.920]  大家家庭團聚
[00:01:10.920 --> 00:01:13.320]  一群人回家吃飯
[00:01:13.320 --> 00:01:15.320]  有些可能...你也知道在香港
[00:01:15.320 --> 00:01:17.000]  如果你工作遠極
[00:01:17.000 --> 00:01:19.720]  不是,遠極可能是由天水圍出來中環
[00:01:19.720 --> 00:01:21.600]  或者天水圍去柴灣
[00:01:21.600 --> 00:01:22.640]  不過現在不是了
[00:01:22.640 --> 00:01:24.000]  現在我們大...什麼?
[00:01:24.000 --> 00:01:25.040]  大灣區
[00:01:25.040 --> 00:01:27.280]  遲些有些人在珠海上班也說不定
[00:01:27.280 --> 00:01:29.320]  但是在加拿大、在美國
[00:01:29.320 --> 00:01:31.360]  很多人的工作地區
[00:01:31.360 --> 00:01:33.080]  跟他們住的很遠
[00:01:33.080 --> 00:01:35.680]  所以他們未必會每個星期
[00:01:35.680 --> 00:01:38.240]  或者可能一個月也未必會回家一次
[00:01:38.240 --> 00:01:39.520]  但是 Thanksgiving 呢
[00:01:39.520 --> 00:01:41.520]  就是他們聚在一起的時間
[00:01:41.520 --> 00:01:44.280]  那麼聖經怎麼說 Thanksgiving 呢?
[00:01:44.280 --> 00:01:47.160]  聖經怎麼看感恩這個概念呢?
[00:01:47.160 --> 00:01:49.360]  是不是只是簡單一句
[00:01:49.360 --> 00:01:50.520]  Thank you
[00:01:50.520 --> 00:01:51.600]  多謝你
[00:01:51.600 --> 00:01:52.600]  辛苦了
[00:01:52.600 --> 00:01:53.560]  謝謝
[00:01:53.560 --> 00:01:55.200]  就是 Thanksgiving 呢?
[00:01:55.200 --> 00:01:56.880]  那麼我選了一段經文
[00:01:56.880 --> 00:02:00.680]  在路加福音十七章十一至十九節
[00:02:00.680 --> 00:02:02.680]  這段經文呢
[00:02:02.680 --> 00:02:04.040]  可能大家也很熟悉
[00:02:04.040 --> 00:02:06.680]  從大家讀經的速度
[00:02:06.680 --> 00:02:09.000]  我感受到大家的那股 energy(力量)
[00:02:09.000 --> 00:02:11.320]  因為通常在這裡你沒有讀得那麼快的
[00:02:11.320 --> 00:02:13.720]  但是讀不讀得到那個故事呢?
[00:02:13.720 --> 00:02:15.040]  你們一直只是讀那些字
[00:02:15.040 --> 00:02:16.360]  知不知道正在發生什麼呢?
[00:02:16.360 --> 00:02:18.400]  這個故事呢
[00:02:18.400 --> 00:02:20.280]  只是在路加福音出現過
[00:02:20.280 --> 00:02:22.000]  這個故事呢
[00:02:22.000 --> 00:02:23.240]  又不是很特別
[00:02:23.240 --> 00:02:24.000]  是不是?
[00:02:24.000 --> 00:02:27.760]  就是耶穌醫治過生麻瘋的
[00:02:27.760 --> 00:02:29.000]  很多地方都有
[00:02:29.000 --> 00:02:30.720]  又不是很 dramatic(戲劇性)
[00:02:30.720 --> 00:02:33.240]  就是如果拍戲的話就沒什麼好拍的
[00:02:33.240 --> 00:02:34.640]  但是這個故事呢
[00:02:34.640 --> 00:02:36.840]  它是一個很受歡迎的故事
[00:02:36.840 --> 00:02:38.680]  特別在一個地方
[00:02:38.680 --> 00:02:40.280]  那個叫兒童主義學
[00:02:40.280 --> 00:02:41.600]  很受歡迎
[00:02:41.600 --> 00:02:42.440]  為什麼呢?
[00:02:42.440 --> 00:02:43.440]  有三個原因
[00:02:43.440 --> 00:02:44.320]  我自己想的而已
[00:02:44.320 --> 00:02:45.720]  我沒有問過兒童那些
[00:02:45.720 --> 00:02:46.320]  第一
[00:02:46.320 --> 00:02:48.480]  這個劇集比較容易演
[00:02:48.480 --> 00:02:49.080]  是不是?
[00:02:49.080 --> 00:02:50.600]  就是如果耶穌醫治過瘸子的話
[00:02:50.600 --> 00:02:51.800]  你就要找一支拐杖了
[00:02:51.800 --> 00:02:52.480]  是不是?
[00:02:52.480 --> 00:02:54.520]  如果皮膚病是咬一下就可以了
[00:02:54.520 --> 00:02:55.120]  是不是?
[00:02:55.120 --> 00:02:57.840]  如果這個盲的就要戴眼罩了
[00:02:57.840 --> 00:02:59.400]  這個血流的你都不知道怎麼辦
[00:02:59.400 --> 00:03:00.000]  是不是?
[00:03:00.000 --> 00:03:02.160]  所以第一個好處呢
[00:03:02.160 --> 00:03:04.160]  這個故事是很容易演的
[00:03:04.160 --> 00:03:05.640]  弟兄姊妹就…
[00:03:05.640 --> 00:03:06.680]  尤其是小朋友
[00:03:06.680 --> 00:03:07.800]  很容易掌握
[00:03:07.800 --> 00:03:08.680]  是不是?
[00:03:08.680 --> 00:03:10.000]  第二個好處呢
[00:03:10.000 --> 00:03:12.200]  就是這個故事角色多
[00:03:12.200 --> 00:03:14.920]  最少有多少個呢?
[00:03:14.920 --> 00:03:16.640]  十一個
[00:03:16.640 --> 00:03:19.960]  十個麻瘋病的人加一個耶穌
[00:03:19.960 --> 00:03:21.840]  那你說我不止十一個怎麼辦呢?
[00:03:21.840 --> 00:03:23.360]  耶穌有門徒的嘛
[00:03:23.360 --> 00:03:25.560]  不過那些沒有對白的意思而已
[00:03:25.560 --> 00:03:26.160]  你明白嗎?
[00:03:26.160 --> 00:03:28.440]  那麼你就看到一群小朋友
[00:03:28.440 --> 00:03:29.960]  就可以演這個劇了
[00:03:29.960 --> 00:03:31.440]  是的
[00:03:31.440 --> 00:03:32.760]  就是沒有對白
[00:03:32.760 --> 00:03:34.200]  你可以加一些給他
[00:03:34.200 --> 00:03:36.400]  第三個好處呢
[00:03:36.400 --> 00:03:38.920]  為什麼兒童主義學很喜歡演這個故事呢
[00:03:38.920 --> 00:03:41.000]  就是因為它有一個很簡單
[00:03:41.000 --> 00:03:44.680]  對兒童很合適的信息
[00:03:44.680 --> 00:03:46.480]  就是感恩
[00:03:46.480 --> 00:03:48.320]  通常那些名字就叫什麼
[00:03:48.320 --> 00:03:49.440]  知恩圖報
[00:03:49.440 --> 00:03:51.400]  或者做過感恩的小孩
[00:03:51.400 --> 00:03:52.120]  諸如此類
