
[00:00:00.000 --> 00:00:04.000]  還記得我們上次講什麼嗎
[00:00:04.000 --> 00:00:09.000]  我那天在餐廳碰到有一對夫婦
[00:00:09.000 --> 00:00:14.000]  我就問他們 因為好像沒有看過他們
[00:00:14.000 --> 00:00:18.000]  他就講說 牧師我都知道你上禮拜在講什麼
[00:00:18.000 --> 00:00:20.000]  原來他在網上看的
[00:00:20.000 --> 00:00:23.000]  他說牧師我看你又蹦又跳的
[00:00:23.000 --> 00:00:26.000]  好了 給你們一個hint
[00:00:26.000 --> 00:00:28.000]  所以上次訊息講什麼
[00:00:30.000 --> 00:00:36.000]  不是 那是禮牧師 那是上禮拜
[00:00:36.000 --> 00:00:38.000]  我說上次 上次
[00:00:38.000 --> 00:00:47.000]  沒有生理的生活 對不對
[00:00:47.000 --> 00:00:49.000]  這是一系列的
[00:00:49.000 --> 00:00:52.000]  我們講到說 我們要脫去舊人 傳掌新人
[00:00:52.000 --> 00:00:53.000]  是不是
[00:00:53.000 --> 00:00:59.000]  舊人就是把那些污穢的 敗壞的 苦讀的 論斷的
[00:00:59.000 --> 00:01:01.000]  把這些不好的除去
[00:01:01.000 --> 00:01:03.000]  然後要穿上新人 是不是
[00:01:03.000 --> 00:01:05.000]  是不是 我們要過一個新的生活
[00:01:05.000 --> 00:01:07.000]  這個新的生活是什麼呢
[00:01:07.000 --> 00:01:09.000]  所以簡單的來說 就提到說
[00:01:09.000 --> 00:01:15.000]  這個新的生活是一個沒有神話充滿的生活
[00:01:15.000 --> 00:01:19.000]  把神的話豐豐富富的存在我們心裡面 是不是
[00:01:19.000 --> 00:01:22.000]  另外一方面 我們以夫所說那邊也提到說
[00:01:22.000 --> 00:01:24.000]  我們要被聖靈充滿
[00:01:24.000 --> 00:01:27.000]  那麼被聖靈充滿就會帶出來這樣子的一個生活
[00:01:27.000 --> 00:01:28.000]  是一個什麼生活呢
[00:01:28.000 --> 00:01:30.000]  是一個口唱心和
[00:01:30.000 --> 00:01:34.000]  是一個心被恩感 歌頌神的生活 是不是
[00:01:34.000 --> 00:01:36.000]  所以今天早上我們在這邊敬拜的時候
[00:01:36.000 --> 00:01:39.000]  丁公子妹 你有沒有操練一下
[00:01:39.000 --> 00:01:41.000]  有沒有心被恩感 歌頌神
[00:01:41.000 --> 00:01:45.000]  有沒有口唱心和的讚美神
[00:01:45.000 --> 00:01:47.000]  有嗎
[00:01:47.000 --> 00:01:51.000]  在台上敬拜團看得最清楚 是不是
[00:01:51.000 --> 00:01:55.000]  現在丁公子妹 我現在看你們也看得很清楚
[00:01:55.000 --> 00:01:57.000]  我看有的人臉上是憂愁的
[00:01:57.000 --> 00:01:59.000]  來 跟你旁邊看一下他
[00:01:59.000 --> 00:02:06.000]  他臉上憂愁 你告訴他 你要喜樂
[00:02:06.000 --> 00:02:10.000]  今天我們要繼續講到充滿感恩的人生
[00:02:10.000 --> 00:02:13.000]  保羅在這裡 哥羅西書第三章十七節講說
[00:02:13.000 --> 00:02:16.000]  他說 無論做什麼 或說話 或行事
[00:02:16.000 --> 00:02:20.000]  都要奉主耶穌的名 藉著他怎麼樣
[00:02:20.000 --> 00:02:26.000]  感謝父神
[00:02:26.000 --> 00:02:32.000]  其實同樣的在一夫所書第五章二十節講類似的話
[00:02:32.000 --> 00:02:38.000]  一夫所書第五章二十節講什麼呢
[00:02:38.000 --> 00:02:40.000]  我們來看一下 我們一起來念好不好
[00:02:40.000 --> 00:02:46.000]  來 凡是要奉我們主耶穌基督的名
[00:02:46.000 --> 00:02:58.000]  我們常常感謝父神
[00:02:58.000 --> 00:03:01.000]  為什麼我們要來感謝
[00:03:01.000 --> 00:03:04.000]  為什麼要感謝
[00:03:04.000 --> 00:03:07.000]  我們為什麼要感謝神 為什麼
[00:03:07.000 --> 00:03:09.000]  我們都知道應該感謝神 是不是
[00:03:09.000 --> 00:03:10.000]  感恩節快到了
[00:03:10.000 --> 00:03:12.000]  但親愛的丁公子妹 你知道嗎
[00:03:12.000 --> 00:03:17.000]  感謝神 感恩這一件事情太重要了
[00:03:17.000 --> 00:03:20.000]  因為今天這個時代你會發現
[00:03:20.000 --> 00:03:23.000]  是缺少感恩的一個時代
[00:03:23.000 --> 00:03:27.000]  你會發現不管是人與人 或者是人對神
[00:03:27.000 --> 00:03:29.000]  當然今天很多不認識神的人
[00:03:29.000 --> 00:03:31.000]  他不會去感謝天 對不對
[00:03:31.000 --> 00:03:32.000]  感謝上帝
[00:03:32.000 --> 00:03:34.000]  但是今天人跟人之間也是如此
[00:03:34.000 --> 00:03:36.000]  很少感謝 有沒有
[00:03:36.000 --> 00:03:38.000]  你可以看見 打開報紙
[00:03:38.000 --> 00:03:42.000]  你的媒體裡面講的都是這些什麼樣 都是批評的話
[00:03:42.000 --> 00:03:46.000]  有沒有人感謝我們政府 沒有 是不是
[00:03:46.000 --> 00:03:51.000]  誰當總統就是誰被罵的對象 有沒有
[00:03:51.000 --> 00:03:55.000]  今天完全沒有政治立場 OK 好嗎
[00:03:55.000 --> 00:03:57.000]  親愛的丁公子妹
[00:03:57.000 --> 00:04:00.000]  你有沒有感謝交通警察 有沒有
[00:04:00.000 --> 00:04:03.000]  你只有被他抓到的時候
[00:04:03.000 --> 00:04:05.000]  你真的是罵他一頓
