
[00:00:00.000 --> 00:00:02.620]  大家來到崇拜前可能都沒有想過
[00:00:02.620 --> 00:00:04.360]  咦 今天是講哥羅西書
[00:00:04.360 --> 00:00:05.580]  其實是不要緊的
[00:00:05.580 --> 00:00:08.280]  因為昔日哥羅西的教會
[00:00:08.280 --> 00:00:09.620]  收到一封信前
[00:00:09.620 --> 00:00:12.300]  其實都不知道自己會收到這一封信
[00:00:12.300 --> 00:00:15.500]  所以他們有一個主日收到一封信之後
[00:00:15.500 --> 00:00:17.300]  有個人出來就讀出來了
[00:00:17.300 --> 00:00:20.800]  這封書信開頭的第一個部分
[00:00:20.800 --> 00:00:22.400]  就是一至二十四節
[00:00:22.400 --> 00:00:25.240]  剛才聽我讀出的經文的時候
[00:00:25.240 --> 00:00:27.400]  大家可能有些字眼都會發覺
[00:00:27.400 --> 00:00:29.240]  都會重複留意到
[00:00:29.240 --> 00:00:31.680]  稍後我們也會思想的
[00:00:31.680 --> 00:00:35.400]  大概我們可以將剛才的部分
[00:00:35.400 --> 00:00:38.040]  這樣分開四個部分
[00:00:38.040 --> 00:00:39.880]  開頭有一個書信的文安
[00:00:39.880 --> 00:00:42.840]  接著有為信徒的感恩的祈禱
[00:00:42.840 --> 00:00:45.520]  也繼續為信徒的成長來祈禱
[00:00:45.520 --> 00:00:46.760]  而最後很重要
[00:00:46.760 --> 00:00:48.320]  就是轉接進去
[00:00:48.320 --> 00:00:51.440]  書信一個非常重要的部分
[00:00:51.440 --> 00:00:52.960]  就是由十五節開始
[00:00:52.960 --> 00:00:56.240]  我們可以稱為一個基督頌詞的部分
[00:00:56.240 --> 00:00:59.240]  所以你看到十三六節開始就是
[00:00:59.240 --> 00:01:04.340]  將主題帶向主耶穌所成就的事情上
[00:01:04.340 --> 00:01:07.240]  我們大概按今天的經文
[00:01:07.240 --> 00:01:10.040]  我們會有三個重點來思想
[00:01:10.040 --> 00:01:13.440]  分別就是生命成長的渴望
[00:01:13.440 --> 00:01:15.340]  生命成長的條件
[00:01:15.340 --> 00:01:18.040]  以及生命成長的動力
[00:01:18.040 --> 00:01:20.840]  我用生命成長這個表達
[00:01:20.840 --> 00:01:22.340]  指的是什麼呢?
[00:01:22.340 --> 00:01:25.540]  其實是在說當我們聽了福音
[00:01:25.540 --> 00:01:27.040]  接受福音之後
[00:01:27.040 --> 00:01:29.640]  我們在主耶穌裡面有一個新的生命
[00:01:29.640 --> 00:01:32.640]  是在說在主耶穌裡面的生命
[00:01:32.640 --> 00:01:36.240]  和主耶穌的關係來成長
[00:01:36.240 --> 00:01:39.040]  並且這個生命成長的時候
[00:01:39.040 --> 00:01:43.540]  也會帶來我們生命當中一些不同的具體的表現
[00:01:43.540 --> 00:01:48.740]  在哥羅西書裡面
[00:01:48.740 --> 00:01:50.740]  我們剛才聽也感受到
[00:01:50.740 --> 00:01:52.940]  其實保羅對於這一群弟兄姊妹
[00:01:52.940 --> 00:01:55.140]  是有很多正面的表達
[00:01:55.140 --> 00:01:57.740]  保羅是很欣賞這一群弟兄姊妹
[00:01:57.740 --> 00:01:59.940]  很欣賞這個教會的群體
[00:01:59.940 --> 00:02:01.940]  並且他對這一群弟兄姊妹
[00:02:01.940 --> 00:02:03.440]  是充滿了感恩
[00:02:03.440 --> 00:02:05.340]  很多對神感謝的表達
[00:02:05.340 --> 00:02:08.040]  在保羅書信其實不一定是這樣的
[00:02:08.040 --> 00:02:10.240]  但是我們今季大家查的
[00:02:10.240 --> 00:02:13.440]  《貼薩萊迦前書》和《哥羅西書》都是
[00:02:13.440 --> 00:02:16.240]  如果按照經文的次序
[00:02:16.240 --> 00:02:19.540]  保羅對這一群弟兄姊妹有這樣的描述
[00:02:19.540 --> 00:02:21.540]  包括說他們是聖徒
[00:02:21.540 --> 00:02:22.540]  是忠心的
