
[00:00:00.000 --> 00:00:02.640]  有人問我前兩天
[00:00:02.640 --> 00:00:04.640]  我也是爸爸
[00:00:04.640 --> 00:00:08.160]  他說「父親節有什麼節目?」
[00:00:08.160 --> 00:00:10.160]  我告訴他很豐富
[00:00:10.160 --> 00:00:12.160]  「明天早上崇拜」
[00:00:12.160 --> 00:00:14.160]  「下午就團契」
[00:00:14.160 --> 00:00:16.160]  「晚上不知道要做什麼」
[00:00:16.160 --> 00:00:21.600]  在我們的信仰裏
[00:00:21.600 --> 00:00:23.600]  我們也經常說
[00:00:23.600 --> 00:00:26.840]  我們的神是我們的天父
[00:00:26.840 --> 00:00:28.840]  是我們的爸爸
[00:00:28.840 --> 00:00:32.520]  而天父經常對著我們一群
[00:00:32.520 --> 00:00:34.520]  他的子女
[00:00:34.520 --> 00:00:36.520]  正如剛才所說
[00:00:36.520 --> 00:00:38.520]  他對我們有期望
[00:00:38.520 --> 00:00:41.080]  所以也有失望
[00:00:41.080 --> 00:00:43.080]  特別對於以色列人
[00:00:43.080 --> 00:00:47.400]  在今天我們的題目叫做「負能量」
[00:00:47.400 --> 00:00:54.920]  我們想今天回到舊約的歷史裏
[00:00:54.920 --> 00:00:56.920]  一卷的書
[00:00:56.920 --> 00:00:58.920]  《馬拉基書》
[00:00:58.920 --> 00:01:00.920]  神透過馬拉基先知
[00:01:00.920 --> 00:01:04.920]  表達祂對以色列人的失望
[00:01:04.920 --> 00:01:06.920]  今天想和大家分享
[00:01:06.920 --> 00:01:08.920]  《馬拉基書》
[00:01:08.920 --> 00:01:10.920]  《馬拉基書》不知道大家熟不熟悉
[00:01:10.920 --> 00:01:12.920]  《馬拉基書》
[00:01:12.920 --> 00:01:14.920]  其中一個比較特別的地方
[00:01:14.920 --> 00:01:16.920]  就是在這麼多的
[00:01:16.920 --> 00:01:18.920]  先知書裏
[00:01:18.920 --> 00:01:20.920]  祂不僅記載
[00:01:20.920 --> 00:01:23.920]  神對以色列人的失望
[00:01:23.920 --> 00:01:25.920]  也相反
[00:01:25.920 --> 00:01:32.920]  祂記載了子女對天父的失望
[00:01:32.920 --> 00:01:35.920]  所以舊約的年代
[00:01:35.920 --> 00:01:38.920]  是彼此失望的年代
[00:01:38.920 --> 00:01:40.920]  既然如此
[00:01:40.920 --> 00:01:42.920]  我們要了解一點歷史
[00:01:42.920 --> 00:01:45.920]  《馬拉基書》公元前
[00:01:45.920 --> 00:01:49.920]  大概是430年的時間
[00:01:49.920 --> 00:01:52.920]  以色列人從一個很遠的地方
[00:01:52.920 --> 00:01:56.920]  秘魯回到耶路撒冷
[00:01:56.920 --> 00:01:58.920]  秘魯歸回
[00:01:58.920 --> 00:01:59.920]  人數不多
[00:01:59.920 --> 00:02:01.920]  總共大概有五萬人
[00:02:01.920 --> 00:02:04.920]  回到猶大的地方
[00:02:04.920 --> 00:02:08.920]  其實他們都經歷了很多波折
[00:02:08.920 --> 00:02:11.920]  首先他們做了一件很重要的事
