
[00:00:00.000 --> 00:00:03.400]  我們剛才看了的是
[00:00:03.400 --> 00:00:05.300]  羅亞的故事
[00:00:05.300 --> 00:00:08.640]  第六章和第七章的故事
[00:00:08.640 --> 00:00:11.420]  我想和你看一些某些經節
[00:00:11.420 --> 00:00:14.300]  我經常都覺得在我們自己小組裏面
[00:00:14.300 --> 00:00:16.880]  我都好像斷斷續續
[00:00:16.880 --> 00:00:19.400]  不太可以整體看到整個故事
[00:00:19.400 --> 00:00:21.060]  我希望在總結的時候
[00:00:21.060 --> 00:00:24.060]  大家可以看到清晰那個流程
[00:00:24.060 --> 00:00:26.280]  究竟上帝是在說什麼給我們
[00:00:26.280 --> 00:00:29.500]  而這件事成為我們生命中的一種影響
[00:00:29.500 --> 00:00:31.320]  但是我開始看的時候
[00:00:31.320 --> 00:00:34.020]  我還沒帶你去看第六章的時候
[00:00:34.020 --> 00:00:36.320]  我和你先看第五章
[00:00:36.320 --> 00:00:37.960]  我不知道大家記不記得
[00:00:37.960 --> 00:00:40.720]  因為兩個月之前
[00:00:40.720 --> 00:00:43.840]  我想我們是做第四章和第五章
[00:00:43.840 --> 00:00:49.840]  在那時候我用了一個框架來看
[00:00:49.840 --> 00:00:51.660]  就是第四章和第五章
[00:00:51.660 --> 00:00:54.100]  你看到人的罪
[00:00:54.100 --> 00:00:55.560]  罪的興起
[00:00:55.560 --> 00:00:58.200]  因為亞當、夏娃在第三章墮亡
[00:00:58.200 --> 00:01:00.600]  第四章他兩個兒子
[00:01:00.600 --> 00:01:02.400]  世界第一個謀殺案
[00:01:02.400 --> 00:01:03.600]  罪的興起
[00:01:03.600 --> 00:01:06.580]  但是也是有恩典的彰顯
[00:01:06.580 --> 00:01:09.600]  你記得他的兒子死了之後
[00:01:09.600 --> 00:01:14.460]  上帝給了另外一個塞特
[00:01:14.460 --> 00:01:17.720]  給他做他第二個兒子
[00:01:17.720 --> 00:01:21.920]  如果你有記得去看第五章的時候
[00:01:21.920 --> 00:01:24.200]  是說到一個家譜
[00:01:24.200 --> 00:01:27.120]  這個家譜裏面再沒有了那個壞兒子
[00:01:27.120 --> 00:01:30.360]  就是那個人
[00:01:30.360 --> 00:01:36.920]  其實是在說忠於上主之人之後的那一群人
[00:01:36.920 --> 00:01:40.200]  直至那個家譜帶到去挪亞
[00:01:40.200 --> 00:01:42.240]  挪亞活到五百歲
[00:01:42.240 --> 00:01:43.960]  生了閃含瓦忽
[00:01:43.960 --> 00:01:46.520]  我想你們記住五百歲這個數字
[00:01:46.520 --> 00:01:48.600]  有些人有用的
[00:01:48.600 --> 00:01:52.360]  這個故事之後我們就開始第六章了
[00:01:52.360 --> 00:01:53.360]  第六章這樣說
[00:01:53.360 --> 00:01:55.880]  他說當人開始在地上增多
[00:01:55.880 --> 00:01:58.320]  又生女兒的時候
[00:01:58.320 --> 00:02:03.000]  上帝的兒女們看見人的女子美貌
[00:02:03.000 --> 00:02:07.400]  就隨意挑選取來為妻
[00:02:07.400 --> 00:02:10.160]  我不知道你有沒有在你的小組裏面討論
[00:02:10.160 --> 00:02:11.520]  什麼叫上帝的兒子
[00:02:11.520 --> 00:02:14.240]  什麼叫人的女子
[00:02:14.240 --> 00:02:18.320]  我們有一位姐妹說有一點性別歧視
[00:02:18.320 --> 00:02:21.760]  就是上帝的兒子就是人的女子
[00:02:21.760 --> 00:02:23.560]  什麼意思呢?
[00:02:23.560 --> 00:02:26.800]  我其實給了一些小組長一些資料
[00:02:26.800 --> 00:02:28.080]  就是說其實這個故事
[00:02:28.080 --> 00:02:30.480]  很多人都問誰是上帝的兒子
