
[00:00:00.000 --> 00:00:02.000]  先一齊祈禱
[00:00:02.000 --> 00:00:04.000]  相愛的天父,我們感謝祢自己的恩典
[00:00:04.000 --> 00:00:06.000]  賜給我們有這個機會
[00:00:06.000 --> 00:00:09.000]  可以一同來敬拜祢,聆聽祢的說話
[00:00:09.000 --> 00:00:14.000]  求聖靈在我們中間幫助我們聽得明白,說得清楚
[00:00:14.000 --> 00:00:17.000]  讓我們也能夠榮耀主的名
[00:00:17.000 --> 00:00:20.000]  奉耶穌基督的名,祈禱,阿門
[00:00:20.000 --> 00:00:27.000]  上星期我提到主耶穌有六次宣佈
[00:00:27.000 --> 00:00:30.000]  「我就是」
[00:00:30.000 --> 00:00:34.000]  由第六章開始,主耶穌已經宣佈
[00:00:34.000 --> 00:00:38.000]  「我是生命的糧,我是世界的光」
[00:00:38.000 --> 00:00:41.000]  「我是好木人,我是羊的門」
[00:00:41.000 --> 00:00:44.000]  「我就是復活,就是生命」
[00:00:44.000 --> 00:00:47.000]  「我就是道路,真理,生命」
[00:00:47.000 --> 00:00:51.000]  「要不是藉著我,沒有人能到父親那裡去」
[00:00:51.000 --> 00:00:59.000]  經文十五章一節,一開始就記載耶穌的第七次「我就是」的宣告
[00:00:59.000 --> 00:01:03.000]  很多神學家認為這些宣告
[00:01:03.000 --> 00:01:08.000]  都是耶穌聲稱自己是上帝的宣告
[00:01:08.000 --> 00:01:11.000]  因為在舊約裡面
[00:01:11.000 --> 00:01:15.000]  當摩西問上帝你叫什麼名字的時候
[00:01:15.000 --> 00:01:22.000]  上帝的回答,在原文的意思就是「我是」
[00:01:22.000 --> 00:01:25.000]  或者英文的「I am」
[00:01:25.000 --> 00:01:29.000]  上帝的名字都有很多的意義
[00:01:29.000 --> 00:01:32.000]  「I am」是現在的時態
[00:01:32.000 --> 00:01:34.000]  Present tense
[00:01:34.000 --> 00:01:37.000]  希伯來語也有時態
[00:01:37.000 --> 00:01:42.000]  由於有現在的含義
[00:01:42.000 --> 00:01:49.000]  和合本就把這個名字的意思翻譯成「自有」、「永有」
[00:01:49.000 --> 00:01:54.000]  因為上帝是存在在一個永恆的現在
[00:01:54.000 --> 00:01:58.000]  上帝是不受時間限制的
[00:01:58.000 --> 00:02:01.000]  人就受時間限制
