
[00:00:00.000 --> 00:00:02.000]  各位攝影姐妹大家好
[00:00:02.000 --> 00:00:06.220]  感謝主今早我們又可以一齊去敬拜
[00:00:06.220 --> 00:00:09.440]  想問問大家今早起床有沒有困難
[00:00:09.440 --> 00:00:10.760]  沒有困難吧
[00:00:10.760 --> 00:00:12.760]  感謝主
[00:00:12.760 --> 00:00:15.240]  在主日的早晨
[00:00:15.240 --> 00:00:17.740]  九點鐘要回來
[00:00:17.740 --> 00:00:18.760]  開始敬拜
[00:00:18.760 --> 00:00:20.520]  不是一件容易的事
[00:00:20.520 --> 00:00:22.740]  但是為了主的緣故
[00:00:22.740 --> 00:00:24.740]  或者能夠親近主
[00:00:24.740 --> 00:00:27.740]  其實都是一件很美的事
[00:00:27.740 --> 00:00:30.740]  所以這個也願意成為我們早起床的動力
[00:00:30.740 --> 00:00:32.740]  所以我們就一齊的
[00:00:32.740 --> 00:00:34.740]  在主日的早晨
[00:00:34.740 --> 00:00:37.740]  我們就回來去敬拜
[00:00:37.740 --> 00:00:41.740]  想給大家看一幅圖畫
[00:00:41.740 --> 00:00:43.740]  這幅圖畫呢
[00:00:43.740 --> 00:00:46.740]  大家之前有沒有看過
[00:00:46.740 --> 00:00:48.740]  目視大家
[00:00:48.740 --> 00:00:50.740]  看過的請舉手
[00:00:50.740 --> 00:00:51.740]  有沒有
[00:00:51.740 --> 00:00:53.740]  都有部份看過
[00:00:53.740 --> 00:00:54.740]  大部份都沒有看過
[00:00:54.740 --> 00:00:56.740]  這幅圖畫裏面呢
[00:00:56.740 --> 00:01:02.740]  你見到有些什麼人在這裏呢
[00:01:02.740 --> 00:01:04.740]  見到有耶穌
[00:01:04.740 --> 00:01:06.740]  耶穌在做什麼
[00:01:06.740 --> 00:01:08.740]  耶穌在祈禱
[00:01:08.740 --> 00:01:10.740]  還有呢除了見到耶穌在祈禱之外
[00:01:10.740 --> 00:01:12.740]  還見到些什麼
[00:01:12.740 --> 00:01:15.740]  哪些人在睡覺
[00:01:15.740 --> 00:01:17.740]  門徒在睡覺
[00:01:17.740 --> 00:01:19.740]  耶穌在祈禱
[00:01:19.740 --> 00:01:23.740]  門徒在睡覺
[00:01:23.740 --> 00:01:25.740]  這幅圖畫令我想起
[00:01:25.740 --> 00:01:29.740]  我們以前中學生讀書的時候
[00:01:29.740 --> 00:01:31.740]  老師就很拼命在外面說話
[00:01:31.740 --> 00:01:33.740]  抄黑板這樣
[00:01:33.740 --> 00:01:35.740]  有些學生呢
[00:01:35.740 --> 00:01:39.740]  就在這裏睡覺
[00:01:39.740 --> 00:01:41.740]  一個很大的對比
[00:01:41.740 --> 00:01:44.740]  主日的早晨在祈禱
[00:01:44.740 --> 00:01:49.740]  門徒就在這裏睡覺
[00:01:49.740 --> 00:01:50.740]  等於只會想一想
[00:01:50.740 --> 00:01:52.740]  如果你當時在場
[00:01:52.740 --> 00:01:54.740]  你在場
[00:01:54.740 --> 00:01:59.740]  我們應該不會是那三個門徒之一
[00:01:59.740 --> 00:02:02.740]  你是第四個
[00:02:02.740 --> 00:02:04.740]  當你見到這樣的情景的時候
[00:02:04.740 --> 00:02:07.740]  你會怎樣
[00:02:07.740 --> 00:02:09.740]  你會怎樣
[00:02:09.740 --> 00:02:11.740]  我在星期五的崇拜
[00:02:11.740 --> 00:02:15.740]  就問過這樣的問題
[00:02:15.740 --> 00:02:17.740]  有不同的答案
[00:02:17.740 --> 00:02:20.740]  有些人就說
[00:02:20.740 --> 00:02:25.740]  繼續睡
[00:02:25.740 --> 00:02:27.740]  但是會不會
