
[00:00:00.000 --> 00:00:02.760]  好 今天很高興和大家再次見面
[00:00:02.760 --> 00:00:05.500]  在這裡代表多倫多以馬來藝華人浸信會
[00:00:05.500 --> 00:00:07.240]  也問大家安安
[00:00:07.240 --> 00:00:08.720]  我在此非常高興
[00:00:08.720 --> 00:00:11.400]  我們今天能夠在大家當中
[00:00:11.400 --> 00:00:14.260]  能夠見到大家一同來祭拜神
[00:00:14.260 --> 00:00:20.000]  我再次代表多倫多以馬來藝華人浸信會的弟兄姊妹
[00:00:20.000 --> 00:00:21.860]  向大家問好
[00:00:21.860 --> 00:00:23.800]  新一年來到大家
[00:00:23.800 --> 00:00:27.540]  也都知道大家教會有一個新的題目在今年
[00:00:27.540 --> 00:00:30.080]  今年第一次來到當中
[00:00:30.080 --> 00:00:33.740]  也知道大家在今年有一個新的題目
[00:00:33.740 --> 00:00:37.600]  一進來引我注視的就是這個題目
[00:00:37.600 --> 00:00:39.600]  寫得很漂亮 這些手字
[00:00:39.600 --> 00:00:42.800]  我一進來吸引我的就是這個題目
[00:00:42.800 --> 00:00:46.200]  它寫的這個字非常漂亮
[00:00:46.200 --> 00:00:49.900]  茁壯成長 承擔使命
[00:00:49.900 --> 00:00:53.800]  茁壯成長 承擔使命
[00:00:53.800 --> 00:00:56.300]  其實有英語的標題的 你知不知道
[00:00:56.300 --> 00:00:58.000]  其實有英語的標題的
[00:00:58.000 --> 00:00:59.600]  我不知道為甚麼沒有打出來
[00:00:59.600 --> 00:01:01.900]  你們應該要把英語打上去
[00:01:01.900 --> 00:01:06.100]  叫做Healthy Growth for This Mission
[00:01:06.100 --> 00:01:10.600]  英文就是叫做Healthy Growth for This Mission
[00:01:10.600 --> 00:01:15.200]  為了上主交託給我們猜命
[00:01:15.200 --> 00:01:17.500]  去一齊成長起來
[00:01:17.500 --> 00:01:23.500]  我們為了上帝給我們的使命能夠去行出來
[00:01:23.500 --> 00:01:26.200]  要有猜命 即是要有行動
[00:01:26.200 --> 00:01:30.900]  當神插我們氣的時候
[00:01:30.900 --> 00:01:33.100]  我們一定要有一個行動
[00:01:33.100 --> 00:01:36.500]  但有行動也要有一個準確的
[00:01:36.500 --> 00:01:39.600]  正確的動機去推使的
[00:01:39.600 --> 00:01:41.300]  如果要有行動
[00:01:41.300 --> 00:01:46.200]  一定要有一個正確的使命來推動
[00:01:46.200 --> 00:01:48.300]  所以在今天開始的時候
[00:01:48.300 --> 00:01:49.700]  我就和大家一起
