
[00:00:00.000 --> 00:00:02.000]  祈望姐妹平安
[00:00:02.000 --> 00:00:06.000]  感謝神我們又一起在她的家來聚會
[00:00:06.000 --> 00:00:09.000]  讓我們一起同心禱告
[00:00:09.000 --> 00:00:12.000]  天父我們滿心感謝讚美你
[00:00:12.000 --> 00:00:14.000]  你分別每一個主日
[00:00:14.000 --> 00:00:17.000]  讓我們能夠來親近你
[00:00:17.000 --> 00:00:20.000]  主我們願意你自己的大愛
[00:00:20.000 --> 00:00:23.000]  在這個時候就向我們顯明
[00:00:23.000 --> 00:00:25.000]  以致我們能夠真的是透過
[00:00:25.000 --> 00:00:27.000]  這部電影裏面的主題
[00:00:27.000 --> 00:00:29.000]  思想一下我們的信仰
[00:00:29.000 --> 00:00:31.000]  跟我們自己的生命
[00:00:31.000 --> 00:00:33.000]  主我們真的是需要你的幫助
[00:00:33.000 --> 00:00:35.000]  求你與我們同在
[00:00:35.000 --> 00:00:37.000]  奉主耶穌的名禱告 阿們
[00:00:37.000 --> 00:00:40.000]  好 我會用同樣的開場白
[00:00:40.000 --> 00:00:42.000]  因爲當中有一些新的朋友
[00:00:42.000 --> 00:00:44.000]  但是我不會用第三次 希望
[00:00:44.000 --> 00:00:46.000]  就是說你如果呢
[00:00:46.000 --> 00:00:49.000]  拿這部電影跟講員比較呢
[00:00:49.000 --> 00:00:51.000]  我在調教你的期望
[00:00:51.000 --> 00:00:54.000]  肯定這部電影比較精彩
[00:00:54.000 --> 00:00:57.000]  但是如果你拿這部電影
[00:00:57.000 --> 00:00:59.000]  拿這部電影跟上帝
[00:00:59.000 --> 00:01:02.000]  今天要對你說的話來比較呢
[00:01:02.000 --> 00:01:04.000]  我相信你會讓上帝
[00:01:04.000 --> 00:01:06.000]  自己觸摸你的心靈深處
[00:01:06.000 --> 00:01:08.000]  因爲每個人的光景都不一樣
[00:01:08.000 --> 00:01:11.000]  上帝會對我們每個人說話
[00:01:11.000 --> 00:01:14.000]  那麼我在俄羅斯短宣的時候呢
[00:01:14.000 --> 00:01:16.000]  正好跟一些弟兄姐妹
[00:01:16.000 --> 00:01:18.000]  談起這部電影
[00:01:18.000 --> 00:01:19.000]  我聽過這部電影
[00:01:19.000 --> 00:01:21.000]  但是沒有機會看
[00:01:21.000 --> 00:01:22.000]  那麼當時候呢
[00:01:22.000 --> 00:01:23.000]  短宣的過程呢
[00:01:23.000 --> 00:01:25.000]  我就發現真的是
[00:01:25.000 --> 00:01:27.000]  真的又很想回到香港
[00:01:27.000 --> 00:01:28.000]  就有機會去看
[00:01:28.000 --> 00:01:30.000]  因爲在那裏呢我發現
[00:01:30.000 --> 00:01:31.000]  在那裏的基督徒呢
[00:01:31.000 --> 00:01:34.000]  不像我們在香港那麼的自由
[00:01:34.000 --> 00:01:38.000]  他們真的是受到很多的監視
[00:01:38.000 --> 00:01:39.000]  進信會的基督徒
[00:01:39.000 --> 00:01:42.000]  他們可以被帶去問話
[00:01:42.000 --> 00:01:43.000]  問話
[00:01:43.000 --> 00:01:45.000]  然後會問他的家長
[00:01:45.000 --> 00:01:47.000]  然後跟他談談
[00:01:47.000 --> 00:01:49.000]  很友善的說
[00:01:49.000 --> 00:01:51.000]  聽說你的大女兒
[00:01:51.000 --> 00:01:54.000]  就要讀大學了對嗎
[00:01:54.000 --> 00:01:57.000]  聽說你小女兒就快進幼稚園了
[00:01:57.000 --> 00:01:59.000]  那些那裏的官員
[00:01:59.000 --> 00:02:01.000]  就會這樣的來跟他們談話
[00:02:01.000 --> 00:02:04.000]  喝茶 喝咖啡 談天
[00:02:04.000 --> 00:02:05.000]  然後呢如果他們
[00:02:05.000 --> 00:02:08.000]  願意在外面傳教呢
[00:02:08.000 --> 00:02:10.000]  也會被拉去坐牢
[00:02:10.000 --> 00:02:12.000]  所以在當時候短宣的時候呢
[00:02:12.000 --> 00:02:13.000]  我們瞭解到
[00:02:13.000 --> 00:02:15.000]  很多事情不是理所當然的
[00:02:15.000 --> 00:02:18.000]  那麼我記得我去澳門旅行的時候呢
[00:02:18.000 --> 00:02:21.000]  有一個地方大家一定去過的
[00:02:21.000 --> 00:02:23.000]  就是那個大三巴對不對
[00:02:23.000 --> 00:02:24.000]  它燒下來的一間
[00:02:24.000 --> 00:02:25.000]  好像是神學院
[00:02:25.000 --> 00:02:27.000]  只剩下一堵牆
[00:02:27.000 --> 00:02:29.000]  但是已經是幾百年的一個歷史軌跡
[00:02:29.000 --> 00:02:32.000]  當然跟我們中國來比較
[00:02:32.000 --> 00:02:35.000]  當然是它的這個古蹟的價值
[00:02:35.000 --> 00:02:37.000]  沒有那麼的高
[00:02:37.000 --> 00:02:38.000]  但是它呢
[00:02:38.000 --> 00:02:39.000]  有一個地方我不知道
[00:02:39.000 --> 00:02:40.000]  你們有沒有走進去過
[00:02:40.000 --> 00:02:42.000]  就是那個大牆之後呢
[00:02:42.000 --> 00:02:43.000]  你再走進去
[00:02:43.000 --> 00:02:45.000]  走到後面再走下去呢
[00:02:45.000 --> 00:02:48.000]  原來還有一個很小的博物館
[00:02:48.000 --> 00:02:49.000]  我去過那裏
[00:02:49.000 --> 00:02:51.000]  我進了博物館看到一些的文物
[00:02:51.000 --> 00:02:54.000]  它是幾百年而已
[00:02:54.000 --> 00:02:55.000]  但是呢
[00:02:55.000 --> 00:02:56.000]  有一幅圖畫呢
[00:02:56.000 --> 00:02:57.000]  引起我的注意
[00:02:57.000 --> 00:02:59.000]  我走過去看的時候就發現
[00:02:59.000 --> 00:03:01.000]  那幅圖畫裏面有什麼呢
[00:03:01.000 --> 00:03:04.000]  就是很多個人被掛在十字架
[00:03:04.000 --> 00:03:06.000]  然後下面也有很多個人
[00:03:06.000 --> 00:03:08.000]  然後我仔細再看呢
[00:03:08.000 --> 00:03:11.000]  全部都是日本人
[00:03:11.000 --> 00:03:12.000]  然後呢
[00:03:12.000 --> 00:03:14.000]  我就再讀一下它的簡介就發現
[00:03:14.000 --> 00:03:16.000]  那個時候就是當時候
[00:03:16.000 --> 00:03:20.000]  葡萄牙的耶穌會的宣教士呢
[00:03:20.000 --> 00:03:22.000]  傳教士他們去到亞洲
[00:03:22.000 --> 00:03:25.000]  然後又去到日本來傳教
[00:03:25.000 --> 00:03:28.000]  然後面對很多的逼迫
[00:03:28.000 --> 00:03:31.000]  那麼這就是這部電影的背景
[00:03:31.000 --> 00:03:33.000]  這部電影的背景就是
[00:03:33.000 --> 00:03:36.000]  葡萄牙的傳教士在十七世紀的時候
[00:03:36.000 --> 00:03:39.000]  去到了日本來傳教
[00:03:39.000 --> 00:03:41.000]  一開始的時候非常的成功
[00:03:41.000 --> 00:03:43.000]  很多人都信了耶穌
[00:03:43.000 --> 00:03:45.000]  但是當地呢
