
[00:00:00.000 --> 00:00:06.600]  「我們日用的飲食 今日似給我們」
[00:00:06.600 --> 00:00:09.000]  這是我們很熟悉的經文
[00:00:09.000 --> 00:00:11.600]  跟我們息息相關
[00:00:11.600 --> 00:00:16.200]  相信我們會更有興趣的一節經文
[00:00:16.200 --> 00:00:18.000]  上兩星期跟大家說
[00:00:18.000 --> 00:00:22.800]  「尊神的名為聖 願神的國降臨」
[00:00:22.800 --> 00:00:26.000]  「願神的旨意行在地上」
[00:00:26.000 --> 00:00:29.600]  可能我們覺得太淑寧 太抽象
[00:00:29.600 --> 00:00:32.200]  可能我們覺得很遙遠
[00:00:32.200 --> 00:00:35.400]  甚至好像兩隻腳不碰地
[00:00:35.400 --> 00:00:39.200]  但現在說飲食
[00:00:39.200 --> 00:00:42.000]  飲飲食食對我們是重要的
[00:00:42.000 --> 00:00:45.400]  我們開始發覺是比較現實
[00:00:45.400 --> 00:00:47.800]  是我們的需要
[00:00:47.800 --> 00:00:50.000]  但記不記得
[00:00:50.000 --> 00:00:52.800]  上兩星期都跟大家說過
[00:00:52.800 --> 00:00:56.000]  禱告其實最重要的原因
[00:00:56.000 --> 00:01:01.400]  就是要將榮耀 將重讚歸給我們這位真神
[00:01:01.400 --> 00:01:05.400]  所以我們要尊神的名為聖
[00:01:05.400 --> 00:01:07.400]  尊這位天父
[00:01:07.400 --> 00:01:10.400]  祂就好像我們的父親一樣
[00:01:10.400 --> 00:01:13.800]  是我們的父親一樣親近
[00:01:13.800 --> 00:01:17.400]  但祂也是那位天上的神 滿有大能
[00:01:17.400 --> 00:01:23.600]  以致祂可以來賜給我們一切
[00:01:23.600 --> 00:01:27.400]  我們所需要的東西
[00:01:27.400 --> 00:01:29.800]  所以我們要尊祂的名為聖
[00:01:29.800 --> 00:01:31.400]  願祂的國降臨
[00:01:31.400 --> 00:01:34.000]  願祂的旨意成就在地
[00:01:34.000 --> 00:01:37.800]  然後才為自己一切的物質
[00:01:37.800 --> 00:01:41.400]  和淑寧的需要來禱告
[00:01:41.400 --> 00:01:45.600]  今日的經文在《馬太福音》六章十一節
[00:01:45.600 --> 00:01:50.000]  「我們日用的飲食 今日賜給我們」
[00:01:50.000 --> 00:01:53.800]  究竟飲食的意思是甚麼呢?
[00:01:53.800 --> 00:01:58.000]  跟我們現代人又有甚麼關係呢?
[00:01:58.000 --> 00:02:02.400]  美國甚至中國都是很富庶的國家
[00:02:02.400 --> 00:02:05.600]  大家都是豐衣足食
[00:02:05.600 --> 00:02:07.800]  在美國我們很少會
[00:02:07.800 --> 00:02:11.200]  真的求神賜食物給我們
[00:02:11.200 --> 00:02:15.200]  我們有食物的時候會感謝神
[00:02:15.200 --> 00:02:20.400]  但有沒有真的試過求神賜食物給我們呢?
[00:02:20.400 --> 00:02:24.000]  我們美國人禱告是剛剛相反的
[00:02:24.000 --> 00:02:25.000]  可能是跟神說
