
[00:00:00.000 --> 00:00:04.340]  今天我們所講的題目是 光明與黑暗的對比
[00:00:04.340 --> 00:00:06.340]  我選這個題目也就是
[00:00:06.340 --> 00:00:17.260]  我們從約翰一書第一章第一節到約翰一書第二章十一節
[00:00:17.260 --> 00:00:19.260]  總共有二十一節
[00:00:19.260 --> 00:00:28.460]  這二十一節裡面也就是一個光明和黑暗的對比的一個範圍在裡面
[00:00:28.460 --> 00:00:31.400]  老約翰在這邊所傳講
[00:00:31.400 --> 00:00:36.600]  我們知道這本書已經有兩千年 兩千年寫了
[00:00:36.600 --> 00:00:39.200]  約翰寫了一本是約翰福音
[00:00:39.200 --> 00:00:43.700]  那我以前講過 約翰福音是讓信徒
[00:00:43.700 --> 00:00:49.000]  讓木道友相信耶穌就是那唯一的救主
[00:00:49.000 --> 00:00:54.300]  那位人所看不見的神 道成肉身來到人間
[00:00:54.300 --> 00:00:57.800]  把神的真理和恩典顯明出來
[00:00:57.800 --> 00:01:04.200]  讓我們相信為我們死的耶穌 使我們得到神的生命
[00:01:04.200 --> 00:01:10.360]  約翰一書的目的是 當我們得到神的生命的時候
[00:01:10.360 --> 00:01:16.000]  使我們得到那更豐盛的生命 就是約翰一書所要講的
[00:01:16.000 --> 00:01:22.800]  我們不願意得到一個生命就是 我們要得到一個更豐盛的生命
[00:01:22.800 --> 00:01:29.800]  各位知道我大概在三月底的時候 有個孫女
[00:01:29.800 --> 00:01:37.000]  那我的媳婦呢 每隔幾天就發個這個照片過來
[00:01:37.000 --> 00:01:42.300]  我看短短兩個月的時間啊 都不一樣
[00:01:42.300 --> 00:01:45.300]  出生之後一兩個禮拜是那樣
[00:01:45.300 --> 00:01:51.300]  三個禮拜是變這樣 我都不記得我自己的小孩長得這麼快
[00:01:51.300 --> 00:01:55.800]  現在兩個月了 我看起來好像五六個月一樣大
[00:01:55.800 --> 00:02:02.800]  為什麼 祂天天有吃有睡覺長大
[00:02:02.800 --> 00:02:10.800]  約翰也是要讓我們信徒不但有生命 得到更豐盛的生命
[00:02:10.800 --> 00:02:15.800]  所以在第一講裡面 前一眼我就把過去我所講的四講
[00:02:15.800 --> 00:02:17.800]  我大致列了一下
[00:02:17.800 --> 00:02:20.800]  第一講裡面我講到生命之道
[00:02:20.800 --> 00:02:24.800]  這生命之道是已經得到的
[00:02:24.800 --> 00:02:26.800]  信徒已經得到這生命之道
[00:02:26.800 --> 00:02:28.800]  在約翰一書已經得到
[00:02:28.800 --> 00:02:32.800]  約翰福音已經得到生命之道
[00:02:32.800 --> 00:02:36.800]  這生命之道就是屬靈的真理 屬靈的生命
[00:02:36.800 --> 00:02:39.800]  那永恆的生命 在基督裡面的生命
[00:02:39.800 --> 00:02:44.800]  原來我們這個生命因為罪的緣故 我們與神隔絕
[00:02:44.800 --> 00:02:48.800]  這生命我們不能體會神的心意
[00:02:48.800 --> 00:02:51.800]  但是接著耶穌基督來到世上
[00:02:51.800 --> 00:02:54.800]  約翰說親眼見過 親手摸過
[00:02:54.800 --> 00:02:56.800]  我親手經歷
[00:02:56.800 --> 00:02:59.800]  他實實在在在我們當中生活
[00:02:59.800 --> 00:03:04.800]  彰顯神的智慧 彰顯神的真理 彰顯神的憐憫
[00:03:04.800 --> 00:03:10.800]  彰顯神一切的公義在我們當中
[00:03:10.800 --> 00:03:13.800]  第一講講生命之道
[00:03:13.800 --> 00:03:17.800]  第二講我講到聖經中的團契相交
[00:03:17.800 --> 00:03:19.800]  很多時候我們用一些名詞
[00:03:19.800 --> 00:03:24.800]  我們會越用越慢慢遠離聖經的真理
[00:03:24.800 --> 00:03:28.800]  所以在第二講裡面我講到團契是什麼
[00:03:28.800 --> 00:03:35.800]  團契就是信徒首先與神相交 有溝通 有交流
[00:03:35.800 --> 00:03:40.800]  當人與神有溝通交流之後
[00:03:40.800 --> 00:03:50.800]  人與人的相交 人與人的溝通是在神裡面 這叫團契
[00:03:50.800 --> 00:03:54.800]  除了這以外我們可以用任何的名詞
[00:03:54.800 --> 00:03:57.800]  都可以用小主或是等等
[00:03:57.800 --> 00:04:00.800]  可是在聖經用團契的時候
[00:04:00.800 --> 00:04:04.800]  這團契有一個原來的意思
[00:04:04.800 --> 00:04:08.800]  原文有一個意思 共享
[00:04:08.800 --> 00:04:10.800]  什麼叫共享
[00:04:10.800 --> 00:04:13.800]  就是我們在神裡面所得到的福分
[00:04:13.800 --> 00:04:16.800]  我們在神裡面所得到的一切
[00:04:16.800 --> 00:04:19.800]  在這團契 在這交流當中
[00:04:19.800 --> 00:04:26.800]  在這裡分享當中 讓大家一起得到分享
[00:04:26.800 --> 00:04:32.800]  當我們有這樣一個中心 神在我們當中
[00:04:32.800 --> 00:04:36.800]  這就是團契的一個聯繫的方式
[00:04:36.800 --> 00:04:38.800]  就講個比方
[00:04:38.800 --> 00:04:41.800]  假如你們家的小孩是初中的
[00:04:41.800 --> 00:04:47.800]  你們一定會跟其他有初中的小孩更加的熟悉
[00:04:47.800 --> 00:04:48.800]  為什麼
[00:04:48.800 --> 00:04:51.800]  我們講話的內容是一樣的
[00:04:51.800 --> 00:04:56.800]  可能每一家有初中小孩的父母的興趣
[00:04:56.800 --> 00:05:00.800]  注意的事項都一樣的
[00:05:00.800 --> 00:05:06.800]  或是你們家幾個人喜歡打牌的
[00:05:06.800 --> 00:05:09.800]  打橋牌 我不是賭博的打牌
[00:05:09.800 --> 00:05:11.800]  有時候要解釋一下
[00:05:11.800 --> 00:05:14.800]  打橋牌的或是打什麼牌
[00:05:14.800 --> 00:05:17.800]  聚在一起 為什麼容易聚在一起
[00:05:17.800 --> 00:05:20.800]  因為共同嗜好
[00:05:20.800 --> 00:05:23.800]  所以在這邊我們所講的
[00:05:23.800 --> 00:05:27.800]  團契有一個共同嗜好
[00:05:27.800 --> 00:05:30.800]  有一個共同的享受
[00:05:30.800 --> 00:05:32.800]  有一個共同的分享
[00:05:32.800 --> 00:05:35.800]  是在基督裡面 這叫團契
[00:05:35.800 --> 00:05:38.800]  所以在團契裡面的人
[00:05:38.800 --> 00:05:42.800]  首先是與神有生命的交流
[00:05:42.800 --> 00:05:45.800]  當與神有生命的交流
[00:05:45.800 --> 00:05:48.800]  與弟兄姊妹之間也有生命的交流
[00:05:48.800 --> 00:05:50.800]  這叫團契
[00:05:50.800 --> 00:05:51.800]  如果沒有這樣
[00:05:51.800 --> 00:05:56.800]  我們就算套上一個屬靈的名詞
[00:05:56.800 --> 00:05:59.800]  也是失去屬靈的意義
[00:05:59.800 --> 00:06:04.800]  第三我們講到趣味純真的團契
[00:06:04.800 --> 00:06:06.800]  當講到團契的時候
[00:06:06.800 --> 00:06:10.800]  我們就講到在神的光中
[00:06:10.800 --> 00:06:16.800]  分辨辨別真假
[00:06:16.800 --> 00:06:18.800]  因為在約翰一書裡面
[00:06:18.800 --> 00:06:23.800]  很多都會你若說 你若說
[00:06:23.800 --> 00:06:25.800]  有這樣的一個字眼
[00:06:25.800 --> 00:06:27.800]  說跟做不一樣的時候
[00:06:27.800 --> 00:06:30.800]  這在團契中可以辨別出來
[00:06:30.800 --> 00:06:33.800]  趣味純真的團契
[00:06:33.800 --> 00:06:34.800]  第四講的時候
[00:06:34.800 --> 00:06:39.800]  我就講到保守在光中
[00:06:39.800 --> 00:06:42.800]  讓約翰在當年所講的
[00:06:42.800 --> 00:06:44.800]  保守在光中
[00:06:44.800 --> 00:06:50.800]  是在生活中見證所信的道
[00:06:50.800 --> 00:06:53.800]  這是總共有四講
[00:06:53.800 --> 00:06:59.800]  那今天我就用光明與黑暗的對比
[00:06:59.800 --> 00:07:03.800]  來結束前面二十一節
[00:07:03.800 --> 00:07:07.800]  一直到二章的第十一節
[00:07:07.800 --> 00:07:13.800]  二十一節來做一個訊息的總綱
[00:07:13.800 --> 00:07:16.800]  所以我們看到在約翰一書裡面
[00:07:16.800 --> 00:07:19.800]  總共有七個對比
[00:07:19.800 --> 00:07:20.800]  很有意思
[00:07:20.800 --> 00:07:24.800]  在聖經裡面常常會用七
[00:07:24.800 --> 00:07:27.800]  我不曉得這是怎麼樣的
[00:07:27.800 --> 00:07:31.800]  起碼一個神很特別的作為
[00:07:31.800 --> 00:07:33.800]  在約翰福音裡面
[00:07:33.800 --> 00:07:35.800]  講到耶穌說我是
[00:07:35.800 --> 00:07:37.800]  七個我是
[00:07:37.800 --> 00:07:40.800]  那在這邊也是用一個七
[00:07:40.800 --> 00:07:41.800]  七個對比
[00:07:41.800 --> 00:07:44.800]  很多時候我們用對比的時候
[00:07:44.800 --> 00:07:48.800]  我們就很容易一點就亮
