
[00:00:00.000 --> 00:00:02.000]  各位頂師傅,主祿平安!
[00:00:02.000 --> 00:00:08.500]  名字比較長,其實是會有就行了
[00:00:08.500 --> 00:00:16.500]  我們做了基督徒很久,或者我們越做基督徒越久
[00:00:16.500 --> 00:00:21.000]  回教會越多,參與的事項越多的時候
[00:00:21.000 --> 00:00:25.500]  不知道你有沒有留意你的電話的軟件群組
[00:00:25.500 --> 00:00:29.500]  你的網絡,你的社交範圍圈子
[00:00:30.000 --> 00:00:33.500]  會不會只剩下基督徒?
[00:00:33.500 --> 00:00:37.500]  大部分時間你都是和基督徒一起相處
[00:00:37.500 --> 00:00:42.000]  是一個很安舒的地區,一個很安舒的範圍
[00:00:42.000 --> 00:00:45.000]  會不會更多的時候
[00:00:45.000 --> 00:00:49.500]  因為我們和一些未回教會,未信耶穌,未認識福音的人
[00:00:49.500 --> 00:00:53.500]  他們思考的價值觀念,他們生命裡追求的目標不同
[00:00:53.500 --> 00:00:57.000]  所以我們不知不覺可能已經覺得
[00:00:57.500 --> 00:01:03.000]  沒興趣和他們接觸,又或者是不懂得和他們接觸
[00:01:03.000 --> 00:01:07.000]  不懂得和他們談心,或者談道
[00:01:07.000 --> 00:01:12.000]  約翰福音有一個獨特的記載
[00:01:12.000 --> 00:01:15.000]  四個福音書的作者當中的約翰
[00:01:15.000 --> 00:01:17.000]  他有一個很獨特的記載
[00:01:17.000 --> 00:01:23.000]  就是耶穌和一個撒瑪利亞婦人在一個井旁邊相遇
[00:01:24.500 --> 00:01:29.000]  我們看看耶穌和這個婦人相遇的過程裡
[00:01:29.000 --> 00:01:32.000]  耶穌如何把握這個機遇
[00:01:32.000 --> 00:01:38.000]  和這位婦人談心,然後談道
[00:01:38.000 --> 00:01:43.000]  如何引導對方去認識這位真神
[00:01:43.000 --> 00:01:48.000]  如何引導對方嚴肅地面對他自己生命當中
[00:01:48.000 --> 00:01:51.000]  很需要正視面對的問題
[00:01:51.500 --> 00:01:59.000]  假如有一天我們必須要經過某個撒瑪利亞的話
[00:01:59.000 --> 00:02:03.000]  會不會耶穌這個榜樣成為我們的一個鼓勵
[00:02:03.000 --> 00:02:07.000]  幫助我們同樣效法耶穌的樣式
[00:02:07.000 --> 00:02:14.000]  去幫助我們在那個撒瑪利亞地區所遇到的人去認識神
[00:02:15.500 --> 00:02:22.000]  剛才盧執事讀出了第21節到第24節的經文
[00:02:22.000 --> 00:02:25.000]  如果大家方便的話請繼續打開實體聖經
[00:02:25.000 --> 00:02:27.000]  或者電子版聖經
[00:02:27.000 --> 00:02:30.000]  我們所用的會是由第1節到第26節
[00:02:30.000 --> 00:02:32.000]  因為經文比較長
[00:02:32.000 --> 00:02:35.000]  所以我會分段和大家按時讀出
[00:02:35.000 --> 00:02:37.000]  在今天的訊息裡
[00:02:37.000 --> 00:02:41.000]  和大家思想這個題目必須經過撒瑪利亞
[00:02:41.000 --> 00:02:44.000]  我想將它分成三個重點
[00:02:44.500 --> 00:02:50.000]  第一就是要走出自己的安恕區
[00:02:50.000 --> 00:02:53.000]  第1節到第6節
[00:02:53.000 --> 00:02:55.000]  如果大家找到這段聖經
[00:02:55.000 --> 00:02:59.000]  或者可以看同工頭映片所預備好的經文
[00:02:59.000 --> 00:03:01.000]  我們第1節到第6節
[00:03:01.000 --> 00:03:03.000]  我們一同讀
[00:03:03.000 --> 00:03:07.000]  主知道法利塞人聽見他修門徒施浸
[00:03:07.000 --> 00:03:09.000]  比約翰還多
[00:03:09.000 --> 00:03:11.000]  其實不是耶穌親自施浸
[00:03:11.000 --> 00:03:13.000]  乃是他的門徒施浸
[00:03:13.500 --> 00:03:15.000]  他就來了猶太
[00:03:15.000 --> 00:03:17.000]  又往伽利利去
[00:03:17.000 --> 00:03:19.000]  必須經過撒瑪利亞
[00:03:19.000 --> 00:03:21.000]  於是到了撒瑪利亞的一座城
[00:03:21.000 --> 00:03:23.000]  明叫聚家
[00:03:23.000 --> 00:03:26.000]  靠近雅閣給他兒子約失的那塊地
[00:03:26.000 --> 00:03:28.000]  在那裡有雅閣井
[00:03:28.000 --> 00:03:30.000]  耶穌因走路困乏
[00:03:30.000 --> 00:03:32.000]  就坐在井旁
[00:03:32.000 --> 00:03:34.000]  那時若有五正
[00:03:34.000 --> 00:03:40.000]  必須走出自己的安恕地帶
[00:03:40.500 --> 00:03:44.000]  這件事的源由是基於一個
[00:03:44.000 --> 00:03:47.000]  耶穌被錯誤的詮釋和解讀
[00:03:47.000 --> 00:03:49.000]  耶穌的報道團
[00:03:49.000 --> 00:03:51.000]  比當時的法利塞人
[00:03:51.000 --> 00:03:53.000]  不知什麼的緣故
[00:03:53.000 --> 00:03:56.000]  和約翰的報道團做一個比較
[00:03:56.000 --> 00:03:59.000]  我們看到上文下列的記載
[00:03:59.000 --> 00:04:01.000]  這個比較似乎營造了一個
[00:04:01.000 --> 00:04:03.000]  不是很良善的氣氛
