
[00:00:00.000 --> 00:00:04.600]  我們一連串思想薩姆爾記上的訊息
[00:00:04.600 --> 00:00:10.320]  特別提到大衛人生一些借鏡的地方
[00:00:10.320 --> 00:00:14.760]  在薩姆爾記上18-19章開始
[00:00:14.760 --> 00:00:17.480]  一直到整本書的結束
[00:00:17.480 --> 00:00:26.760]  其實是說到大衛在這段時間有極大磨難的日子
[00:00:26.760 --> 00:00:30.840]  因為他要逃避訴羅的追擊
[00:00:30.840 --> 00:00:34.760]  但其實不單止他有逃難的苦
[00:00:34.760 --> 00:00:45.160]  在這個過程中似乎他經歷了一種又一種失去
[00:00:45.160 --> 00:00:48.200]  甚至有時失去了方向
[00:00:48.200 --> 00:00:54.680]  更具體的是他失去了很多他曾經擁有的東西
[00:00:54.680 --> 00:01:00.040]  我們人生也有失落或一定有得有失
[00:01:00.040 --> 00:01:03.000]  可能我們也會有失去的時候
[00:01:03.000 --> 00:01:08.120]  失去一些本來我們擁有的人或物
[00:01:08.120 --> 00:01:13.600]  但我們知道這是人生有的過程
[00:01:13.600 --> 00:01:18.720]  與此同時我們見到大衛在這段磨難的日子
[00:01:18.720 --> 00:01:20.480]  很多失去的時候
[00:01:20.480 --> 00:01:23.760]  他寫了很多詩篇
[00:01:23.760 --> 00:01:28.160]  在這個時候他經歷神的同在
[00:01:28.160 --> 00:01:32.280]  是一個很明顯的階段
[00:01:32.280 --> 00:01:35.960]  他在靈性上過往已經紮好一些根基
[00:01:35.960 --> 00:01:37.320]  在少年的時候
[00:01:37.320 --> 00:01:42.680]  不過在這段時間可以說是紮根更深的時候
[00:01:42.680 --> 00:01:49.160]  因為他再不能依靠其他他擁有的人或物
[00:01:49.160 --> 00:01:54.400]  他發現他最深的倚靠是上帝自己
[00:01:54.400 --> 00:01:59.200]  所以他在這段時間寫了很多與神的關係
[00:01:59.200 --> 00:02:05.120]  如何感受到所有一切都沒有的時候
[00:02:05.120 --> 00:02:07.720]  上帝在他的身邊
[00:02:07.720 --> 00:02:11.360]  所以今天我們默許擁有很多東西
[00:02:11.360 --> 00:02:13.400]  希望求神憐憫
[00:02:13.400 --> 00:02:21.040]  不要讓我們經歷像大衛一樣的打擊和損失
[00:02:21.040 --> 00:02:23.240]  但是在這個時候
[00:02:23.240 --> 00:02:25.000]  當我們仍然有的時候
[00:02:25.000 --> 00:02:27.640]  或者我們都會經歷到失去的時候
[00:02:27.640 --> 00:02:31.760]  我們知道最終的倚靠是誰
[00:02:31.760 --> 00:02:36.440]  所以讓我們今早從三文治記載十八章
[00:02:36.440 --> 00:02:38.320]  至到二十一章這幾章經文裏面
[00:02:38.320 --> 00:02:43.960]  將我們其中一些經節看回當時大衛所面對的
[00:02:43.960 --> 00:02:51.160]  反省我們究竟甚麼是我們最終的倚靠
[00:02:51.160 --> 00:02:54.480]  第一方面我們今天要看的就是
[00:02:54.480 --> 00:02:58.880]  權力不是最終的倚靠
[00:02:58.880 --> 00:02:59.640]  為何這樣說呢
[00:02:59.640 --> 00:03:02.840]  在三文治記載十八章第五節
[00:03:02.840 --> 00:03:07.560]  講到當時大衛打完哥利亞
[00:03:07.560 --> 00:03:15.680]  也有約拿丹來支持鼓勵和讚賞他
[00:03:15.680 --> 00:03:19.520]  我們先看一連串的經歷
[00:03:19.520 --> 00:03:22.000]  我們先看十八章第五節
[00:03:22.000 --> 00:03:24.360]  我們一起讀這節經文
[00:03:24.360 --> 00:03:28.960]  蘇羅無論差遣大衛往何處去
[00:03:28.960 --> 00:03:31.920]  他都做事精明
[00:03:31.920 --> 00:03:35.520]  蘇羅就納他作戰士長
[00:03:35.520 --> 00:03:40.480]  眾百姓和蘇羅的臣僕無不喜悅
[00:03:40.480 --> 00:03:41.840]  好不好啊
[00:03:41.840 --> 00:03:43.400]  真是很好啊
[00:03:43.400 --> 00:03:49.000]  當時他受眾人認可
[00:03:49.000 --> 00:03:53.360]  蘇羅王知道他得勝了非利士人
[00:03:53.360 --> 00:03:56.600]  這是一個很大的功勞
[00:03:56.600 --> 00:04:00.800]  更加當他差遣大衛做事的時候
[00:04:00.800 --> 00:04:03.600]  大衛做事精明
[00:04:03.600 --> 00:04:07.040]  蘇羅非常賞識他
[00:04:07.040 --> 00:04:13.240]  所以一下子納他做戰士長
[00:04:13.240 --> 00:04:15.360]  他本來是沒有經驗的
[00:04:15.360 --> 00:04:20.080]  只是一個少年的木桶
[00:04:20.080 --> 00:04:23.800]  但一下子竟然身高要職
[00:04:23.800 --> 00:04:28.560]  成為了戰士當中的為首
[00:04:28.560 --> 00:04:30.480]  配不配啊
[00:04:30.480 --> 00:04:33.920]  配啊 因為他打贏了最大的哥尼亞
[00:04:33.920 --> 00:04:35.640]  沒有人敢打 也沒有人能打贏
[00:04:35.640 --> 00:04:39.880]  但只有他能勝過巨人
[00:04:39.880 --> 00:04:42.160]  所以每個人都服他
[00:04:42.160 --> 00:04:45.680]  眾百姓和蘇羅的臣僕無不喜悅
