
[00:00:00.000 --> 00:00:02.000]  今天在猜拳月講道
[00:00:02.000 --> 00:00:05.480]  我就選擇了一段保羅講宣教的
[00:00:05.480 --> 00:00:08.640]  一些栽培下一代的經文
[00:00:08.640 --> 00:00:10.960]  特別是保羅萬年的經文
[00:00:10.960 --> 00:00:13.760]  有些人說如果不計算耶穌基督的話
[00:00:13.760 --> 00:00:15.760]  世界裡面最有影響力
[00:00:15.760 --> 00:00:17.760]  歷史裡面最有影響力的宣教士
[00:00:17.760 --> 00:00:19.520]  可能就要算保羅
[00:00:19.520 --> 00:00:22.840]  保羅不但建立了很多教會
[00:00:22.840 --> 00:00:25.720]  後來成為了教會的根基
[00:00:25.720 --> 00:00:28.480]  保羅也留下了很寶貴的書信
[00:00:28.480 --> 00:00:31.040]  成為了很多引領、幫忙
[00:00:31.040 --> 00:00:33.040]  承載了一個很重要的部份
[00:00:33.040 --> 00:00:35.040]  但保羅在晚年裡面
[00:00:35.040 --> 00:00:37.040]  無論是監獄書信
[00:00:37.040 --> 00:00:39.040]  或者後來所謂的教目書信
[00:00:39.040 --> 00:00:43.040]  他都很關注一個重要的使命、主題
[00:00:43.040 --> 00:00:44.640]  就是栽培下一代
[00:00:44.640 --> 00:00:46.640]  栽培有基督心腸的人
[00:00:46.640 --> 00:00:50.320]  其實在一個教會的興旺與否
[00:00:50.320 --> 00:00:52.720]  一個家庭能夠蒙福與否
[00:00:52.720 --> 00:00:55.920]  就是我們有多少人有基督的心腸
[00:00:55.920 --> 00:01:00.880]  我們說到宣教,就是有多少人有基督的心腸的人去參與宣教
[00:01:00.880 --> 00:01:04.880]  所以今天藉著保羅的晚期經文與他一起思想
[00:01:04.880 --> 00:01:07.360]  我們用倫敦的方式
[00:01:07.360 --> 00:01:09.360]  弟兄讀一節,姊妹讀一節
[00:01:09.360 --> 00:01:10.480]  弟兄開始
[00:01:10.480 --> 00:01:16.080]  「我兒啊,你要在基督耶穌的恩典上剛強起來」
[00:01:16.080 --> 00:01:31.040]  「你要和我一同受苦難,好像基督耶穌的徵兵」
[00:01:31.040 --> 00:01:44.560]  「從此以後有公義的冠冕為我傳流」
[00:01:44.560 --> 00:01:49.520]  「就是按著公義審判的主,到了那日要賜給我的」
[00:01:49.520 --> 00:01:58.000]  「不但賜給我,也賜給凡愛慕他顯現的人」
